perf_metric,perf_metric_diff,names,method,perf_metric_name,seed,level
0.6231239316239316,0.006363247863247823,Otu004,svmRadial,AUC,1,family
0.622,0.007487179487179474,Otu040,svmRadial,AUC,1,family
0.628034188034188,0.0014529914529914922,Otu001,svmRadial,AUC,1,family
0.6079786324786325,0.021508547008546985,Otu034,svmRadial,AUC,1,family
0.6232777777777777,0.006209401709401763,Otu023,svmRadial,AUC,1,family
0.6290982905982906,3.8888888888888307e-4,Otu046,svmRadial,AUC,1,family
0.6243247863247864,0.005162393162393086,Otu014,svmRadial,AUC,1,family
0.6375299145299145,-0.008042735042735005,Otu018,svmRadial,AUC,1,family
0.6278632478632479,0.001623931623931596,Otu033,svmRadial,AUC,1,family
0.6329658119658119,-0.0034786324786324485,Otu021,svmRadial,AUC,1,family
0.6308461538461538,-0.001358974358974363,Otu052,svmRadial,AUC,1,family
0.6246153846153846,0.004871794871794899,Otu044,svmRadial,AUC,1,family
0.6247264957264957,0.004760683760683726,Otu010,svmRadial,AUC,1,family
0.6261965811965812,0.003290598290598301,Otu007,svmRadial,AUC,1,family
0.6249615384615385,0.004525641025641014,Otu009,svmRadial,AUC,1,family
0.6260769230769231,0.003410256410256385,Otu015,svmRadial,AUC,1,family
0.6377435897435898,-0.00825641025641033,Otu048,svmRadial,AUC,1,family
0.6036324786324786,0.025854700854700874,Otu037,svmRadial,AUC,1,family
0.6316709401709402,-0.0021837606837606938,Otu025,svmRadial,AUC,1,family
0.6259786324786325,0.0035085470085469694,Otu063,svmRadial,AUC,1,family
0.6299358974358974,-4.487179487179249e-4,Otu036,svmRadial,AUC,1,family
0.6278418803418804,0.001645299145299095,Otu070,svmRadial,AUC,1,family
0.6163717948717948,0.01311538461538464,Otu066,svmRadial,AUC,1,family
0.6287094017094017,7.777777777777661e-4,Otu020,svmRadial,AUC,1,family
0.6593803418803418,-0.02989316239316231,Otu003,svmRadial,AUC,1,family
0.6340213675213675,-0.004534188034188036,Otu006,svmRadial,AUC,1,family
0.6243760683760684,0.005111111111111066,Otu060,svmRadial,AUC,1,family
0.6281837606837607,0.0013034188034187766,Otu028,svmRadial,AUC,1,family
0.6309316239316238,-0.0014444444444443594,Otu029,svmRadial,AUC,1,family
0.627948717948718,0.0015384615384614886,Otu053,svmRadial,AUC,1,family
0.6286752136752136,8.119658119658535e-4,Otu031,svmRadial,AUC,1,family
0.6202393162393163,0.009247863247863197,Otu024,svmRadial,AUC,1,family
0.624457264957265,0.005029914529914525,Otu012,svmRadial,AUC,1,family
0.6289188034188034,5.683760683761196e-4,Otu026,svmRadial,AUC,1,family
0.6289572649572649,5.299145299145769e-4,Otu008,svmRadial,AUC,1,family
0.6401239316239317,-0.010636752136752192,Otu022,svmRadial,AUC,1,family
0.6345982905982905,-0.005111111111111066,Otu038,svmRadial,AUC,1,family
0.6101495726495727,0.01933760683760677,Otu043,svmRadial,AUC,1,family
0.6319358974358974,-0.0024487179487179267,Otu030,svmRadial,AUC,1,family
0.6238931623931624,0.005594017094017079,Otu027,svmRadial,AUC,1,family
0.6372606837606838,-0.007773504273504317,Otu057,svmRadial,AUC,1,family
0.6297350427350428,-2.478632478633003e-4,Otu062,svmRadial,AUC,1,family
0.6447863247863248,-0.015299145299145334,Otu002,svmRadial,AUC,1,family
0.6286623931623931,8.247863247863307e-4,Otu019,svmRadial,AUC,1,family
0.6295854700854701,-9.829059829058462e-5,Otu058,svmRadial,AUC,1,family
0.627,0.0024871794871794695,Otu035,svmRadial,AUC,1,family
0.6267307692307692,0.002756410256410269,Otu032,svmRadial,AUC,1,family
0.6306666666666666,-0.0011794871794871264,Otu016,svmRadial,AUC,1,family
0.6297521367521367,-2.6495726495723293e-4,Otu017,svmRadial,AUC,1,family
0.6295982905982906,-1.1111111111117289e-4,Otu073,svmRadial,AUC,1,family
0.628102564102564,0.0013846153846154285,Otu011,svmRadial,AUC,1,family
0.63441452991453,-0.004927350427350485,Otu042,svmRadial,AUC,1,family
0.6335683760683761,-0.0040811965811966555,Otu013,svmRadial,AUC,1,family
0.6245,0.004987179487179416,Otu005,svmRadial,AUC,1,family
0.5959273504273505,-6.282051282051615e-4,Otu046,svmRadial,AUC,10,family
0.5963418803418804,-0.00104273504273511,Otu009,svmRadial,AUC,10,family
0.601542735042735,-0.006243589743589739,Otu010,svmRadial,AUC,10,family
0.5971880341880342,-0.00188888888888894,Otu058,svmRadial,AUC,10,family
0.5907735042735043,0.004525641025641014,Otu012,svmRadial,AUC,10,family
0.6085,-0.013200854700854747,Otu008,svmRadial,AUC,10,family
0.5992008547008547,-0.003901709401709419,Otu040,svmRadial,AUC,10,family
0.5928205128205128,0.0024786324786324476,Otu019,svmRadial,AUC,10,family
0.6023205128205128,-0.007021367521367505,Otu024,svmRadial,AUC,10,family
0.5945384615384615,7.606837606838335e-4,Otu015,svmRadial,AUC,10,family
0.5957307692307693,-4.3162393162399226e-4,Otu052,svmRadial,AUC,10,family
0.5917564102564102,0.003542735042735057,Otu044,svmRadial,AUC,10,family
0.5961794871794871,-8.803418803418062e-4,Otu007,svmRadial,AUC,10,family
0.5920384615384615,0.00326068376068378,Otu066,svmRadial,AUC,10,family
0.57158547008547,0.02371367521367529,Otu034,svmRadial,AUC,10,family
0.6062777777777778,-0.01097863247863251,Otu053,svmRadial,AUC,10,family
0.564034188034188,0.03126495726495726,Otu013,svmRadial,AUC,10,family
0.6037735042735043,-0.008474358974358998,Otu031,svmRadial,AUC,10,family
0.5953974358974359,-9.829059829058462e-5,Otu060,svmRadial,AUC,10,family
0.5958846153846153,-5.854700854700523e-4,Otu073,svmRadial,AUC,10,family
0.5959059829059828,-6.068376068375514e-4,Otu027,svmRadial,AUC,10,family
0.6006410256410256,-0.005341880341880323,Otu022,svmRadial,AUC,10,family
0.5884786324786324,0.006820512820512881,Otu018,svmRadial,AUC,10,family
0.5954401709401709,-1.410256410255828e-4,Otu029,svmRadial,AUC,10,family
0.5883717948717948,0.006927350427350487,Otu037,svmRadial,AUC,10,family
0.5695128205128205,0.02578632478632481,Otu021,svmRadial,AUC,10,family
0.5923376068376068,0.00296153846153846,Otu025,svmRadial,AUC,10,family
0.587042735042735,0.00825641025641033,Otu032,svmRadial,AUC,10,family
0.5957136752136752,-4.145299145299486e-4,Otu038,svmRadial,AUC,10,family
0.6195128205128205,-0.024213675213675234,Otu005,svmRadial,AUC,10,family
0.5982820512820513,-0.002982905982905959,Otu001,svmRadial,AUC,10,family
0.5935726495726495,0.001726495726495747,Otu035,svmRadial,AUC,10,family
0.5977264957264957,-0.0024273504273504276,Otu042,svmRadial,AUC,10,family
0.6022820512820513,-0.0069829059829059625,Otu004,svmRadial,AUC,10,family
0.5961196581196581,-8.205128205127643e-4,Otu033,svmRadial,AUC,10,family
0.6062649572649572,-0.010965811965811922,Otu057,svmRadial,AUC,10,family
0.5892008547008547,0.00609829059829059,Otu020,svmRadial,AUC,10,family
0.6064017094017093,-0.01110256410256405,Otu011,svmRadial,AUC,10,family
0.5950982905982906,2.0085470085473567e-4,Otu048,svmRadial,AUC,10,family
0.5960641025641026,-7.649572649572889e-4,Otu063,svmRadial,AUC,10,family
0.5987051282051282,-0.0034059829059829294,Otu043,svmRadial,AUC,10,family
0.5955982905982906,-2.991452991453203e-4,Otu062,svmRadial,AUC,10,family
0.601957264957265,-0.006658119658119688,Otu017,svmRadial,AUC,10,family
0.59858547008547,-0.0032863247863247347,Otu014,svmRadial,AUC,10,family
0.5962008547008547,-9.017094017094163e-4,Otu016,svmRadial,AUC,10,family
0.5937820512820513,0.0015170940170939895,Otu070,svmRadial,AUC,10,family
0.5912564102564102,0.004042735042735113,Otu026,svmRadial,AUC,10,family
0.5842478632478633,0.01105128205128203,Otu028,svmRadial,AUC,10,family
0.5981367521367521,-0.0028376068376068098,Otu002,svmRadial,AUC,10,family
