maxdepth,AUC,seed,level
1,0.5300010698852162,1,order
2,0.5447893407344627,1,order
4,0.561803223737675,1,order
8,0.5633690253842693,1,order
16,0.5630914481554725,1,order
30,0.5629324529233066,1,order
1,0.54378706537548,10,order
2,0.5511272692553181,10,order
4,0.5536905655655656,10,order
8,0.5573980177913105,10,order
16,0.5666898246242759,10,order
30,0.5666317574107208,10,order
1,0.5395949098052757,100,order
2,0.5684621555353263,100,order
4,0.5827940736904151,100,order
8,0.5793203063690868,100,order
16,0.580954564320418,100,order
30,0.5813536572286573,100,order
1,0.5041519546550034,11,order
2,0.512568725083969,11,order
4,0.5202152030078859,11,order
8,0.5328136736475151,11,order
16,0.5384221113535138,11,order
30,0.5390173712475542,11,order
1,0.5302357845650528,12,order
2,0.56643237095981,12,order
4,0.570518484948363,12,order
8,0.5732287008262618,12,order
16,0.5739879980154371,12,order
30,0.5737784060192597,12,order
1,0.5235896209798648,13,order
2,0.5545727295239491,13,order
4,0.5784814814814815,13,order
8,0.5879958802443559,13,order
16,0.5899056853020268,13,order
30,0.590145810880567,13,order
1,0.5400090011614401,14,order
2,0.5580434101348736,14,order
4,0.5694614370468029,14,order
8,0.5741368801292582,14,order
16,0.574974908924604,14,order
30,0.5746420342380708,14,order
1,0.5086125384966849,15,order
2,0.5267619086856892,15,order
4,0.5385016758919198,15,order
8,0.5456990849734752,15,order
16,0.5508352433443897,15,order
30,0.5512724859005347,15,order
1,0.5242329620561328,16,order
2,0.5506416756477732,16,order
4,0.5714331461252193,16,order
8,0.5761826068228507,16,order
16,0.5731855276443691,16,order
30,0.5732459552322358,16,order
1,0.5196360253982205,17,order
2,0.5363997791345352,17,order
4,0.5532389658822586,17,order
8,0.5582260899837119,17,order
16,0.5543706286861775,17,order
30,0.5541779176824908,17,order
1,0.570245594898034,18,order
2,0.587707223774297,18,order
4,0.6022701614942468,18,order
8,0.6012806090062187,18,order
16,0.5984102323141958,18,order
30,0.5984096101763785,18,order
1,0.5392874817326037,19,order
2,0.5667423133063377,19,order
4,0.583532955865273,19,order
8,0.5964325516718809,19,order
16,0.606875210358442,19,order
30,0.6068682844429796,19,order
1,0.5477432489109318,2,order
2,0.5640309612748637,2,order
4,0.5643801314380583,2,order
8,0.5669635630839899,2,order
16,0.5723050328202768,2,order
30,0.5723597901036925,2,order
1,0.525604875345729,20,order
2,0.5427116528549455,20,order
4,0.5555064467777883,20,order
8,0.5622702700522823,20,order
16,0.5664350838207546,20,order
30,0.5664940399894668,20,order
1,0.5380632732035171,21,order
2,0.5478273066184651,21,order
4,0.557502078079822,21,order
8,0.5627175618562814,21,order
16,0.5586794180940522,21,order
30,0.5585539624990845,21,order
1,0.5291535638425883,22,order
2,0.5533635333940212,22,order
4,0.5663967301360594,22,order
8,0.5765121783368735,22,order
16,0.57738577275010206,22,order
30,0.5775562297925103,22,order
1,0.5376357197790125,23,order
2,0.5799865806573123,23,order
4,0.58297816849951,23,order
8,0.5890638258031551,23,order
16,0.5922773522651572,23,order
30,0.592053347336884,23,order
1,0.5248077602864188,24,order
2,0.5445207607433217,24,order
4,0.5575319895243676,24,order
8,0.5690970338805704,24,order
16,0.5693965141099288,24,order
30,0.5696242357339918,24,order
1,0.5382825076818979,25,order
2,0.5752494711610565,25,order
4,0.5994281557254119,25,order
8,0.5982225291493585,25,order
16,0.5936315926117756,25,order
30,0.5936926902948244,25,order
1,0.5535661140234311,26,order
2,0.5861060372218909,26,order
4,0.5895710928698734,26,order
8,0.6014771531112995,26,order
16,0.5993685316413975,26,order
30,0.5992639366282659,26,order
1,0.557488455790285,27,order
2,0.5981186334418042,27,order
4,0.6080374690892983,27,order
8,0.5951956008709057,27,order
16,0.5967155709716685,27,order
30,0.5967091141664312,27,order
1,0.5446468275767057,28,order
2,0.5662832396856787,28,order
4,0.5754943490964832,28,order
8,0.5787895408474677,28,order
16,0.5806502661197783,28,order
30,0.5805811242427096,28,order
1,0.5213810543993471,29,order
2,0.538905249107993,29,order
4,0.5583046833854761,29,order
8,0.5664660828075462,29,order
16,0.5687543942025649,29,order
30,0.5692535235584016,29,order
1,0.5234301736405395,3,order
2,0.5469549022018534,3,order
4,0.5595461620156742,3,order
8,0.5632023794264648,3,order
16,0.5612559802834193,3,order
30,0.5610852995852996,3,order
1,0.5469241401680426,30,order
2,0.5769309924035534,30,order
4,0.5883674414832951,30,order
8,0.5868385748553432,30,order
16,0.58878900154509906,30,order
30,0.5887614953803978,30,order
1,0.5451299404805502,31,order
2,0.5800301028380297,31,order
4,0.5892380583981194,31,order
8,0.5898902306051697,31,order
16,0.5901725401359548,31,order
30,0.5900991671113622,31,order
1,0.5398289434905289,32,order
2,0.560636201096567,32,order
4,0.5635581408935068,32,order
8,0.5651540968233042,32,order
16,0.5622180606128777,32,order
30,0.5622616582174509,32,order
1,0.5311912243253707,33,order
2,0.5420857734912613,33,order
4,0.5646471850770631,33,order
8,0.5764457695936355,33,order
16,0.5810389766944645,33,order
30,0.5812442778143998,33,order
1,0.5511929442508711,34,order
2,0.5864065672815673,34,order
4,0.5940851596369889,34,order
8,0.5982024552862968,34,order
16,0.5931424022018534,34,order
30,0.5929972976024805,34,order
1,0.5654496395350054,35,order
2,0.5881378150798883,35,order
4,0.5962717253403229,35,order
8,0.600615619975376,35,order
16,0.6002049891790745,35,order
30,0.5999716216652192,35,order
1,0.5365958972910192,36,order
2,0.5654806492032102,36,order
4,0.5809829088670552,36,order
8,0.5873231920945335,36,order
16,0.5865276574483892,36,order
30,0.5861963910774887,36,order
1,0.5241578294322197,37,order
2,0.541259267106828,37,order
4,0.565681914056914,37,order
8,0.5721536678228751,37,order
16,0.577369661255332,37,order
30,0.5772300155120277,37,order
1,0.5229818071555876,38,order
2,0.5511916511459195,38,order
4,0.582206852758682,38,order
8,0.5898079996372679,38,order
16,0.5921894514287807,38,order
30,0.5922085236368773,38,order
1,0.5369167826362948,39,order
2,0.5509675524827964,39,order
4,0.5614420895198334,39,order
8,0.5673201062560819,39,order
16,0.5704606095642681,39,order
30,0.571374018617921,39,order
1,0.542421883992006,4,order
2,0.5585745318489221,4,order
4,0.5658934814605546,4,order
8,0.5661151057416302,4,order
16,0.5645643505003262,4,order
30,0.5643840007254641,4,order
1,0.5558689787348324,40,order
2,0.603899376292669,40,order
4,0.6173088938241378,40,order
8,0.6022105731602683,40,order
16,0.5977929689271153,40,order
30,0.5980321183552891,40,order
1,0.533683477031038,41,order
2,0.545211361622947,41,order
4,0.5633330952904124,41,order
8,0.5738454262189019,41,order
16,0.5767992798983653,41,order
30,0.5767379188857847,41,order
1,0.5342304931237858,42,order
2,0.5590763354818233,42,order
4,0.5781233454709065,42,order
8,0.5814305448741425,42,order
16,0.5801496548813622,42,order
30,0.5804878367043002,42,order
1,0.5382158111944697,43,order
2,0.5379527319130978,43,order
4,0.54559821145187,43,order
8,0.5495130923606534,43,order
16,0.547574997907315,43,order
30,0.5476906756495171,43,order
1,0.5228403141817776,44,order
2,0.5461043661257076,44,order
4,0.5641680665857495,44,order
8,0.5571936694970232,44,order
16,0.5549008932713201,44,order
30,0.5544394553525651,44,order
