mtry,AUC,seed,level
1,0.6390163063760624,1,order
2,0.6359516524364085,1,order
5,0.6309051425118498,1,order
10,0.624749141563166,1,order
1,0.6571185096246072,10,order
2,0.6550045694649353,10,order
5,0.6504303262321555,10,order
10,0.6463676538036294,10,order
1,0.6853126004924786,100,order
2,0.6841617601922481,100,order
5,0.6779697266953365,100,order
10,0.6717395387547827,100,order
1,0.6352307272429224,11,order
2,0.6377433679323923,11,order
5,0.6325517952621611,11,order
10,0.6279539683411635,11,order
1,0.6725427217286973,12,order
2,0.6747862248136638,12,order
5,0.6708700760865395,12,order
10,0.667314472573619,12,order
1,0.6556820461576559,13,order
2,0.6591138852266901,13,order
5,0.660120786291518,13,order
10,0.6560677031561178,13,order
1,0.6376398885819617,14,order
2,0.6415155220551562,14,order
5,0.6429788817563208,14,order
10,0.6415786954201589,14,order
1,0.6307456267242852,15,order
2,0.6337474451803721,15,order
5,0.6305889879426465,15,order
10,0.6272340280175646,15,order
1,0.6645927713427714,16,order
2,0.667004566849079,16,order
5,0.6624902642189228,16,order
10,0.6564938501218989,16,order
1,0.6335932949500023,17,order
2,0.6346646524573354,17,order
5,0.6293805225085713,17,order
10,0.6223030247146101,17,order
1,0.670451228231716,18,order
2,0.6771443063272332,18,order
5,0.6782118063185136,18,order
10,0.6776164696926892,18,order
1,0.6683263442013442,19,order
2,0.6740809616236445,19,order
5,0.6718838019203873,19,order
10,0.6671678865276426,19,order
1,0.6675063473752498,2,order
2,0.6655856492380883,2,order
5,0.6608731645408474,2,order
10,0.6549608685340392,2,order
1,0.65196733929051,20,order
2,0.652836552144479,20,order
5,0.6499119581253727,20,order
10,0.644096838999278,20,order
1,0.6501893160582185,21,order
2,0.6473782898752412,21,order
5,0.6417503208783697,21,order
10,0.634601795174966,21,order
1,0.6517898883203761,22,order
2,0.6523992459358313,22,order
5,0.6495136499740158,22,order
10,0.6454542613170662,22,order
1,0.6836715875282948,23,order
2,0.6837903783574515,23,order
5,0.679347935479033,23,order
10,0.6740555825860703,23,order
1,0.652394599739112,24,order
2,0.6574945712262785,24,order
5,0.6569838671424038,24,order
10,0.6527667188094017,24,order
1,0.7002966864948572,25,order
2,0.7035459937289206,25,order
5,0.7013814049240878,25,order
10,0.6964981170194585,25,order
1,0.6463477968386505,26,order
2,0.6518520794313477,26,order
5,0.6563127718310645,26,order
10,0.6564926075901686,26,order
1,0.6735135701903995,27,order
2,0.6755079404317209,27,order
5,0.6719552915284622,27,order
10,0.6655234350203862,27,order
1,0.6695032872593848,28,order
2,0.6763951856909174,28,order
5,0.6790861043970801,28,order
10,0.6751987810981713,28,order
1,0.6787907942785991,29,order
2,0.6823832076850369,29,order
5,0.6780850122770855,29,order
10,0.6716753377942403,29,order
1,0.6357765008039399,3,order
2,0.6381031828867195,3,order
5,0.6338261558596925,3,order
10,0.627822386846777,3,order
1,0.6542393961906157,30,order
2,0.6515817891061794,30,order
5,0.6473867988197256,30,order
10,0.6426845216296436,30,order
1,0.6636602704620997,31,order
2,0.6613163812767472,31,order
5,0.6559289494198031,31,order
10,0.6510573107951156,31,order
1,0.655333882663151,32,order
2,0.6598375448619351,32,order
5,0.6570501132665767,32,order
10,0.6509958590995176,32,order
1,0.681302232110159,33,order
2,0.6825638042223409,33,order
5,0.6793954123984612,33,order
10,0.6750034520583301,33,order
1,0.6511159774757336,34,order
2,0.6527614666059788,34,order
5,0.6528276115837092,34,order
10,0.6498677139683238,34,order
1,0.6719501587824759,35,order
2,0.6729766072692902,35,order
5,0.6714148377471548,35,order
10,0.6681190659300416,35,order
1,0.6571350339886926,36,order
2,0.6595058686735517,36,order
5,0.6580634955513004,36,order
10,0.6537441762319811,36,order
1,0.6731815051113832,37,order
2,0.6759656450875963,37,order
5,0.6736850155905034,37,order
10,0.6679598692769425,37,order
1,0.6820062279178133,38,order
2,0.6826242461974169,38,order
5,0.6800936110326354,38,order
10,0.6754272194668536,38,order
1,0.6524052916156575,39,order
2,0.6572502907960225,39,order
5,0.656128212271505,39,order
10,0.6507543431933676,39,order
1,0.6440840073523001,4,order
2,0.6448545278728206,4,order
5,0.6371744911287595,4,order
10,0.6291252995155434,4,order
1,0.6622390408701384,40,order
2,0.6611116416939588,40,order
5,0.6579805057670911,40,order
10,0.6543546678211313,40,order
1,0.6549816253535766,41,order
2,0.6553462273248859,41,order
5,0.6530899806601026,41,order
10,0.6477101557132044,41,order
1,0.6428752637655076,42,order
2,0.6450663939200525,42,order
5,0.6447231133572597,42,order
10,0.6428262395670933,42,order
1,0.6255404472416668,43,order
2,0.6230587586715636,43,order
5,0.6166545957978885,43,order
10,0.6132505667688595,43,order
1,0.6435149456948237,44,order
2,0.6457481754402487,44,order
5,0.6429241358082821,44,order
10,0.6382439809147127,44,order
1,0.6278221021544192,45,order
2,0.6299908030853153,45,order
5,0.6275617128452494,45,order
10,0.6209873924447096,45,order
1,0.6646501043726654,46,order
2,0.6685039577905432,46,order
5,0.6682410424361644,46,order
10,0.6646807962143328,46,order
1,0.6189808057186106,47,order
2,0.6210587006867495,47,order
5,0.6178976480836237,47,order
10,0.6110800260190504,47,order
1,0.6491466170002755,48,order
2,0.6485211143198948,48,order
5,0.6430726606397338,48,order
10,0.6369850543051763,48,order
1,0.6384485827290706,49,order
2,0.639853884372177,49,order
5,0.63882087052209,49,order
10,0.6357851946022678,49,order
1,0.6549710681936292,5,order
2,0.6578439550177355,5,order
5,0.6547388987419476,5,order
10,0.6515619696351403,5,order
1,0.6884988246085807,50,order
2,0.6867888459016508,50,order
5,0.6821359839804961,50,order
10,0.679787694488914,50,order
1,0.607486758099563,51,order
2,0.6124452435885362,51,order
5,0.612112063282795,51,order
10,0.6101652418969492,51,order
1,0.6185853205121498,52,order
2,0.6195519443659687,52,order
5,0.6154250112481819,52,order
10,0.6115134162908553,52,order
1,0.6490985305863355,53,order
2,0.6476274950909098,53,order
5,0.6432661197783149,53,order
10,0.6377171797232772,53,order
1,0.6895096246071856,54,order
2,0.6913382921248775,54,order
5,0.6888102231151012,54,order
10,0.6845835774799189,54,order
1,0.6556029226090202,55,order
2,0.6588780688353859,55,order
5,0.6565687080809032,55,order
10,0.6506726260232358,55,order
1,0.6557100894448455,56,order
2,0.654712809935371,56,order
5,0.6490809816785427,56,order
10,0.6420497867205185,56,order
1,0.6669951100926711,57,order
2,0.665802118320411,57,order
5,0.6613025708635465,57,order
10,0.6556158667378179,57,order
1,0.6481942151210444,58,order
2,0.6478480919944335,58,order
5,0.6456396954445734,58,order
10,0.6412157135358355,58,order
1,0.6556877020748972,59,order
2,0.6577602140467994,59,order
5,0.6574263257159598,59,order
