cv_metric_AUC,logLoss,AUC,prAUC,Accuracy,Kappa,F1,Sensitivity,Specificity,Pos_Pred_Value,Neg_Pred_Value,Precision,Recall,Detection_Rate,Balanced_Accuracy,method,seed
0.64187983802618,0.690577697434985,0.561538461538462,0.539178292636505,0.536082474226804,0,0.697986577181208,1,0,0.536082474226804,NaN,0.536082474226804,1,0.536082474226804,0.5,svmRadial,1
0.601382769529111,0.672763716330423,0.650854700854701,0.608952941690307,0.649484536082474,0.301567132570945,0.653061224489796,0.615384615384615,0.688888888888889,0.695652173913043,0.607843137254902,0.695652173913043,0.615384615384615,0.329896907216495,0.652136752136752,svmRadial,2
0.623595790912864,0.687478218864719,0.544017094017094,0.554814459162323,0.525773195876289,0.0291557876414275,0.603448275862069,0.673076923076923,0.355555555555556,0.546875,0.484848484848485,0.546875,0.673076923076923,0.360824742268041,0.514316239316239,svmRadial,3
0.619573568341861,0.646783050861503,0.635470085470085,0.632266155895767,0.608247422680412,0.202854671280277,0.536585365853659,0.488888888888889,0.711538461538462,0.594594594594595,0.616666666666667,0.594594594594595,0.488888888888889,0.22680412371134,0.600213675213675,svmRadial,4
0.63957498526401,0.721870245990041,0.545726495726496,0.521678205919681,0.556701030927835,0.117995347853669,0.556701030927835,0.519230769230769,0.6,0.6,0.519230769230769,0.6,0.519230769230769,0.278350515463918,0.559615384615385,svmRadial,5
0.599944109614841,0.690577809814004,0.730769230769231,0.700404806403643,0.536082474226804,0,0.697986577181208,1,0,0.536082474226804,NaN,0.536082474226804,1,0.536082474226804,0.5,svmRadial,6
0.611297607712242,0.688611048414392,0.616239316239316,0.604618172062398,0.536082474226804,0,NA,0,1,NaN,0.536082474226804,NA,0,0,0.5,svmRadial,7
0.630610058664937,0.664838882600781,0.628205128205128,0.597248418746468,0.608247422680412,0.205260888313928,0.654545454545455,0.692307692307692,0.511111111111111,0.620689655172414,0.58974358974359,0.620689655172414,0.692307692307692,0.371134020618557,0.601709401709402,svmRadial,8
0.62992547338279,0.712821957371708,0.555555555555556,0.5364317233854,0.56701030927835006,0.126875267895414,0.60377358490566,0.615384615384615,0.511111111111111,0.592592592592593,0.534883720930233,0.592592592592593,0.615384615384615,0.329896907216495,0.563247863247863,svmRadial,9
0.587374546148936,0.690577809869293,0.777777777777778,0.733251953178782,0.536082474226804,0,0.697986577181208,1,0,0.536082474226804,NaN,0.536082474226804,1,0.536082474226804,0.5,svmRadial,10
0.635480769096623,0.690577809944635,0.629487179487179,0.589848422192726,0.536082474226804,0,0.697986577181208,1,0,0.536082474226804,NaN,0.536082474226804,1,0.536082474226804,0.5,svmRadial,11
0.637535994182336,0.693374186386819,0.578632478632479,0.562113186783829,0.556701030927835,0.107425636635994,0.59047619047619,0.596153846153846,0.511111111111111,0.584905660377358,0.522727272727273,0.584905660377358,0.596153846153846,0.319587628865979,0.553632478632479,svmRadial,12
0.64709298758689,0.690577621966635,0.571794871794872,0.54143749930499,0.536082474226804,0,0.697986577181208,1,0,0.536082474226804,NaN,0.536082474226804,1,0.536082474226804,0.5,svmRadial,13
0.607365839707303,0.645810056136626,0.671794871794872,0.645504570356109,0.608247422680412,0.200433839479392,0.666666666666667,0.730769230769231,0.466666666666667,0.612903225806452,0.6,0.612903225806452,0.730769230769231,0.391752577319588,0.598717948717949,svmRadial,14
0.628893532033776,0.651018843479367,0.651282051282051,0.629194210174906,0.608247422680412,0.207652622527945,0.648148148148148,0.673076923076923,0.533333333333333,0.625,0.585365853658537,0.625,0.673076923076923,0.360824742268041,0.603205128205128,svmRadial,15
0.612936731592219,0.690577809944921,0.67008547008547,0.641910662644592,0.536082474226804,0,0.697986577181208,1,0,0.536082474226804,NaN,0.536082474226804,1,0.536082474226804,0.5,svmRadial,16
0.628642002629808,0.703877079836726,0.588034188034188,0.566511915058775,0.577319587628866,0.154009785152095,0.594059405940594,0.576923076923077,0.577777777777778,0.612244897959184,0.541666666666667,0.612244897959184,0.576923076923077,0.309278350515464,0.577350427350427,svmRadial,17
0.612577929846223,0.690577809879621,0.667521367521367,0.655084738670309,0.536082474226804,0,0.697986577181208,1,0,0.536082474226804,NaN,0.536082474226804,1,0.536082474226804,0.5,svmRadial,18
0.61025772113577,0.667282655568677,0.641880341880342,0.604996472261587,0.618556701030928,0.231970896640274,0.647619047619048,0.653846153846154,0.577777777777778,0.641509433962264,0.590909090909091,0.641509433962264,0.653846153846154,0.350515463917526,0.615811965811966,svmRadial,19
0.641573597988232,0.717321433632447,0.516666666666667,0.509145054587946,0.515463917525773,0.0243954632998074,0.552380952380953,0.557692307692308,0.466666666666667,0.547169811320755,0.477272727272727,0.547169811320755,0.557692307692308,0.298969072164948,0.512179487179487,svmRadial,20
0.639554306920161,0.664120200402407,0.635470085470085,0.615548853164935,0.65979381443299,0.312942691564713,0.691588785046729,0.711538461538462,0.6,0.672727272727273,0.642857142857143,0.672727272727273,0.711538461538462,0.381443298969072,0.655769230769231,svmRadial,21
0.62671432931189,0.67664734749935,0.621794871794872,0.602539083265317,0.577319587628866,0.14638334406525,0.616822429906542,0.634615384615385,0.511111111111111,0.6,0.547619047619048,0.6,0.634615384615385,0.34020618556701,0.572863247863248,svmRadial,22
0.614294790435034,0.689089654027742,0.667948717948718,0.615601851102675,0.525773195876289,-0.0205855443732844,0.689189189189189,0.980769230769231,0,0.53125,0,0.53125,0.980769230769231,0.525773195876289,0.490384615384615,svmRadial,23
