alpha,lambda,AUC,seed,level
0,1e-6,0.6155249404456722,1,class
0,1e-4,0.6155249404456722,1,class
0,0.001,0.6155249404456722,1,class
0,0.01,0.6147481069920094,1,class
0,0.1,0.609214508062069,1,class
0,1,0.6083933393323637,1,class
0,1e-6,0.5652733552367699,10,class
0,1e-4,0.5652733552367699,10,class
0,0.001,0.5652733552367699,10,class
0,0.01,0.5650156794425087,10,class
0,0.1,0.5670906437796682,10,class
0,1,0.5707294969185213,10,class
0,1e-6,0.5672465767160889,100,class
0,1e-4,0.5672465767160889,100,class
0,0.001,0.5672465767160889,100,class
0,0.01,0.5658075645331743,100,class
0,0.1,0.5594913109974086,100,class
0,1,0.5568318763013885,100,class
0,1e-6,0.5882534241558632,11,class
0,1e-4,0.5882534241558632,11,class
0,0.001,0.5882534241558632,11,class
0,0.01,0.5876721852514536,11,class
0,0.1,0.5842322034578132,11,class
0,1,0.5835919865858891,11,class
0,1e-6,0.6052435318593855,12,class
0,1e-4,0.6052435318593855,12,class
0,0.001,0.6052435318593855,12,class
0,0.01,0.6052194903963197,12,class
0,0.1,0.6048141451556086,12,class
0,1,0.608394619358034,12,class
0,1e-6,0.5978395651749311,13,class
0,1e-4,0.5978395651749311,13,class
0,0.001,0.5978395651749311,13,class
0,0.01,0.5970443605626532,13,class
0,0.1,0.5890144081363594,13,class
0,1,0.5864050505209042,13,class
0,1e-6,0.5745325421240055,14,class
0,1e-4,0.5745325421240055,14,class
0,0.001,0.5745325421240055,14,class
0,0.01,0.5732758812819788,14,class
0,0.1,0.5651231954951467,14,class
0,1,0.5577645319535564,14,class
0,1e-6,0.5676688456749432,15,class
0,1e-4,0.5676688456749432,15,class
0,0.001,0.5676688456749432,15,class
0,0.01,0.5669494407299286,15,class
0,0.1,0.5590035950584731,15,class
0,1,0.5523285506761116,15,class
0,1e-6,0.5496046220436465,16,class
0,1e-4,0.5496046220436465,16,class
0,0.001,0.5496046220436465,16,class
0,0.01,0.5479132573339891,16,class
0,0.1,0.5409764599093867,16,class
0,1,0.5366206659621294,16,class
0,1e-6,0.5737259262747068,17,class
0,1e-4,0.5737259262747068,17,class
0,0.001,0.5737259262747068,17,class
0,0.01,0.5723497792217305,17,class
0,0.1,0.5659124185160771,17,class
0,1,0.5631326622790037,17,class
0,1e-6,0.5740082103008932,18,class
0,1e-4,0.5740082103008932,18,class
0,0.001,0.5740082103008932,18,class
0,0.01,0.5728217032363374,18,class
0,0.1,0.5685795080795081,18,class
