sigma,C,AUC,seed,level
1e-7,1e-4,0.6052883035474499,1,class
1e-7,0.001,0.6052347774603872,1,class
1e-7,0.01,0.6052759902759903,1,class
1e-7,0.1,0.6041775311897263,1,class
1e-7,1,0.6044704094338241,1,class
1e-7,10,0.6041979226613373,1,class
1e-7,100,0.6056465350367789,1,class
1e-6,1e-4,0.6048688636371563,1,class
1e-6,0.001,0.6052377098352708,1,class
1e-6,0.01,0.6051372286921067,1,class
1e-6,0.1,0.6046869160100867,1,class
1e-6,1,0.6029110582708144,1,class
1e-6,10,0.6063728711289686,1,class
1e-6,100,0.6046469431103577,1,class
1e-5,1e-4,0.6054318216299923,1,class
1e-5,0.001,0.6056700768712964,1,class
1e-5,0.01,0.6055851094997436,1,class
1e-5,0.1,0.6054437835047591,1,class
1e-5,1,0.6055016436296924,1,class
1e-5,10,0.6046212623773599,1,class
1e-5,100,0.6044341693609986,1,class
1e-4,1e-4,0.6048697486685292,1,class
1e-4,0.001,0.6031264339252144,1,class
1e-4,0.01,0.604872644421425,1,class
1e-4,0.1,0.6057473187473188,1,class
1e-4,1,0.6042496581947802,1,class
1e-4,10,0.6033008278313157,1,class
1e-4,100,0.6007396438250097,1,class
0.001,1e-4,0.5998754608266803,1,class
0.001,0.001,0.5999324027860613,1,class
0.001,0.01,0.6024812181519499,1,class
0.001,0.1,0.5999252135410672,1,class
0.001,1,0.6004454463173976,1,class
0.001,10,0.6000528830223952,1,class
0.001,100,0.597268236877993,1,class
0.01,1e-4,0.5921392934746593,1,class
0.01,0.001,0.5925071325681082,1,class
0.01,0.01,0.591611834831347,1,class
0.01,0.1,0.5936494883385127,1,class
0.01,1,0.5972980271211978,1,class
0.01,10,0.5851045243850121,1,class
0.01,100,0.5547078184456233,1,class
0.1,1e-4,0.57085290168217,1,class
0.1,0.001,0.5758005418310297,1,class
0.1,0.01,0.5741788565569054,1,class
0.1,0.1,0.5728344293771123,1,class
0.1,1,0.5784212915005598,1,class
0.1,10,0.49408289212557505,1,class
0.1,100,0.4948756203939131,1,class
1,1e-4,0.4825843160233404,1,class
1,0.001,0.48738214651934164,1,class
1,0.01,0.4914924619741693,1,class
1,0.1,0.4892081070617656,1,class
1,1,0.4865651526962503,1,class
1,10,0.48376268690293084,1,class
1,100,0.4861662324345251,1,class
1e-7,1e-4,0.5599537477372843,10,class
1e-7,0.001,0.5603415179116399,10,class
1e-7,0.01,0.5574334779029901,10,class
1e-7,0.1,0.5563525738281836,10,class
1e-7,1,0.5575929274221957,10,class
1e-7,10,0.5582585111243648,10,class
1e-7,100,0.5600921470250738,10,class
1e-6,1e-4,0.5600021672369233,10,class
1e-6,0.001,0.559057266325559,10,class
1e-6,0.01,0.5566246098014391,10,class
1e-6,0.1,0.5573822969310774,10,class
1e-6,1,0.5555784722004234,10,class
1e-6,10,0.5593510531437361,10,class
1e-6,100,0.5632488926208439,10,class
1e-5,1e-4,0.5594261256029549,10,class
1e-5,0.001,0.5571608498742645,10,class
1e-5,0.01,0.5571940913038474,10,class
1e-5,0.1,0.5574053757590343,10,class
1e-5,1,0.5605476207915232,10,class
1e-5,10,0.5626099409514044,10,class
1e-5,100,0.5634908968201651,10,class
1e-4,1e-4,0.5549881048295683,10,class
1e-4,0.001,0.5546960767387596,10,class
1e-4,0.01,0.5558045955363029,10,class
1e-4,0.1,0.5615557386654948,10,class
1e-4,1,0.5629862868094575,10,class
1e-4,10,0.5636796395698834,10,class
1e-4,100,0.5541402360548702,10,class
0.001,1e-4,0.5577302964985892,10,class
0.001,0.001,0.5571153060726232,10,class
0.001,0.01,0.5583216919009601,10,class
0.001,0.1,0.5595269110573988,10,class
0.001,1,0.5595312908727543,10,class
0.001,10,0.5537125112917796,10,class
0.001,100,0.5575675440248611,10,class
0.01,1e-4,0.5684436239375263,10,class
0.01,0.001,0.5673730237205847,10,class
0.01,0.01,0.568236662620809,10,class
0.01,0.1,0.5674983746813015,10,class
0.01,1,0.5509909299543446,10,class
0.01,10,0.554336161073966,10,class
0.01,100,0.5135068291287803,10,class
0.1,1e-4,0.5271101353967208,10,class
0.1,0.001,0.5174221146233341,10,class
0.1,0.01,0.5114645220133025,10,class
0.1,0.1,0.514368211416992,10,class
0.1,1,0.4960313414459756,10,class
0.1,10,0.4993956447736936,10,class
0.1,100,0.4859895505261359,10,class
1,1e-4,0.576970733364026,10,class
1,0.001,0.5742459401910621,10,class
1,0.01,0.5761080265805876,10,class
1,0.1,0.5759507386306166,10,class
1,1,0.5784646288274337,10,class
1,10,0.5533700830621563,10,class
1,100,0.5507923986704475,10,class
1e-7,1e-4,0.5444868513984368,100,class
1e-7,0.001,0.5429860923641412,100,class
1e-7,0.01,0.5383019012043402,100,class
1e-7,0.1,0.5329013473403718,100,class
1e-7,1,0.5250026873563459,100,class
1e-7,10,0.5253254386790972,100,class
1e-7,100,0.52795403155769,100,class
1e-6,1e-4,0.5429736666108618,100,class
1e-6,0.001,0.5421619180155766,100,class
1e-6,0.01,0.5302402838378448,100,class
1e-6,0.1,0.529383580444556,100,class
1e-6,1,0.5252545437423486,100,class
1e-6,10,0.5301268062487575,100,class
1e-6,100,0.5383452494306152,100,class
1e-5,1e-4,0.5403301297813493,100,class
1e-5,0.001,0.5265075729039144,100,class
1e-5,0.01,0.527034376711206,100,class
1e-5,0.1,0.5266134871805603,100,class
1e-5,1,0.5291935184313233,100,class
1e-5,10,0.5311231684646319,100,class
1e-5,100,0.5343999051316125,100,class
1e-4,1e-4,0.5304114122833635,100,class
1e-4,0.001,0.52928681730511,100,class
1e-4,0.01,0.5205206260267236,100,class
1e-4,0.1,0.5323386539849955,100,class
1e-4,1,0.5348212733639564,100,class
1e-4,10,0.536996415404952,100,class
1e-4,100,0.5263309563919321,100,class
0.001,1e-4,0.5202285961920108,100,class
0.001,0.001,0.5216078552420016,100,class
0.001,0.01,0.5234406183186671,100,class
0.001,0.1,0.5298745601001699,100,class
0.001,1,0.5290863467997614,100,class
0.001,10,0.5237391825623533,100,class
0.001,100,0.5344182361804313,100,class
0.01,1e-4,0.507861510465169,100,class
0.01,0.001,0.5022966564125101,100,class
0.01,0.01,0.5010226149494442,100,class
0.01,0.1,0.5002558368473002,100,class
0.01,1,0.5074590845200602,100,class
0.01,10,0.5044161042575677,100,class
0.01,100,0.49293901218291464,100,class
0.1,1e-4,0.4842734463557634,100,class
0.1,0.001,0.4825369677168458,100,class
0.1,0.01,0.48198657673352796,100,class
0.1,0.1,0.47846220218476315,100,class
0.1,1,0.4798433655781217,100,class
0.1,10,0.4761359517182688,100,class
0.1,100,0.48348793785074273,100,class
1,1e-4,0.5666389176633079,100,class
1,0.001,0.564332472280643,100,class
1,0.01,0.5633768393829369,100,class
1,0.1,0.5618318824050531,100,class
1,1,0.5655421052585686,100,class
1,10,0.546013899352314,100,class
1,100,0.5402674560448951,100,class
1e-7,1e-4,0.5812190099507173,11,class
1e-7,0.001,0.5813680165356995,11,class
1e-7,0.01,0.5814709465563124,11,class
1e-7,0.1,0.5760988828549805,11,class
1e-7,1,0.5751024046694778,11,class
1e-7,10,0.5775786056090935,11,class
1e-7,100,0.5837427122244195,11,class
1e-6,1e-4,0.5813389473968742,11,class
1e-6,0.001,0.5806920143139656,11,class
1e-6,0.01,0.5794215958118397,11,class
1e-6,0.1,0.5730058943961384,11,class
1e-6,1,0.5759812033287643,11,class
1e-6,10,0.5857404625880236,11,class
1e-6,100,0.5866628832665418,11,class
1e-5,1e-4,0.5809463357085308,11,class
1e-5,0.001,0.577011115645262,11,class
1e-5,0.01,0.5775971991154918,11,class
1e-5,0.1,0.5773198468503347,11,class
1e-5,1,0.5845685511295268,11,class
1e-5,10,0.5847551863710401,11,class
1e-5,100,0.5860777406326186,11,class
1e-4,1e-4,0.5755371294639587,11,class
1e-4,0.001,0.5776519263165605,11,class
1e-4,0.01,0.5790762504664944,11,class
1e-4,0.1,0.5832120195108,11,class
1e-4,1,0.5851833279272304,11,class
1e-4,10,0.586429139069383,11,class
1e-4,100,0.5838639754737316,11,class
0.001,1e-4,0.5781946885910301,11,class
0.001,0.001,0.5743342270842271,11,class
0.001,0.01,0.579428443251614,11,class
0.001,0.1,0.5855071439034853,11,class
0.001,1,0.5881264879862441,11,class
0.001,10,0.5813234192380534,11,class
0.001,100,0.574717710742101,11,class
0.01,1e-4,0.5815617193848901,11,class
0.01,0.001,0.5811264661874418,11,class
0.01,0.01,0.5810648592843715,11,class
0.01,0.1,0.5839898304227572,11,class
0.01,1,0.5793995162409796,11,class
0.01,10,0.5476727310934628,11,class
0.01,100,0.5058599060733208,11,class
0.1,1e-4,0.5646133450523695,11,class
0.1,0.001,0.5628953962673475,11,class
0.1,0.01,0.5631159112073746,11,class
0.1,0.1,0.5615681727023191,11,class
0.1,1,0.5422077731041146,11,class
0.1,10,0.4833402723280772,11,class
0.1,100,0.4896368066672945,11,class
1,1e-4,0.47835283192600264,11,class
1,0.001,0.4826519677342848,11,class
1,0.01,0.48218693911681715,11,class
1,0.1,0.479358431166358,11,class
1,1,0.47488493109834573,11,class
1,10,0.48442597562719514,11,class
1,100,0.48477562405611185,11,class
1e-7,1e-4,0.6087238104829569,12,class
1e-7,0.001,0.608439033981717,12,class
1e-7,0.01,0.60764713668372206,12,class
1e-7,0.1,0.6072118861021301,12,class
1e-7,1,0.6057766198254003,12,class
1e-7,10,0.6050419565907371,12,class
1e-7,100,0.6064112579478433,12,class
1e-6,1e-4,0.6089925517852347,12,class
1e-6,0.001,0.608362807057929,12,class
1e-6,0.01,0.6077612525417404,12,class
1e-6,0.1,0.607170597426695,12,class
1e-6,1,0.6066338830119318,12,class
1e-6,10,0.6067350843875234,12,class
1e-6,100,0.6062477477477477,12,class
1e-5,1e-4,0.6083947850289314,12,class
1e-5,0.001,0.6072579678982118,12,class
1e-5,0.01,0.608391283269332,12,class
1e-5,0.1,0.6073456426810085,12,class
1e-5,1,0.6062786078761688,12,class
1e-5,10,0.6062845258150136,12,class
1e-5,100,0.6061861949057071,12,class
1e-4,1e-4,0.6052552325845009,12,class
1e-4,0.001,0.6070466311258994,12,class
1e-4,0.01,0.6070612180124375,12,class
1e-4,0.1,0.6069954693369327,12,class
1e-4,1,0.6035848374506911,12,class
1e-4,10,0.6054427319305368,12,class
1e-4,100,0.6056010871498676,12,class
0.001,1e-4,0.6038029370834249,12,class
0.001,0.001,0.6042868495673374,12,class
0.001,0.01,0.6043078514054124,12,class
0.001,0.1,0.6031406301772155,12,class
0.001,1,0.6026101920736067,12,class
0.001,10,0.6037866664573982,12,class
0.001,100,0.6011656264278216,12,class
0.01,1e-4,0.5896770847502555,12,class
0.01,0.001,0.5919463967451772,12,class
0.01,0.01,0.5885464253452058,12,class
0.01,0.1,0.5868828715475057,12,class
0.01,1,0.59285072092998925,12,class
0.01,10,0.5832809089577382,12,class
0.01,100,0.5340421449323889,12,class
0.1,1e-4,0.5653680945754117,12,class
0.1,0.001,0.5609871256273695,12,class
0.1,0.01,0.5615691641118471,12,class
0.1,0.1,0.5570188803786364,12,class
0.1,1,0.5649190479678284,12,class
0.1,10,0.4850041269492489,12,class
0.1,100,0.4927412708876124,12,class
1,1e-4,0.4913609811902495,12,class
1,0.001,0.4845431995584435,12,class
1,0.01,0.4844776026026026,12,class
1,0.1,0.48868513722782014,12,class
1,1,0.4851946933867666,12,class
1,10,0.48034356743503087,12,class
1,100,0.4836772142351411,12,class
