nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,AUC,seed,level
100,1,0.001,0,0.8,1,0.4,0.6248880186807017,1,otu
100,1,0.001,0,0.8,1,0.5,0.6307418407083041,1,otu
100,1,0.001,0,0.8,1,0.6,0.6303983386696801,1,otu
100,1,0.001,0,0.8,1,0.7,0.6300510702339971,1,otu
100,1,0.01,0,0.8,1,0.4,0.6292793315964048,1,otu
100,1,0.01,0,0.8,1,0.5,0.6343654543044787,1,otu
100,1,0.01,0,0.8,1,0.6,0.6351605621300743,1,otu
100,1,0.01,0,0.8,1,0.7,0.6347779914060402,1,otu
100,1,0.1,0,0.8,1,0.4,0.6320597705719657,1,otu
100,1,0.1,0,0.8,1,0.5,0.6362758272209492,1,otu
100,1,0.1,0,0.8,1,0.6,0.6381442923759997,1,otu
100,1,0.1,0,0.8,1,0.7,0.6365892242416633,1,otu
100,1,1,0,0.8,1,0.4,0.5684794786075273,1,otu
100,1,1,0,0.8,1,0.5,0.5803661863082595,1,otu
100,1,1,0,0.8,1,0.6,0.5871171040378358,1,otu
100,1,1,0,0.8,1,0.7,0.595830565321419,1,otu
100,2,0.001,0,0.8,1,0.4,0.6376602281724233,1,otu
100,2,0.001,0,0.8,1,0.5,0.6403025211622773,1,otu
100,2,0.001,0,0.8,1,0.6,0.6399867881819101,1,otu
100,2,0.001,0,0.8,1,0.7,0.6341461496339545,1,otu
100,2,0.01,0,0.8,1,0.4,0.6398873193751242,1,otu
100,2,0.01,0,0.8,1,0.5,0.6439104993495237,1,otu
100,2,0.01,0,0.8,1,0.6,0.6453695917171527,1,otu
100,2,0.01,0,0.8,1,0.7,0.6407528647985965,1,otu
100,2,0.1,0,0.8,1,0.4,0.6356289643301839,1,otu
100,2,0.1,0,0.8,1,0.5,0.6428356858600761,1,otu
100,2,0.1,0,0.8,1,0.6,0.644996492136736,1,otu
100,2,0.1,0,0.8,1,0.7,0.6440111365721122,1,otu
100,2,1,0,0.8,1,0.4,0.5718720985794157,1,otu
100,2,1,0,0.8,1,0.5,0.5861371135944307,1,otu
100,2,1,0,0.8,1,0.6,0.5957753341320414,1,otu
