alpha,lambda,AUC,seed,level
0,1e-4,0.5860085128682689,1,family
0,0.001,0.5860085128682689,1,family
0,0.01,0.5859611667416545,1,family
0,0.1,0.5890364414937586,1,family
0,1,0.6004187689431592,1,family
0,10,0.6024807551453893,1,family
0,20,0.6024938178596715,1,family
0,30,0.602505386048069,1,family
0,50,0.6025265945387897,1,family
0,1e-4,0.58279410072093,10,family
0,0.001,0.58279410072093,10,family
0,0.01,0.5827971106995498,10,family
0,0.1,0.5863067187396456,10,family
0,1,0.5954542504176651,10,family
0,10,0.5989460191899216,10,family
0,20,0.5991943023162536,10,family
0,30,0.5991858487407268,10,family
0,50,0.5992229511741707,10,family
0,1e-4,0.61961228214277,100,family
0,0.001,0.61961228214277,100,family
0,0.01,0.6196187799297556,100,family
0,0.1,0.6201094657375146,100,family
0,1,0.6293590332492771,100,family
0,10,0.6326249298078567,100,family
0,20,0.6326907909651812,100,family
0,30,0.6327494742128889,100,family
0,50,0.6327185094502168,100,family
0,1e-4,0.5875910413898219,11,family
0,0.001,0.5875910413898219,11,family
0,0.01,0.587617611513953,11,family
0,0.1,0.5899372595592108,11,family
0,1,0.598525950166194,11,family
0,10,0.5995191855618685,11,family
0,20,0.5996331061026183,11,family
0,30,0.5996112445197811,11,family
0,50,0.5996020654801143,11,family
0,1e-4,0.5736516769382624,12,family
0,0.001,0.5736516769382624,12,family
0,0.01,0.5736685335160945,12,family
0,0.1,0.5819159760806102,12,family
0,1,0.5989299761433908,12,family
0,10,0.6031588696710648,12,family
0,20,0.6032842162720211,12,family
0,30,0.6033727446959154,12,family
0,50,0.6034059939730672,12,family
0,1e-4,0.5724685914137134,13,family
0,0.001,0.5724685914137134,13,family
0,0.01,0.5720476129439545,13,family
0,0.1,0.5590322343249172,13,family
0,1,0.5652663002723979,13,family
0,10,0.5693914628914629,13,family
0,20,0.5696002474600036,13,family
0,30,0.5697288717288718,13,family
0,50,0.5697404582282631,13,family
0,1e-4,0.5534185936807888,14,family
0,0.001,0.5534185936807888,14,family
0,0.01,0.5533859277395863,14,family
0,0.1,0.5565571180937035,14,family
0,1,0.5648175265858193,14,family
0,10,0.5672354183451744,14,family
0,20,0.5672994327079693,14,family
0,30,0.5672851100229149,14,family
0,50,0.5672976678769361,14,family
0,1e-4,0.5576470294336148,15,family
0,0.001,0.5576470294336148,15,family
0,0.01,0.5576600058246399,15,family
0,0.1,0.5680558572509792,15,family
0,1,0.5821690610471099,15,family
0,10,0.5864365759487711,15,family
0,20,0.5865749495139739,15,family
0,30,0.5865959469922885,15,family
0,50,0.5866291552876919,15,family
0,1e-4,0.5698119155741107,16,family
0,0.001,0.5698119155741107,16,family
0,0.01,0.5697460779594926,16,family
0,0.1,0.5735684595745572,16,family
0,1,0.5834486655645192,16,family
0,10,0.587539934533837,16,family
0,20,0.5877282997282998,16,family
0,30,0.5878594587618978,16,family
0,50,0.5878500242402681,16,family
0,1e-4,0.553209131605473,17,family
0,0.001,0.553209131605473,17,family
0,0.01,0.5531390083463255,17,family
0,0.1,0.5499238140579604,17,family
0,1,0.5580782951941489,17,family
0,10,0.5648228611887148,17,family
0,20,0.5654324141214385,17,family
0,30,0.5656171083975962,17,family
0,50,0.5657447037629965,17,family
0,1e-4,0.5631673241185436,18,family
0,0.001,0.5631673241185436,18,family
0,0.01,0.5632256638171272,18,family
0,0.1,0.5709988699500894,18,family
0,1,0.5803609654951118,18,family
0,10,0.5827090330748868,18,family
0,20,0.5828276019922362,18,family
0,30,0.5829227912581572,18,family
0,50,0.5829206148657369,18,family
0,1e-4,0.545946308678016,19,family
0,0.001,0.545946308678016,19,family
0,0.01,0.5459309352906914,19,family
0,0.1,0.5513497478314552,19,family
0,1,0.5607095719412792,19,family
0,10,0.5636827262802873,19,family
0,20,0.5638188188188188,19,family
0,30,0.5638635142110752,19,family
0,50,0.5638943281260355,19,family
0,1e-4,0.5852387631533973,2,family
0,0.001,0.5852387631533973,2,family
0,0.01,0.5852279962889719,2,family
0,0.1,0.5853534109021914,2,family
0,1,0.588347868774698,2,family
0,10,0.5912803142864118,2,family
0,20,0.5915371399273839,2,family
0,30,0.59165830900587,2,family
0,50,0.5917333561784781,2,family
0,1e-4,0.5764786886189325,20,family
0,0.001,0.5764786886189325,20,family
0,0.01,0.5764806051696296,20,family
0,0.1,0.5774634922378825,20,family
0,1,0.5841304309536017,20,family
0,10,0.5867221751368092,20,family
0,20,0.5869330227439984,20,family
0,30,0.5870224928761514,20,family
0,50,0.5871207147914465,20,family
0,1e-4,0.5710255080864837,21,family
0,0.001,0.5710255080864837,21,family
0,0.01,0.5709578690188446,21,family
0,0.1,0.5703976110256598,21,family
0,1,0.5779503867979477,21,family
0,10,0.5822128408896702,21,family
0,20,0.5825881002954174,21,family
0,30,0.5826912138619456,21,family
0,50,0.5827955254906474,21,family
0,1e-4,0.5765020098495708,22,family
0,0.001,0.5765020098495708,22,family
0,0.01,0.5764624877490732,22,family
0,0.1,0.5807569747447796,22,family
0,1,0.590570717930474,22,family
0,10,0.5947123709074928,22,family
0,20,0.5951006782043368,22,family
0,30,0.5951963496597643,22,family
0,50,0.595185487752561,22,family
0,1e-4,0.5863913931352955,23,family
0,0.001,0.5863913931352955,23,family
0,0.01,0.5863003857516053,23,family
0,0.1,0.5858028873821557,23,family
0,1,0.594188234401649,23,family
0,10,0.5957139569883473,23,family
0,20,0.5958627826432704,23,family
0,30,0.5958634043451116,23,family
0,50,0.5959210002685612,23,family
0,1e-4,0.5648417372075909,24,family
0,0.001,0.5648417372075909,24,family
0,0.01,0.5646719942939455,24,family
0,0.1,0.5632345088991431,24,family
0,1,0.5797095623498063,24,family
0,10,0.5889600053014687,24,family
0,20,0.5896046037326526,24,family
0,30,0.5898152568945252,24,family
0,50,0.590032536892293,24,family
0,1e-4,0.5740856998113095,25,family
