sigma,C,AUC,seed,level
1e-7,1e-4,0.604479894964651,1,genus
1e-7,0.001,0.6049804682731512,1,genus
1e-7,0.01,0.6045041034065425,1,genus
1e-7,0.1,0.6046897620617133,1,genus
1e-7,1,0.6045126685919369,1,genus
1e-7,10,0.6071753966510064,1,genus
1e-7,100,0.6104093361654337,1,genus
1e-6,1e-4,0.6044667136648844,1,genus
1e-6,0.001,0.6044166195812537,1,genus
1e-6,0.01,0.6033416587319026,1,genus
1e-6,0.1,0.604368784289516,1,genus
1e-6,1,0.6078154574435062,1,genus
1e-6,10,0.6102210389832341,1,genus
1e-6,100,0.6103372239835655,1,genus
1e-5,1e-4,0.6050977475733573,1,genus
1e-5,0.001,0.6050898372239836,1,genus
1e-5,0.01,0.6051105818361916,1,genus
1e-5,0.1,0.6079749784627834,1,genus
1e-5,1,0.6102308632674487,1,genus
1e-5,10,0.6103247105991009,1,genus
1e-5,100,0.6013678922825264,1,genus
1e-4,1e-4,0.6070243082804059,1,genus
1e-4,0.001,0.6070243082804059,1,genus
1e-4,0.01,0.6084351415875806,1,genus
1e-4,0.1,0.6114921829495,1,genus
1e-4,1,0.6114920826750095,1,genus
1e-4,10,0.6044195789866522,1,genus
1e-4,100,0.5780974589572151,1,genus
0.001,1e-4,0.601215632008315,1,genus
0.001,0.001,0.6012098989233136,1,genus
0.001,0.01,0.6018744668012961,1,genus
0.001,0.1,0.6025556732690879,1,genus
0.001,1,0.6031783813430155,1,genus
0.001,10,0.5873025604001214,1,genus
0.001,100,0.5766750557177387,1,genus
0.01,1e-4,0.582396077697907,1,genus
0.01,0.001,0.5773758728240436,1,genus
0.01,0.01,0.5776639666670155,1,genus
0.01,0.1,0.5797230806590563,1,genus
0.01,1,0.5721235649848455,1,genus
0.01,10,0.5631581803929365,1,genus
0.01,100,0.5613945644250522,1,genus
0.1,1e-4,0.5541658147694734,1,genus
0.1,0.001,0.545513423266472,1,genus
0.1,0.01,0.5766911811637422,1,genus
0.1,0.1,0.5773281757367124,1,genus
0.1,1,0.5756007795687674,1,genus
0.1,10,0.5779569569569569,1,genus
0.1,100,0.5779148460306996,1,genus
1,1e-4,0.5032088421173787,1,genus
1,0.001,0.5035126171467635,1,genus
1,0.01,0.4804961612309173,1,genus
1,0.1,0.4810565120869999,1,genus
1,1,0.4787367118861021,1,genus
1,10,0.4768586522062132,1,genus
1,100,0.4767437494114323,1,genus
1e-7,1e-4,0.5818536663841541,10,genus
1e-7,0.001,0.5819340507755142,10,genus
1e-7,0.01,0.5816990492234395,10,genus
1e-7,0.1,0.5800636254721621,10,genus
1e-7,1,0.5816248068626118,10,genus
1e-7,10,0.5806107727936997,10,genus
1e-7,100,0.5832971220349269,10,genus
1e-6,1e-4,0.5812794977032782,10,genus
1e-6,0.001,0.5815924522083059,10,genus
1e-6,0.01,0.581493794316965,10,genus
1e-6,0.1,0.5814748921395263,10,genus
1e-6,1,0.579709130733521,10,genus
1e-6,10,0.5828919014833649,10,genus
1e-6,100,0.5841786751908703,10,genus
1e-5,1e-4,0.5822335776543094,10,genus
1e-5,0.001,0.582230714163641,10,genus
1e-5,0.01,0.5822701961543425,10,genus
1e-5,0.1,0.5811125105942179,10,genus
1e-5,1,0.5839239814727619,10,genus
1e-5,10,0.5842060658219195,10,genus
1e-5,100,0.5766316891804697,10,genus
1e-4,1e-4,0.5829182510036168,10,genus
1e-4,0.001,0.5821943031882056,10,genus
1e-4,0.01,0.5819096997694558,10,genus
1e-4,0.1,0.584606915277647,10,genus
1e-4,1,0.5848163511944,10,genus
1e-4,10,0.5787087549221696,10,genus
1e-4,100,0.5479155697509356,10,genus
0.001,1e-4,0.5766501030647372,10,genus
0.001,0.001,0.5761060564048369,10,genus
0.001,0.01,0.5783410980667079,10,genus
0.001,0.1,0.5774850625887211,10,genus
0.001,1,0.5794588970503605,10,genus
0.001,10,0.5597403509781559,10,genus
0.001,100,0.5395671847805994,10,genus
0.01,1e-4,0.560950426907744,10,genus
0.01,0.001,0.5570871834377932,10,genus
0.01,0.01,0.5512673771332308,10,genus
0.01,0.1,0.5450599589136175,10,genus
0.01,1,0.5436307169538876,10,genus
0.01,10,0.4983345566821177,10,genus
0.01,100,0.49669467899955705,10,genus
0.1,1e-4,0.5075638029144127,10,genus
0.1,0.001,0.5060884521280863,10,genus
0.1,0.01,0.5310140916177502,10,genus
0.1,0.1,0.5295183916494892,10,genus
0.1,1,0.5314566212554017,10,genus
0.1,10,0.5286070353890476,10,genus
0.1,100,0.5315938333804188,10,genus
1,1e-4,0.5013878368786906,10,genus
1,0.001,0.4997948322887347,10,genus
1,0.01,0.4904063270587661,10,genus
1,0.1,0.4886159408537457,10,genus
1,1,0.4799591106786229,10,genus
1,10,0.47852895404114915,10,genus
1,100,0.4780254374583643,10,genus
1e-7,1e-4,0.5717043149421198,100,genus
1e-7,0.001,0.5714914265310607,100,genus
1e-7,0.01,0.571299458866532,100,genus
1e-7,0.1,0.5708631715339032,100,genus
1e-7,1,0.5709343036416207,100,genus
1e-7,10,0.571605571599474,100,genus
1e-7,100,0.5715288363276169,100,genus
1e-6,1e-4,0.5709109854628147,100,genus
1e-6,0.001,0.5711013408879263,100,genus
1e-6,0.01,0.5711556338568534,100,genus
1e-6,0.1,0.5702661755832488,100,genus
1e-6,1,0.5706616913080328,100,genus
1e-6,10,0.5714792850341631,100,genus
1e-6,100,0.5708128171725733,100,genus
1e-5,1e-4,0.5710051227185373,100,genus
1e-5,0.001,0.5710167057301204,100,genus
1e-5,0.01,0.5709900553863969,100,genus
1e-5,0.1,0.570249217858974,100,genus
1e-5,1,0.571849765270497,100,genus
1e-5,10,0.5720847755420926,100,genus
1e-5,100,0.5725139032760984,100,genus
1e-4,1e-4,0.5723949245412661,100,genus
1e-4,0.001,0.5727877459340874,100,genus
1e-4,0.01,0.5740067942506967,100,genus
1e-4,0.1,0.5742495648959064,100,genus
1e-4,1,0.5747835396371982,100,genus
1e-4,10,0.5743523200901249,100,genus
1e-4,100,0.5459061422049227,100,genus
0.001,1e-4,0.5702346680303998,100,genus
0.001,0.001,0.5709023622926062,100,genus
0.001,0.01,0.5713504174906614,100,genus
0.001,0.1,0.5712612534136925,100,genus
0.001,1,0.5718389382413773,100,genus
0.001,10,0.5477720996257581,100,genus
0.001,100,0.5272855337916313,100,genus
0.01,1e-4,0.5320546020759436,100,genus
0.01,0.001,0.5297101814357912,100,genus
0.01,0.01,0.5294992383498481,100,genus
0.01,0.1,0.5252357300680471,100,genus
0.01,1,0.5126538110410062,100,genus
0.01,10,0.48618939627781094,100,genus
0.01,100,0.4886683591256762,100,genus
0.1,1e-4,0.5115753462521755,100,genus
0.1,0.001,0.5107070450241182,100,genus
0.1,0.01,0.5387416602142212,100,genus
0.1,0.1,0.5335151471157569,100,genus
0.1,1,0.5382510694492402,100,genus
0.1,10,0.5365425525699916,100,genus
0.1,100,0.5411440791837133,100,genus
1,1e-4,0.5014054625182675,100,genus
1,0.001,0.5017558185363064,100,genus
1,0.01,0.4917859488408269,100,genus
