sigma,C,AUC,seed,level
1e-7,1e-4,0.6167542193761706,1,otu
1e-7,0.001,0.6162114396626592,1,otu
1e-7,0.01,0.6153752201679031,1,otu
1e-7,0.1,0.6146783560564049,1,otu
1e-7,1,0.6144295105209739,1,otu
1e-7,10,0.6139247278637523,1,otu
1e-7,100,0.6133090267968316,1,otu
1e-6,1e-4,0.6168757886806667,1,otu
1e-6,0.001,0.6150652089371602,1,otu
1e-6,0.01,0.6132972624192137,1,otu
1e-6,0.1,0.6110415345659248,1,otu
1e-6,1,0.6142259315064194,1,otu
1e-6,10,0.6157569189398457,1,otu
1e-6,100,0.6166992332053308,1,otu
1e-5,1e-4,0.6128692150338492,1,otu
1e-5,0.001,0.6100250224091688,1,otu
1e-5,0.01,0.6111799220823612,1,otu
1e-5,0.1,0.6134246057904594,1,otu
1e-5,1,0.612449902864537,1,otu
1e-5,10,0.6140851504814919,1,otu
1e-5,100,0.6072111170403853,1,otu
1e-4,1e-4,0.6045004446955666,1,otu
1e-4,0.001,0.6044880342014488,1,otu
1e-4,0.01,0.6085680427814574,1,otu
1e-4,0.1,0.6095624867027306,1,otu
1e-4,1,0.6092892552831577,1,otu
1e-4,10,0.6082011950975366,1,otu
1e-4,100,0.6065503273308152,1,otu
0.001,1e-4,0.6042617591459055,1,otu
0.001,0.001,0.6020457277835327,1,otu
0.001,0.01,0.6044299534726364,1,otu
0.001,0.1,0.605166240282094,1,otu
0.001,1,0.6109494695043476,1,otu
0.001,10,0.6194745163281749,1,otu
0.001,100,0.6194745163281749,1,otu
0.01,1e-4,0.5655404363422656,1,otu
0.01,0.001,0.5671688404432307,1,otu
0.01,0.01,0.5410821723291236,1,otu
0.01,0.1,0.5414810947707289,1,otu
0.01,1,0.5483065495809398,1,otu
0.01,10,0.5532726838336595,1,otu
0.01,100,0.5529139453041892,1,otu
0.1,1e-4,0.5003385598141695,1,otu
0.1,0.001,0.5026063685636857,1,otu
0.1,0.01,0.49378170156218937,1,otu
0.1,0.1,0.501707539420954,1,otu
0.1,1,0.5040207882098126,1,otu
0.1,10,0.5043062914831208,1,otu
0.1,100,0.5037824758556466,1,otu
1,1e-4,0.5,1,otu
1,0.001,0.5,1,otu
1,0.01,0.5,1,otu
1,0.1,0.5,1,otu
1,1,0.5,1,otu
1,10,0.5,1,otu
1,100,0.5,1,otu
1e-7,1e-4,0.6043513147293635,10,otu
1e-7,0.001,0.6040939999232682,10,otu
1e-7,0.01,0.602384504713773,10,otu
1e-7,0.1,0.6007785947968874,10,otu
1e-7,1,0.6042305685476417,10,otu
1e-7,10,0.6071888011705084,10,otu
1e-7,100,0.6064191560898878,10,otu
1e-6,1e-4,0.6045336368598564,10,otu
1e-6,0.001,0.6029010334376188,10,otu
1e-6,0.01,0.6037974899987095,10,otu
1e-6,0.1,0.6037410991130503,10,otu
1e-6,1,0.6072176392420295,10,otu
1e-6,10,0.6079855020525752,10,otu
1e-6,100,0.6078012437524632,10,otu
1e-5,1e-4,0.6039723181369523,10,otu
1e-5,0.001,0.6042129873776215,10,otu
1e-5,0.01,0.6041747400710815,10,otu
1e-5,0.1,0.6067109147475002,10,otu
1e-5,1,0.607486672212282,10,otu
1e-5,10,0.6089041820566211,10,otu
1e-5,100,0.5913354059634548,10,otu
1e-4,1e-4,0.6016366645391036,10,otu
1e-4,0.001,0.6002280756366122,10,otu
1e-4,0.01,0.6039560082730815,10,otu
1e-4,0.1,0.6049190305287866,10,otu
1e-4,1,0.606515939284232,10,otu
1e-4,10,0.5941443935224423,10,otu
1e-4,100,0.5722227096434414,10,otu
0.001,1e-4,0.5861366409963971,10,otu
0.001,0.001,0.5910123982867885,10,otu
0.001,0.01,0.601711696016574,10,otu
0.001,0.1,0.6002609412548437,10,otu
0.001,1,0.6077646631823461,10,otu
0.001,10,0.591002317212683,10,otu
0.001,100,0.5894045229898889,10,otu
0.01,1e-4,0.5314203075026246,10,otu
0.01,0.001,0.5266896709427197,10,otu
0.01,0.01,0.531642054946933,10,otu
0.01,0.1,0.5353026366959294,10,otu
0.01,1,0.5297316170700317,10,otu
0.01,10,0.5389439731543391,10,otu
0.01,100,0.5344682217060266,10,otu
0.1,1e-4,0.5005516840882694,10,otu
0.1,0.001,0.5022697994161409,10,otu
0.1,0.01,0.48843309991175843,10,otu
0.1,0.1,0.4888557438100121,10,otu
0.1,1,0.4892781653604824,10,otu
0.1,10,0.4896158915884526,10,otu
0.1,100,0.4894386477069404,10,otu
1,1e-4,0.5,10,otu
1,0.001,0.5,10,otu
1,0.01,0.5,10,otu
1,0.1,0.5,10,otu
1,1,0.5,10,otu
1,10,0.5,10,otu
1,100,0.5,10,otu
1e-7,1e-4,0.6093437248223834,100,otu
1e-7,0.001,0.6085610976830489,100,otu
1e-7,0.01,0.6089390139268188,100,otu
1e-7,0.1,0.6067481732603683,100,otu
1e-7,1,0.6086322681566584,100,otu
1e-7,10,0.612863226466885,100,otu
1e-7,100,0.6142936019643337,100,otu
1e-6,1e-4,0.6093326654180313,100,otu
1e-6,0.001,0.608854437189803,100,otu
1e-6,0.01,0.6084617605410289,100,otu
1e-6,0.1,0.6087122941757088,100,otu
1e-6,1,0.6120755624962942,100,otu
1e-6,10,0.614640663311395,100,otu
1e-6,100,0.6145842079012811,100,otu
1e-5,1e-4,0.6053287503531406,100,otu
1e-5,0.001,0.6073596383840286,100,otu
1e-5,0.01,0.6064827501717746,100,otu
1e-5,0.1,0.6098665268055512,100,otu
1e-5,1,0.6111677051616076,100,otu
1e-5,10,0.6096530310798604,100,otu
1e-5,100,0.6142716244118683,100,otu
1e-4,1e-4,0.605892379313111,100,otu
1e-4,0.001,0.6064437076449272,100,otu
1e-4,0.01,0.6105949852291316,100,otu
1e-4,0.1,0.6096787806970734,100,otu
1e-4,1,0.6088908263664361,100,otu
1e-4,10,0.6142229651254042,100,otu
1e-4,100,0.6012441701283164,100,otu
0.001,1e-4,0.5988252568770862,100,otu
0.001,0.001,0.6007966210984503,100,otu
0.001,0.01,0.6140508387307168,100,otu
0.001,0.1,0.6142425661724442,100,otu
0.001,1,0.6184002770191794,100,otu
0.001,10,0.61517960687168,100,otu
