threshold,sensitivity,specificity,seed,level
0,1,0,1,class
0.01,1,0,1,class
0.02,1,0,1,class
0.03,1,0,1,class
0.04,1,0,1,class
0.05,1,0,1,class
0.06,1,0,1,class
0.07,1,0,1,class
0.08,1,0,1,class
0.09,1,0,1,class
0.1,1,0,1,class
0.11,1,0,1,class
0.12,1,0,1,class
0.13,1,0,1,class
0.14,1,0,1,class
0.15,1,0,1,class
0.16,1,0,1,class
0.17,1,0,1,class
0.18,1,0,1,class
0.19,1,0,1,class
0.2,1,0.019230769230769232,1,class
0.21,1,0.038461538461538464,1,class
0.22,1,0.057692307692307696,1,class
0.23,1,0.057692307692307696,1,class
0.24,1,0.057692307692307696,1,class
0.25,1,0.057692307692307696,1,class
0.26,0.9777777777777777,0.07692307692307693,1,class
0.27,0.9777777777777777,0.09615384615384616,1,class
0.28,0.9777777777777777,0.09615384615384616,1,class
0.29,0.9111111111111111,0.11538461538461539,1,class
0.3,0.9111111111111111,0.1346153846153846,1,class
0.31,0.8888888888888888,0.15384615384615385,1,class
0.32,0.8666666666666667,0.19230769230769232,1,class
0.33,0.8444444444444444,0.19230769230769232,1,class
0.34,0.8444444444444444,0.23076923076923078,1,class
0.35000000000000003,0.7777777777777778,0.23076923076923078,1,class
0.36,0.7333333333333333,0.2692307692307692,1,class
0.37,0.7111111111111111,0.28846153846153844,1,class
0.38,0.6444444444444445,0.28846153846153844,1,class
0.39,0.6444444444444445,0.3269230769230769,1,class
0.4,0.6,0.34615384615384615,1,class
0.41000000000000003,0.5777777777777777,0.38461538461538464,1,class
0.42,0.5111111111111111,0.4230769230769231,1,class
0.43,0.4888888888888889,0.46153846153846156,1,class
0.44,0.4666666666666667,0.5,1,class
0.45,0.4444444444444444,0.5192307692307693,1,class
0.46,0.4222222222222222,0.5384615384615384,1,class
0.47000000000000003,0.35555555555555557,0.5769230769230769,1,class
0.48,0.3333333333333333,0.6346153846153846,1,class
0.49,0.26666666666666666,0.6346153846153846,1,class
0.5,0.24444444444444444,0.6538461538461539,1,class
0.51,0.24444444444444444,0.6730769230769231,1,class
0.52,0.2222222222222222,0.7115384615384616,1,class
0.53,0.2222222222222222,0.75,1,class
0.54,0.17777777777777778,0.7692307692307693,1,class
0.55,0.17777777777777778,0.8076923076923077,1,class
0.56,0.15555555555555556,0.8076923076923077,1,class
0.5700000000000001,0.15555555555555556,0.8076923076923077,1,class
0.58,0.15555555555555556,0.8461538461538461,1,class
0.59,0.1111111111111111,0.8653846153846154,1,class
0.6,0.08888888888888889,0.9038461538461539,1,class
0.61,0.08888888888888889,0.9230769230769231,1,class
0.62,0.08888888888888889,0.9423076923076923,1,class
0.63,0.08888888888888889,0.9423076923076923,1,class
0.64,0.08888888888888889,0.9615384615384616,1,class
0.65,0.08888888888888889,0.9615384615384616,1,class
0.66,0.08888888888888889,0.9615384615384616,1,class
0.67,0.06666666666666667,0.9615384615384616,1,class
0.68,0.044444444444444446,0.9615384615384616,1,class
0.6900000000000001,0.022222222222222223,1,1,class
0.7000000000000001,0.022222222222222223,1,1,class
0.71,0,1,1,class
0.72,0,1,1,class
0.73,0,1,1,class
0.74,0,1,1,class
0.75,0,1,1,class
0.76,0,1,1,class
0.77,0,1,1,class
0.78,0,1,1,class
0.79,0,1,1,class
0.8,0,1,1,class
0.81,0,1,1,class
0.8200000000000001,0,1,1,class
0.8300000000000001,0,1,1,class
0.84,0,1,1,class
0.85,0,1,1,class
0.86,0,1,1,class
0.87,0,1,1,class
0.88,0,1,1,class
0.89,0,1,1,class
0.9,0,1,1,class
0.91,0,1,1,class
0.92,0,1,1,class
0.93,0,1,1,class
0.9400000000000001,0,1,1,class
0.9500000000000001,0,1,1,class
0.96,0,1,1,class
0.97,0,1,1,class
0.98,0,1,1,class
0.99,0,1,1,class
1,0,1,1,class
0,1,0,10,class
0.01,1,0,10,class
0.02,1,0,10,class
0.03,1,0,10,class
0.04,1,0,10,class
0.05,1,0,10,class
0.06,1,0,10,class
0.07,1,0,10,class
0.08,1,0,10,class
0.09,1,0,10,class
0.1,1,0,10,class
0.11,1,0,10,class
0.12,1,0,10,class
0.13,1,0,10,class
0.14,1,0,10,class
0.15,1,0,10,class
0.16,1,0,10,class
0.17,1,0,10,class
0.18,1,0,10,class
0.19,1,0,10,class
0.2,1,0,10,class
0.21,1,0,10,class
0.22,0.9777777777777777,0,10,class
0.23,0.9777777777777777,0,10,class
0.24,0.9777777777777777,0.019230769230769232,10,class
0.25,0.9777777777777777,0.038461538461538464,10,class
0.26,0.9555555555555556,0.038461538461538464,10,class
0.27,0.9555555555555556,0.038461538461538464,10,class
0.28,0.9555555555555556,0.038461538461538464,10,class
0.29,0.9555555555555556,0.09615384615384616,10,class
0.3,0.9555555555555556,0.1346153846153846,10,class
0.31,0.9333333333333333,0.15384615384615385,10,class
0.32,0.9333333333333333,0.23076923076923078,10,class
0.33,0.9333333333333333,0.25,10,class
0.34,0.9111111111111111,0.28846153846153844,10,class
0.35000000000000003,0.8888888888888888,0.3269230769230769,10,class
0.36,0.8666666666666667,0.34615384615384615,10,class
0.37,0.8444444444444444,0.36538461538461536,10,class
0.38,0.8444444444444444,0.38461538461538464,10,class
0.39,0.8444444444444444,0.4230769230769231,10,class
0.4,0.8222222222222222,0.4807692307692308,10,class
0.41000000000000003,0.8,0.5769230769230769,10,class
0.42,0.7777777777777778,0.5961538461538461,10,class
0.43,0.7333333333333333,0.6346153846153846,10,class
0.44,0.7333333333333333,0.6923076923076923,10,class
0.45,0.6444444444444445,0.7307692307692307,10,class
0.46,0.5777777777777777,0.75,10,class
0.47000000000000003,0.5333333333333333,0.7884615384615384,10,class
0.48,0.5333333333333333,0.7884615384615384,10,class
0.49,0.4666666666666667,0.8076923076923077,10,class
0.5,0.37777777777777777,0.8076923076923077,10,class
0.51,0.3333333333333333,0.8076923076923077,10,class
0.52,0.3333333333333333,0.8076923076923077,10,class
0.53,0.28888888888888886,0.8653846153846154,10,class
0.54,0.28888888888888886,0.8846153846153846,10,class
0.55,0.24444444444444444,0.9038461538461539,10,class
0.56,0.24444444444444444,0.9038461538461539,10,class
0.5700000000000001,0.24444444444444444,0.9230769230769231,10,class
0.58,0.24444444444444444,0.9230769230769231,10,class
0.59,0.2,0.9230769230769231,10,class
0.6,0.2,0.9230769230769231,10,class
0.61,0.17777777777777778,0.9423076923076923,10,class
0.62,0.17777777777777778,0.9423076923076923,10,class
0.63,0.15555555555555556,0.9807692307692307,10,class
0.64,0.13333333333333333,1,10,class
0.65,0.13333333333333333,1,10,class
0.66,0.06666666666666667,1,10,class
0.67,0.044444444444444446,1,10,class
0.68,0.044444444444444446,1,10,class
0.6900000000000001,0.044444444444444446,1,10,class
0.7000000000000001,0.022222222222222223,1,10,class
0.71,0.022222222222222223,1,10,class
0.72,0.022222222222222223,1,10,class
0.73,0,1,10,class
0.74,0,1,10,class
0.75,0,1,10,class
0.76,0,1,10,class
0.77,0,1,10,class
0.78,0,1,10,class
0.79,0,1,10,class
0.8,0,1,10,class
0.81,0,1,10,class
0.8200000000000001,0,1,10,class
0.8300000000000001,0,1,10,class
0.84,0,1,10,class
0.85,0,1,10,class
0.86,0,1,10,class
0.87,0,1,10,class
0.88,0,1,10,class
0.89,0,1,10,class
0.9,0,1,10,class
0.91,0,1,10,class
0.92,0,1,10,class
0.93,0,1,10,class
0.9400000000000001,0,1,10,class
0.9500000000000001,0,1,10,class
0.96,0,1,10,class
0.97,0,1,10,class
0.98,0,1,10,class
0.99,0,1,10,class
1,0,1,10,class
0,1,0,100,class
0.01,1,0,100,class
0.02,1,0,100,class
0.03,1,0,100,class
0.04,1,0,100,class
0.05,1,0,100,class
0.06,1,0,100,class
0.07,1,0,100,class
0.08,1,0,100,class
0.09,1,0,100,class
0.1,1,0,100,class
0.11,1,0,100,class
0.12,1,0.019230769230769232,100,class
0.13,1,0.019230769230769232,100,class
0.14,1,0.019230769230769232,100,class
0.15,1,0.019230769230769232,100,class
0.16,1,0.019230769230769232,100,class
0.17,1,0.019230769230769232,100,class
0.18,1,0.019230769230769232,100,class
0.19,1,0.019230769230769232,100,class
0.2,1,0.019230769230769232,100,class
0.21,1,0.019230769230769232,100,class
0.22,1,0.038461538461538464,100,class
0.23,1,0.038461538461538464,100,class
0.24,1,0.038461538461538464,100,class
0.25,1,0.038461538461538464,100,class
0.26,1,0.038461538461538464,100,class
0.27,0.9555555555555556,0.07692307692307693,100,class
0.28,0.9555555555555556,0.07692307692307693,100,class
0.29,0.8888888888888888,0.09615384615384616,100,class
0.3,0.8888888888888888,0.09615384615384616,100,class
0.31,0.8888888888888888,0.11538461538461539,100,class
0.32,0.8888888888888888,0.1346153846153846,100,class
0.33,0.8888888888888888,0.15384615384615385,100,class
0.34,0.8888888888888888,0.19230769230769232,100,class
0.35000000000000003,0.8444444444444444,0.19230769230769232,100,class
0.36,0.8444444444444444,0.2692307692307692,100,class
0.37,0.8444444444444444,0.34615384615384615,100,class
0.38,0.8444444444444444,0.38461538461538464,100,class
0.39,0.8444444444444444,0.40384615384615385,100,class
0.4,0.7555555555555555,0.40384615384615385,100,class
0.41000000000000003,0.7333333333333333,0.40384615384615385,100,class
0.42,0.7111111111111111,0.4423076923076923,100,class
0.43,0.6888888888888889,0.5,100,class
0.44,0.5777777777777777,0.5192307692307693,100,class
0.45,0.5333333333333333,0.5769230769230769,100,class
0.46,0.4444444444444444,0.6153846153846154,100,class
0.47000000000000003,0.37777777777777777,0.6346153846153846,100,class
0.48,0.37777777777777777,0.6346153846153846,100,class
0.49,0.35555555555555557,0.6538461538461539,100,class
0.5,0.3111111111111111,0.6730769230769231,100,class
0.51,0.3111111111111111,0.6923076923076923,100,class
0.52,0.28888888888888886,0.7307692307692307,100,class
0.53,0.28888888888888886,0.7884615384615384,100,class
0.54,0.24444444444444444,0.7884615384615384,100,class
0.55,0.2222222222222222,0.8269230769230769,100,class
0.56,0.2,0.8269230769230769,100,class
0.5700000000000001,0.2,0.8846153846153846,100,class
