mtry,AUC,seed,level
1,0.6418216753338705,1,class
2,0.6361818525842916,1,class
4,0.6354168462887975,1,class
8,0.6337867636800564,1,class
1,0.5802935976045732,10,class
2,0.5756306214751337,10,class
4,0.5769056818142184,10,class
8,0.5759511013626868,10,class
1,0.6266133620554353,100,class
2,0.6183739562733466,100,class
4,0.6168264837136789,100,class
8,0.615077095824047,100,class
1,0.617575331864966,11,class
2,0.6166461396065055,11,class
4,0.6155223603394335,11,class
8,0.6123342510629096,11,class
1,0.6257562946221483,12,class
2,0.6195569785813688,12,class
4,0.6170091642164813,12,class
8,0.6128436864564913,12,class
1,0.6176276768929208,13,class
2,0.615212515215564,13,class
4,0.6151529665554056,13,class
8,0.6125014613917052,13,class
1,0.5889021913899962,14,class
2,0.5911737281706794,14,class
4,0.5957167720856745,14,class
8,0.5951886132648327,14,class
1,0.6060644987321817,15,class
2,0.607943077223565,15,class
4,0.6118733367513856,15,class
8,0.6120018659774757,15,class
1,0.62290634624171215,16,class
2,0.6173290302497619,16,class
4,0.6121324425470767,16,class
8,0.6078603673359771,16,class
1,0.6000983099824563,17,class
2,0.5989072918737552,17,class
4,0.5979023138992651,17,class
8,0.5952839917443576,17,class
1,0.5959796364308559,18,class
2,0.5932693202784667,18,class
4,0.592854761555981,18,class
8,0.5885716666143496,18,class
1,0.6281111782514222,19,class
2,0.6271187799297555,19,class
4,0.6259594306850405,19,class
8,0.6219498605748606,19,class
1,0.6140388206150401,2,class
2,0.6058301066746189,2,class
4,0.6020880266154657,2,class
8,0.5962383646712915,2,class
1,0.5744474055937471,20,class
2,0.5699250443823615,20,class
4,0.5718293533080119,20,class
8,0.570838897259629,20,class
1,0.6294908336036384,21,class
2,0.6307662122052367,21,class
4,0.630518274807909,21,class
8,0.6269410800172995,21,class
1,0.5812399110783257,22,class
2,0.5819193954407369,22,class
4,0.5815396825396826,22,class
8,0.5782376801888998,22,class
1,0.6111687270894588,23,class
2,0.6079614732328147,23,class
4,0.6051037670946208,23,class
8,0.6017835535884316,23,class
1,0.6294194072120901,24,class
2,0.6258060429767747,24,class
4,0.6277947141392264,24,class
8,0.6257688742749719,24,class
1,0.6168773342157489,25,class
2,0.6168763877117536,25,class
4,0.6170744577329943,25,class
8,0.6154761734731247,25,class
1,0.5957017910767911,26,class
2,0.5974191373429178,26,class
4,0.5999116490183564,26,class
8,0.5998039359045456,26,class
1,0.583906383299676,27,class
2,0.5777501168415803,27,class
4,0.5761554891128062,27,class
8,0.5722741360698678,27,class
1,0.6427457017121652,28,class
2,0.639793022988145,28,class
4,0.6399543541799639,28,class
8,0.6351346777962632,28,class
1,0.6156242230906865,29,class
2,0.6161124996948167,29,class
4,0.6181589180644059,29,class
8,0.6163470090299359,29,class
1,0.6002027859741275,3,class
2,0.6000993532731338,3,class
4,0.5997813671685623,3,class
8,0.5961876375504425,3,class
1,0.6104079772280991,30,class
2,0.6061126392071514,30,class
4,0.6044279479828261,30,class
8,0.6019336056439715,30,class
1,0.6351887697802332,31,class
2,0.62979103014164,31,class
4,0.6274824737629616,31,class
8,0.6252282652861921,31,class
1,0.5637439220579464,32,class
2,0.5635944563901881,32,class
4,0.5668852755194219,32,class
8,0.5681698501637527,32,class
1,0.6396528706406756,33,class
2,0.6375749608493511,33,class
4,0.6386822153163617,33,class
8,0.63757453882453885,33,class
1,0.6433043605452142,34,class
2,0.6432810262352945,34,class
4,0.6432461974169291,34,class
8,0.6418622690634885,34,class
1,0.6049420151859176,35,class
2,0.6007292518999836,35,class
4,0.5999446580727068,35,class
8,0.597978998597901,35,class
1,0.6128658043932435,36,class
2,0.6104401662115077,36,class
4,0.6117985581400216,36,class
8,0.6099727022318486,36,class
1,0.6178485441015928,37,class
2,0.6154726220122562,37,class
4,0.6116402831402832,37,class
8,0.6062663294827929,37,class
1,0.6350459544910765,38,class
2,0.6292408710975784,38,class
4,0.6271053213492238,38,class
8,0.6241247889875938,38,class
1,0.6302982939385379,39,class
2,0.6305875575052404,39,class
4,0.6328069528587821,39,class
8,0.6326381390100903,39,class
1,0.625913723828358,4,class
2,0.6213286330755843,4,class
4,0.6184041894682138,4,class
8,0.6153022587046977,4,class
1,0.5974567376610059,40,class
2,0.5968257530178261,40,class
4,0.599944802816754,40,class
8,0.598960332719479,40,class
1,0.6100637440576465,41,class
2,0.6086378874519118,41,class
4,0.6115878234506283,41,class
8,0.6113153741720815,41,class
1,0.604961189412409,42,class
2,0.5983563689996617,42,class
4,0.5968821796535211,42,class
8,0.5930694300572349,42,class
1,0.5873921512976391,43,class
2,0.5880709258910478,43,class
4,0.5911314193112973,43,class
8,0.5908055267811365,43,class
1,0.625258961051644,44,class
2,0.6261653757415953,44,class
4,0.6294123352446523,44,class
8,0.6284315713797421,44,class
1,0.6009556067391433,45,class
2,0.598857211305382,45,class
4,0.6002426921695214,45,class
8,0.5980916173141783,45,class
1,0.6253244093396533,46,class
2,0.6186220288232483,46,class
4,0.613654296282345,46,class
8,0.6070915179116398,46,class
1,0.6091498004973614,47,class
2,0.6080497479186504,47,class
4,0.6077401983865398,47,class
8,0.6040825734270856,47,class
1,0.6197072185425844,48,class
2,0.616247149152637,48,class
4,0.6147038375483498,48,class
8,0.6101927328024889,48,class
1,0.6139255470627422,49,class
2,0.6137173467021028,49,class
4,0.6143560812554715,49,class
8,0.6135597805994147,49,class
1,0.5773738193768682,5,class
2,0.5743576128393202,5,class
4,0.5742975523432841,5,class
8,0.5721101811742055,5,class
1,0.5855147556092678,50,class
2,0.5850312612263832,50,class
4,0.5897257047988755,50,class
8,0.5911963108578963,50,class
1,0.6000347124127612,51,class
2,0.6045088141277166,51,class
4,0.6121648024330951,51,class
8,0.6139012945872702,51,class
1,0.5834970397226494,52,class
2,0.577808257735087,52,class
4,0.5769755029419663,52,class
8,0.5733127330291965,52,class
1,0.5964531421665568,53,class
2,0.5888322015395187,53,class
4,0.588738607945925,53,class
8,0.5873482737964445,53,class
1,0.5873357952900636,54,class
2,0.5871387323734885,54,class
4,0.5870770352233767,54,class
8,0.5849530885415032,54,class
1,0.5750572493224932,55,class
2,0.5704349327550547,55,class
4,0.5704008215532606,55,class
8,0.5678297897200336,55,class
1,0.6064484301374545,56,class
2,0.6010072786200835,56,class
4,0.5979953869374601,56,class
8,0.5918562813684765,56,class
1,0.6013781778293974,57,class
2,0.5959288408617677,57,class
4,0.5950747201905738,57,class
8,0.5921450509743192,57,class
1,0.597960980143907,58,class
2,0.591022717839791,58,class
4,0.5892003327369181,58,class
8,0.5863893706424195,58,class
1,0.6140227030166054,59,class
2,0.6144710359314018,59,class
4,0.6137568265129241,59,class
8,0.6139521459612923,59,class
1,0.592145105471325,6,class
2,0.5891577631638607,6,class
4,0.5876529116224238,6,class
8,0.5808615287761629,6,class
1,0.5921843215166386,60,class
2,0.5888960955729249,60,class
4,0.5895684229525693,60,class
8,0.586766273241883,60,class
1,0.6381649576405674,61,class
2,0.633949464708611,61,class
4,0.6338520737636592,61,class
8,0.6310474664560031,61,class
1,0.6123082538113026,62,class
2,0.6046771157045547,62,class
4,0.6034152889823622,62,class
8,0.6022800762434909,62,class
1,0.5915274163536359,63,class
2,0.5880264537185269,63,class
4,0.5858343325904302,63,class
8,0.5832505201194226,63,class
1,0.6168706572426085,64,class
2,0.616650434406532,64,class
4,0.6197948645509621,64,class
8,0.621109422575886,64,class
1,0.6156339056826862,65,class
2,0.6153984127856079,65,class
4,0.615829249981689,65,class
8,0.6126079180225522,65,class
1,0.6152183660140977,66,class
2,0.6196028772675114,66,class
4,0.6202451144524316,66,class
8,0.6193054823115799,66,class
1,0.6122011122620878,67,class
2,0.6114086952806465,67,class
4,0.6137214226421543,67,class
8,0.6129142378441159,67,class
1,0.6414954854680465,68,class
2,0.640585150481492,68,class
4,0.6411889751249508,68,class
8,0.6377672476483452,68,class
1,0.572572643636668,69,class
2,0.5723302871687018,69,class
4,0.5709155135100257,69,class
8,0.5662553045205484,69,class
1,0.58985393145759,7,class
2,0.588882970078092,7,class
4,0.5907206452968649,7,class
8,0.5896874265380363,7,class
1,0.6422990717198034,70,class
2,0.6431899172691856,70,class
4,0.6440486946005238,70,class
8,0.6428101694900475,70,class
1,0.5796833471101764,71,class
