sigma,C,AUC,seed,level
1e-7,1e-4,0.6417103135365331,1,asv
1e-7,0.001,0.6415861593300618,1,asv
1e-7,0.01,0.6418798380261795,1,asv
1e-7,0.1,0.6415683034951327,1,asv
1e-7,1,0.6417138706650902,1,asv
1e-7,10,0.6396219634268415,1,asv
1e-7,100,0.6393463820963821,1,asv
1e-6,1e-4,0.6415697300087544,1,asv
1e-6,0.001,0.6415657111815648,1,asv
1e-6,0.01,0.6416373603568726,1,asv
1e-6,0.1,0.6416877487243341,1,asv
1e-6,1,0.6397271565991078,1,asv
1e-6,10,0.6392471687715591,1,asv
1e-6,100,0.639296808132174,1,asv
1e-5,1e-4,0.640606209868405,1,asv
1e-5,0.001,0.640606209868405,1,asv
1e-5,0.01,0.6406075866807575,1,asv
1e-5,0.1,0.6389827327327328,1,asv
1e-5,1,0.6386655043545287,1,asv
1e-5,10,0.6386048286962921,1,asv
1e-5,100,0.6372278027156076,1,asv
1e-4,1e-4,0.6361341568048885,1,asv
1e-4,0.001,0.6361257171805952,1,asv
1e-4,0.01,0.63417966311259,1,asv
1e-4,0.1,0.6333655484753046,1,asv
1e-4,1,0.6332784143028045,1,asv
1e-4,10,0.6398116313177289,1,asv
1e-4,100,0.6055649831015685,1,asv
0.001,1e-4,0.6080571398925058,1,asv
0.001,0.001,0.6082768892585966,1,asv
0.001,0.01,0.6161694255230841,1,asv
0.001,0.1,0.6165009068301751,1,asv
0.001,1,0.6238314499168158,1,asv
0.001,10,0.6082184850355582,1,asv
0.001,100,0.6077330082695936,1,asv
0.01,1e-4,0.5283053776773289,1,asv
0.01,0.001,0.5265301778259095,1,asv
0.01,0.01,0.5245374019489873,1,asv
0.01,0.1,0.5223053672139039,1,asv
0.01,1,0.5252526912801303,1,asv
0.01,10,0.528469570179936,1,asv
0.01,100,0.5327088460411631,1,asv
0.1,1e-4,0.5001570773735408,1,asv
0.1,0.001,0.5035954294887222,1,asv
0.1,0.01,0.48081914144109267,1,asv
0.1,0.1,0.48955905775113095,1,asv
0.1,1,0.49408844602442165,1,asv
0.1,10,0.49378269776745387,1,asv
0.1,100,0.49372961027229323,1,asv
1,1e-4,0.5,1,asv
1,0.001,0.5,1,asv
1,0.01,0.5,1,asv
1,0.1,0.5,1,asv
1,1,0.5,1,asv
1,10,0.5,1,asv
1,100,0.5,1,asv
1e-7,1e-4,0.5864213512292781,10,asv
1e-7,0.001,0.5864057986557987,10,asv
1e-7,0.01,0.5833425402754672,10,asv
1e-7,0.1,0.5797629127385225,10,asv
1e-7,1,0.5814033397509007,10,asv
1e-7,10,0.5811377954609662,10,asv
1e-7,100,0.5828522477181014,10,asv
1e-6,1e-4,0.5873745461489364,10,asv
1e-6,0.001,0.5847120526449795,10,asv
1e-6,0.01,0.581260896785287,10,asv
1e-6,0.1,0.5836248548199768,10,asv
1e-6,1,0.5795161659917758,10,asv
1e-6,10,0.579239837398374,10,asv
1e-6,100,0.5779102621785549,10,asv
1e-5,1e-4,0.584664277517936,10,asv
1e-5,0.001,0.5820898625105942,10,asv
1e-5,0.01,0.5794729982595836,10,asv
1e-5,0.1,0.5778298525005842,10,asv
1e-5,1,0.5803556875691022,10,asv
1e-5,10,0.5822793045658899,10,asv
1e-5,100,0.5631177222518686,10,asv
1e-4,1e-4,0.5799030223603394,10,asv
1e-4,0.001,0.5782429598588136,10,asv
1e-4,0.01,0.5832003519198641,10,asv
1e-4,0.1,0.5791576463222805,10,asv
1e-4,1,0.5805563272331565,10,asv
1e-4,10,0.564921550470331,10,asv
1e-4,100,0.5222845824918996,10,asv
0.001,1e-4,0.5682707175816932,10,asv
0.001,0.001,0.5671654023361341,10,asv
0.001,0.01,0.5720211858199663,10,asv
0.001,0.1,0.5717342708562221,10,asv
0.001,1,0.573282718258328,10,asv
0.001,10,0.5266108957389445,10,asv
0.001,100,0.5302386785740444,10,asv
0.01,1e-4,0.5297399716789961,10,asv
0.01,0.001,0.5275990014404649,10,asv
0.01,0.01,0.5417971865593817,10,asv
0.01,0.1,0.5377245001970612,10,asv
0.01,1,0.5371781703306093,10,asv
0.01,10,0.5391690505836847,10,asv
0.01,100,0.5403197287008262,10,asv
0.1,1e-4,0.5017305772671626,10,asv
0.1,0.001,0.5055354479043503,10,asv
0.1,0.01,0.47807969336932754,10,asv
0.1,0.1,0.4810740056258349,10,asv
0.1,1,0.4848301049307147,10,asv
0.1,10,0.4845381871418457,10,asv
0.1,100,0.48524838558070266,10,asv
1,1e-4,0.5,10,asv
1,0.001,0.5,10,asv
1,0.01,0.5,10,asv
1,0.1,0.5,10,asv
1,1,0.5,10,asv
1,10,0.5,10,asv
1,100,0.5,10,asv
1e-7,1e-4,0.5856713638725833,100,asv
1e-7,0.001,0.5853388933358445,100,asv
1e-7,0.01,0.5827751226836593,100,asv
1e-7,0.1,0.5801054242395706,100,asv
1e-7,1,0.5828446329604866,100,asv
1e-7,10,0.5811847518249957,100,asv
1e-7,100,0.5823167644996914,100,asv
1e-6,1e-4,0.5848573381744113,100,asv
1e-6,0.001,0.582359795335405,100,asv
1e-6,0.01,0.5819783729722754,100,asv
1e-6,0.1,0.5792888533132435,100,asv
1e-6,1,0.5802256986952109,100,asv
1e-6,10,0.5812797466456003,100,asv
1e-6,100,0.5829417570880986,100,asv
1e-5,1e-4,0.5823500085451305,100,asv
1e-5,0.001,0.5809072818463062,100,asv
1e-5,0.01,0.5818414198170295,100,asv
1e-5,0.1,0.5798732225256615,100,asv
1e-5,1,0.5811779732694367,100,asv
1e-5,10,0.582184116171921,100,asv
1e-5,100,0.593991801034484,100,asv
1e-4,1e-4,0.5768387246131149,100,asv
1e-4,0.001,0.5767330265805876,100,asv
1e-4,0.01,0.5753900119631827,100,asv
1e-4,0.1,0.5754837494288714,100,asv
1e-4,1,0.5754597018621409,100,asv
1e-4,10,0.5870510789535179,100,asv
1e-4,100,0.5536741480156114,100,asv
0.001,1e-4,0.5548962669115108,100,asv
0.001,0.001,0.5544292737859811,100,asv
0.001,0.01,0.5609303759334248,100,asv
0.001,0.1,0.560326829006707,100,asv
0.001,1,0.5646798305273915,100,asv
0.001,10,0.553918949001266,100,asv
0.001,100,0.55591221753112,100,asv
0.01,1e-4,0.4910664209505673,100,asv
0.01,0.001,0.4914184485007656,100,asv
0.01,0.01,0.48454604604604606,100,asv
0.01,0.1,0.4859879003568028,100,asv
0.01,1,0.4846341956067566,100,asv
0.01,10,0.48922635963489625,100,asv
0.01,100,0.49254351869290897,100,asv
0.1,1e-4,0.5019511510639559,100,asv
0.1,0.001,0.5036870829889123,100,asv
0.1,0.01,0.48661372173567297,100,asv
0.1,0.1,0.4933152246322978,100,asv
0.1,1,0.497695097972537,100,asv
0.1,10,0.4974608994883385,100,asv
