sigma,C,AUC,seed,level
1e-7,1e-4,0.6056923029301078,1,order
1e-7,0.001,0.6054583808547224,1,order
1e-7,0.01,0.6060074329556037,1,order
1e-7,0.1,0.601999713999714,1,order
1e-7,1,0.6038506668689596,1,order
1e-7,10,0.604477844569308,1,order
1e-7,100,0.6026976427647159,1,order
1e-6,1e-4,0.6054029857383516,1,order
1e-6,0.001,0.605269114061797,1,order
1e-6,0.01,0.6032678479873602,1,order
1e-6,0.1,0.602096838127326,1,order
1e-6,1,0.6019367433635726,1,order
1e-6,10,0.6053805643622717,1,order
1e-6,100,0.6033690153568202,1,order
1e-5,1e-4,0.6042453167453168,1,order
1e-5,0.001,0.6037950624840869,1,order
1e-5,0.01,0.605294300397959,1,order
1e-5,0.1,0.6052192148594587,1,order
1e-5,1,0.6050793101463833,1,order
1e-5,10,0.6034553115833604,1,order
1e-5,100,0.5983157896572531,1,order
1e-4,1e-4,0.6041274357981675,1,order
1e-4,0.001,0.6033346430053748,1,order
1e-4,0.01,0.6041190545946643,1,order
1e-4,0.1,0.6037489737123883,1,order
1e-4,1,0.6029127777603387,1,order
1e-4,10,0.5975059196827489,1,order
1e-4,100,0.584797389724219,1,order
0.001,1e-4,0.592395200950079,1,order
0.001,0.001,0.5905369045003191,1,order
0.001,0.01,0.5920829261317067,1,order
0.001,0.1,0.5886666091178286,1,order
0.001,1,0.5900325874655143,1,order
0.001,10,0.5796250815275206,1,order
0.001,100,0.5578768917000625,1,order
0.01,1e-4,0.5630095208448868,1,order
0.01,0.001,0.5659338022691681,1,order
0.01,0.01,0.5637716723692333,1,order
0.01,0.1,0.5621100717442181,1,order
0.01,1,0.5671902425073156,1,order
0.01,10,0.5293474702925922,1,order
0.01,100,0.4821284899882461,1,order
0.1,1e-4,0.5773074987007913,1,order
0.1,0.001,0.571296446708032,1,order
0.1,0.01,0.575413457446994,1,order
0.1,0.1,0.5702611832215491,1,order
0.1,1,0.5533061933885105,1,order
0.1,10,0.5171878503067527,1,order
0.1,100,0.5417827867065672,1,order
1,1e-4,0.4880069564337857,1,order
1,0.001,0.4870748291845853,1,order
1,0.01,0.4902779142382801,1,order
1,0.1,0.4907294463453,1,order
1,1,0.4935627491603101,1,order
1,10,0.4980342969275896,1,order
1,100,0.4942654549148452,1,order
1e-7,1e-4,0.5739475908835665,10,order
1e-7,0.001,0.5741664661176856,10,order
1e-7,0.01,0.5703405740235009,10,order
1e-7,0.1,0.5643645893280039,10,order
1e-7,1,0.5584776309410456,10,order
1e-7,10,0.5612787299494617,10,order
1e-7,100,0.5660853292316707,10,order
1e-6,1e-4,0.5747116676781311,10,order
1e-6,0.001,0.5691347043908019,10,order
1e-6,0.01,0.564595913858109,10,order
1e-6,0.1,0.563786312444849,10,order
1e-6,1,0.5611452523952524,10,order
1e-6,10,0.5609975934122275,10,order
1e-6,100,0.5632426651390066,10,order
1e-5,1e-4,0.5693279686480907,10,order
1e-5,0.001,0.5656775399092472,10,order
1e-5,0.01,0.5630168757607782,10,order
1e-5,0.1,0.5648555942702285,10,order
1e-5,1,0.5612900147534294,10,order
1e-5,10,0.566184764032325,10,order
1e-5,100,0.565747826223436,10,order
1e-4,1e-4,0.5615456597712696,10,order
1e-4,0.001,0.5578529409200141,10,order
1e-4,0.01,0.5606940102123029,10,order
1e-4,0.1,0.5672225675152505,10,order
1e-4,1,0.5622971577849627,10,order
1e-4,10,0.5600175087979966,10,order
1e-4,100,0.5419382858468225,10,order
0.001,1e-4,0.5562411679972655,10,order
0.001,0.001,0.5588729417570881,10,order
0.001,0.01,0.5578401380474551,10,order
0.001,0.1,0.5599578480919944,10,order
0.001,1,0.5573166633532487,10,order
0.001,10,0.5455108261571676,10,order
0.001,100,0.5255702322531591,10,order
0.01,1e-4,0.5452083459766387,10,order
0.01,0.001,0.5412231892170917,10,order
0.01,0.01,0.5390409032726106,10,order
0.01,0.1,0.5441169479584114,10,order
0.01,1,0.5379052048564243,10,order
0.01,10,0.5310840369986711,10,order
0.01,100,0.5099480551980552,10,order
0.1,1e-4,0.5568497482674312,10,order
0.1,0.001,0.5493229165576726,10,order
0.1,0.01,0.5521396269963343,10,order
0.1,0.1,0.5517474580416654,10,order
0.1,1,0.5627567236225773,10,order
0.1,10,0.5187885738525982,10,order
0.1,100,0.5162998386016678,10,order
1,1e-4,0.49181433567714056,10,order
1,0.001,0.49636849218556534,10,order
1,0.01,0.49469461316717417,10,order
1,0.1,0.49582466743747233,10,order
1,1,0.49911733510514,10,order
1,10,0.5062302917028527,10,order
1,100,0.506418518692909,10,order
1e-7,1e-4,0.612827438501219,100,order
1e-7,0.001,0.6125236826547802,100,order
1e-7,0.01,0.6123842291769122,100,order
1e-7,0.1,0.6125860224335834,100,order
1e-7,1,0.612380443160931,100,order
1e-7,10,0.6124816515121393,100,order
1e-7,100,0.6121428091854921,100,order
1e-6,1e-4,0.6123645444224712,100,order
1e-6,0.001,0.6125822835030152,100,order
1e-6,0.01,0.6128062784038394,100,order
1e-6,0.1,0.6126165259335992,100,order
1e-6,1,0.6117755630194655,100,order
1e-6,10,0.6131855322221176,100,order
1e-6,100,0.6137214313616752,100,order
1e-5,1e-4,0.6125363996400582,100,order
1e-5,0.001,0.6124876758291392,100,order
1e-5,0.01,0.6124336313665582,100,order
1e-5,0.1,0.6125288886447423,100,order
1e-5,1,0.6129898879715953,100,order
1e-5,10,0.6143270142965265,100,order
1e-5,100,0.6101942168649486,100,order
1e-4,1e-4,0.6113793427573916,100,order
1e-4,0.001,0.6097471740032716,100,order
1e-4,0.01,0.6094447478837722,100,order
1e-4,0.1,0.6125158241865559,100,order
1e-4,1,0.6128300539215173,100,order
1e-4,10,0.6097589348930812,100,order
1e-4,100,0.6097486266754559,100,order
0.001,1e-4,0.6007341034414205,100,order
0.001,0.001,0.598393484948363,100,order
0.001,0.01,0.6032951121853561,100,order
0.001,0.1,0.6033533045240362,100,order
