perf_metric,perf_metric_diff,names,method,perf_metric_name,seed,level
0.6456538461538461,-7.820512820512215e-4,Otu28,xgbTree,AUC,1,order
0.6467094017094017,-0.0018376068376068089,Otu04,xgbTree,AUC,1,order
0.6375042735042735,0.00736752136752139,Otu07,xgbTree,AUC,1,order
0.6449444444444444,-7.26495726495191e-5,Otu01,xgbTree,AUC,1,order
0.6597905982905982,-0.01491880341880325,Otu02,xgbTree,AUC,1,order
0.6417564102564103,0.003115384615384631,Otu23,xgbTree,AUC,1,order
0.6463247863247864,-0.0014529914529914922,Otu11,xgbTree,AUC,1,order
0.6443247863247863,5.470085470086206e-4,Otu14,xgbTree,AUC,1,order
0.6067820512820513,0.038089743589743597,Otu18,xgbTree,AUC,1,order
0.6387222222222222,0.006149572649572721,Otu19,xgbTree,AUC,1,order
0.6448717948717949,0,Otu38,xgbTree,AUC,1,order
0.6423397435897437,0.002532051282051251,Otu10,xgbTree,AUC,1,order
0.6452521367521368,-0.00038034188034186123,Otu06,xgbTree,AUC,1,order
0.6448717948717949,0,Otu21,xgbTree,AUC,1,order
0.6397735042735042,0.0050982905982907,Otu17,xgbTree,AUC,1,order
0.6446538461538462,2.1794871794866832e-4,Otu29,xgbTree,AUC,1,order
0.6455042735042735,-6.324786324786169e-4,Otu09,xgbTree,AUC,1,order
0.6437008547008547,0.0011709401709402156,Otu05,xgbTree,AUC,1,order
0.6441709401709401,7.008547008547916e-4,Otu22,xgbTree,AUC,1,order
0.6456923076923077,-8.205128205127643e-4,Otu12,xgbTree,AUC,1,order
0.6298162393162393,0.0150555555555556,Otu20,xgbTree,AUC,1,order
0.6316965811965811,0.013175213675213793,Otu16,xgbTree,AUC,1,order
0.6602393162393162,-0.015367521367521286,Otu15,xgbTree,AUC,1,order
0.620059829059829,0.024811965811965875,Otu13,xgbTree,AUC,1,order
0.6447991452991454,7.26495726495191e-5,Otu25,xgbTree,AUC,1,order
0.6465299145299146,-0.0016581196581196833,Otu31,xgbTree,AUC,1,order
0.6390299145299145,0.005841880341880379,Otu03,xgbTree,AUC,1,order
0.6211324786324787,0.023739316239316244,Otu08,xgbTree,AUC,1,order
0.6392777777777777,0.0017478632478633571,Otu11,xgbTree,AUC,10,order
0.6503632478632478,-0.00933760683760676,Otu09,xgbTree,AUC,10,order
0.6431538461538462,-0.0021282051282051073,Otu10,xgbTree,AUC,10,order
0.6128418803418804,0.028183760683760717,Otu16,xgbTree,AUC,10,order
0.6482350427350427,-0.007209401709401653,Otu12,xgbTree,AUC,10,order
0.6441153846153845,-0.0030897435897434544,Otu23,xgbTree,AUC,10,order
0.6408974358974359,1.2820512820521657e-4,Otu08,xgbTree,AUC,10,order
0.6134188034188034,0.027606837606837686,Otu07,xgbTree,AUC,10,order
0.6517264957264958,-0.01070085470085469,Otu19,xgbTree,AUC,10,order
0.6439444444444444,-0.0029188034188033507,Otu15,xgbTree,AUC,10,order
0.6355213675213675,0.005504273504273627,Otu20,xgbTree,AUC,10,order
