sigma,C,AUC,seed,level
0.001,0.01,0.5454481833750127,10,phylum
0.001,0.1,0.5437321354455501,10,phylum
0.001,1,0.5462112940466599,10,phylum
0.001,10,0.520066876109559,10,phylum
0.001,100,0.551935021258192,10,phylum
0.01,1e-4,0.533088344442003,10,phylum
0.01,0.001,0.5330789552618821,10,phylum
0.01,0.01,0.5396996194801073,10,phylum
0.01,0.1,0.5449404779343804,10,phylum
0.01,1,0.5294095463058878,10,phylum
0.01,10,0.5624247313515607,10,phylum
0.01,100,0.5640795586527294,10,phylum
0.1,1e-4,0.5472071226278543,10,phylum
0.1,0.001,0.5493550405806503,10,phylum
0.1,0.01,0.5438210388088437,10,phylum
0.1,0.1,0.5393825445654714,10,phylum
0.1,1,0.5429181655523119,10,phylum
0.1,10,0.5139600959844862,10,phylum
0.1,100,0.4870440518916129,10,phylum
1,1e-4,0.4779874478136673,10,phylum
1,0.001,0.47798272968090044,10,phylum
1,0.01,0.48068607675619873,10,phylum
1,0.1,0.48157375101582417,10,phylum
1,1,0.47671832241649315,10,phylum
1,10,0.49627891087952064,10,phylum
1,100,0.4960202210049771,10,phylum
1e-6,1e-4,0.5878848853208609,100,phylum
1e-6,0.001,0.5877304390627561,100,phylum
1e-6,0.01,0.5809773946420288,100,phylum
1e-6,0.1,0.5836862254240303,100,phylum
1e-6,1,0.5795399798753458,100,phylum
1e-6,10,0.5778682654780216,100,phylum
1e-6,100,0.574857792461451,100,phylum
1e-5,1e-4,0.5877740222801199,100,phylum
1e-5,0.001,0.5838675557090192,100,phylum
1e-5,0.01,0.5799983241080802,100,phylum
1e-5,0.1,0.581742354724062,100,phylum
1e-5,1,0.5801618997045827,100,phylum
1e-5,10,0.575518923976241,100,phylum
1e-5,100,0.5730243518780104,100,phylum
1e-4,1e-4,0.5831061680147046,100,phylum
1e-4,0.001,0.5853803690450032,100,phylum
1e-4,0.01,0.5844689114201309,100,phylum
1e-4,0.1,0.5838796034710669,100,phylum
1e-4,1,0.5780285128333909,100,phylum
1e-4,10,0.5739777477826259,100,phylum
1e-4,100,0.5711018047664389,100,phylum
0.001,1e-4,0.5850976935123277,100,phylum
0.001,0.001,0.5818778813656863,100,phylum
0.001,0.01,0.5821464120915341,100,phylum
0.001,0.1,0.5783013972160314,100,phylum
0.001,1,0.5762092344958198,100,phylum
0.001,10,0.5733000980074151,100,phylum
0.001,100,0.5839314697973235,100,phylum
0.01,1e-4,0.5828281966635626,100,phylum
0.01,0.001,0.5819706361413679,100,phylum
0.01,0.01,0.5846616102164883,100,phylum
0.01,0.1,0.5837167324118544,100,phylum
0.01,1,0.5812775406068089,100,phylum
0.01,10,0.5897709713197519,100,phylum
0.01,100,0.5854703501410818,100,phylum
0.1,1e-4,0.5845242699145138,100,phylum
0.1,0.001,0.5860757299110958,100,phylum
0.1,0.01,0.5833901244450025,100,phylum
0.1,0.1,0.5817887966363576,100,phylum
0.1,1,0.5935081823984263,100,phylum
0.1,10,0.5690152190518044,100,phylum
0.1,100,0.5288908202627715,100,phylum
1,1e-4,0.491732287165214,100,phylum
1,0.001,0.49537744015792795,100,phylum
1,0.01,0.49183102091638675,100,phylum
1,0.1,0.49300039761015374,100,phylum
1,1,0.4987012413109974,100,phylum
1,10,0.47704294189660046,100,phylum
1,100,0.4872566085249012,100,phylum
1e-6,1e-4,0.5781658016901919,11,phylum
1e-6,0.001,0.5774791612169661,11,phylum
1e-6,0.01,0.5762448310680018,11,phylum
1e-6,0.1,0.5760865883304908,11,phylum
1e-6,1,0.5761599378123768,11,phylum
1e-6,10,0.5776817130719569,11,phylum
1e-6,100,0.5838041351455986,11,phylum
1e-5,1e-4,0.5780674236954725,11,phylum
1e-5,0.001,0.5775637658564488,11,phylum
1e-5,0.01,0.5762162057527911,11,phylum
1e-5,0.1,0.5776022145839219,11,phylum
1e-5,1,0.577437166260337,11,phylum
1e-5,10,0.5830402824427214,11,phylum
1e-5,100,0.5822009047374901,11,phylum
1e-4,1e-4,0.5768514507538898,11,phylum
1e-4,0.001,0.576948185990869,11,phylum
1e-4,0.01,0.5765356515051637,11,phylum
1e-4,0.1,0.5782203065434772,11,phylum
1e-4,1,0.5834025767928207,11,phylum
1e-4,10,0.5819287693616962,11,phylum
1e-4,100,0.5776961020253704,11,phylum
0.001,1e-4,0.5780008082995888,11,phylum
0.001,0.001,0.5749364582352388,11,phylum
0.001,0.01,0.5793437566486347,11,phylum
0.001,0.1,0.5859881806894002,11,phylum
0.001,1,0.5853346726517459,11,phylum
0.001,10,0.5792489187794065,11,phylum
0.001,100,0.5918524264682802,11,phylum
0.01,1e-4,0.58205294754685,11,phylum
0.01,0.001,0.5830199023064877,11,phylum
0.01,0.01,0.583963868049234,11,phylum
0.01,0.1,0.5868476455549626,11,phylum
0.01,1,0.583687966712357,11,phylum
0.01,10,0.581251629678459,11,phylum
0.01,100,0.5505590468517297,11,phylum
0.1,1e-4,0.5694721350270131,11,phylum
0.1,0.001,0.5702537485220412,11,phylum
0.1,0.01,0.5683013196122952,11,phylum
0.1,0.1,0.5661189342652757,11,phylum
0.1,1,0.5555668159448647,11,phylum
0.1,10,0.5034034321778225,11,phylum
0.1,100,0.4845902854073586,11,phylum
1,1e-4,0.48238669767328307,11,phylum
1,0.001,0.4803515902662244,11,phylum
1,0.01,0.4799178315946609,11,phylum
1,0.1,0.4790429427685525,11,phylum
1,1,0.47768214556019434,11,phylum
1,10,0.47918799635872805,11,phylum
1,100,0.4907488647183769,11,phylum
1e-6,1e-4,0.5504468157181572,12,phylum
1e-6,0.001,0.5503407235632846,12,phylum
1e-6,0.01,0.5392771020149069,12,phylum
1e-6,0.1,0.533413905194393,12,phylum
1e-6,1,0.5366650099576928,12,phylum
1e-6,10,0.5405098443391126,12,phylum
1e-6,100,0.5454794646562939,12,phylum
1e-5,1e-4,0.5509634285853798,12,phylum
1e-5,0.001,0.5343416779148487,12,phylum
1e-5,0.01,0.5326795532466264,12,phylum
1e-5,0.1,0.5344064491320589,12,phylum
1e-5,1,0.5366466597259281,12,phylum
1e-5,10,0.5446764334020432,12,phylum
1e-5,100,0.5450886173630076,12,phylum
1e-4,1e-4,0.5347265854704879,12,phylum
1e-4,0.001,0.5329558120838609,12,phylum
1e-4,0.01,0.5339781872464799,12,phylum
1e-4,0.1,0.5381626391199562,12,phylum
1e-4,1,0.5441144646388549,12,phylum
1e-4,10,0.5472240097240098,12,phylum
1e-4,100,0.5339253530534018,12,phylum
0.001,1e-4,0.5345751858129907,12,phylum
0.001,0.001,0.533924620613645,12,phylum
0.001,0.01,0.532029580974703,12,phylum
0.001,0.1,0.5507053639004859,12,phylum
0.001,1,0.5463249346907884,12,phylum
0.001,10,0.5316386534618242,12,phylum
0.001,100,0.5595176003529662,12,phylum
0.01,1e-4,0.5299174810699201,12,phylum
0.01,0.001,0.5409113172405855,12,phylum
0.01,0.01,0.5451152354445038,12,phylum
0.01,0.1,0.5498894792004548,12,phylum
0.01,1,0.5466647884818616,12,phylum
0.01,10,0.55851536728366,12,phylum
0.01,100,0.5596533484704217,12,phylum
0.1,1e-4,0.5501171363000631,12,phylum
0.1,0.001,0.548233916843673,12,phylum
0.1,0.01,0.5458974802328461,12,phylum
0.1,0.1,0.5473963789573546,12,phylum
0.1,1,0.5473637967235528,12,phylum
0.1,10,0.5118139890761843,12,phylum
0.1,100,0.4847570296777614,12,phylum
1,1e-4,0.4828026624185161,12,phylum
1,0.001,0.47951163096894805,12,phylum
1,0.01,0.4820188350371277,12,phylum
1,0.1,0.480591547993987,12,phylum
1,1,0.48628675103675106,12,phylum
1,10,0.5029617500776038,12,phylum
1,100,0.4958498254351913,12,phylum
1e-6,1e-4,0.5924804255474987,13,phylum
1e-6,0.001,0.5927889483560216,13,phylum
1e-6,0.01,0.5892688812505886,13,phylum
1e-6,0.1,0.5903080109726452,13,phylum
1e-6,1,0.5903700634432342,13,phylum
1e-6,10,0.5931208944135773,13,phylum
1e-6,100,0.588523251474471,13,phylum
1e-5,1e-4,0.5934122528451797,13,phylum
1e-5,0.001,0.5910486244083805,13,phylum
1e-5,0.01,0.5908284007003519,13,phylum
1e-5,0.1,0.5897983924691241,13,phylum
1e-5,1,0.5947988851220558,13,phylum
1e-5,10,0.5875743714097372,13,phylum
1e-5,100,0.5885804585072878,13,phylum
1e-4,1e-4,0.5925234973649608,13,phylum
1e-4,0.001,0.5930748623187647,13,phylum
1e-4,0.01,0.591431512522976,13,phylum
1e-4,0.1,0.5950015860808544,13,phylum
1e-4,1,0.5906221936221936,13,phylum
1e-4,10,0.5903669741169741,13,phylum
1e-4,100,0.5815998367705685,13,phylum
0.001,1e-4,0.586955785053346,13,phylum
0.001,0.001,0.5889133698158089,13,phylum
0.001,0.01,0.5925800155556253,13,phylum
0.001,0.1,0.5902693050193051,13,phylum
0.001,1,0.5918947135288599,13,phylum
0.001,10,0.5842527239783337,13,phylum
0.001,100,0.591617230470889,13,phylum
0.01,1e-4,0.5959806609745634,13,phylum
0.01,0.001,0.595508923557704,13,phylum
0.01,0.01,0.5978369580381776,13,phylum
0.01,0.1,0.5982647403501062,13,phylum
0.01,1,0.5914147108781255,13,phylum
0.01,10,0.5993397604921995,13,phylum
0.01,100,0.5832678035178035,13,phylum
0.1,1e-4,0.6010114748895237,13,phylum
0.1,0.001,0.5986798976677026,13,phylum
0.1,0.01,0.5991980752529533,13,phylum
0.1,0.1,0.5976581014812722,13,phylum
0.1,1,0.5922402341365756,13,phylum
0.1,10,0.5633951852549414,13,phylum
0.1,100,0.520206622999306,13,phylum
1,1e-4,0.4921637661180344,13,phylum
1,0.001,0.49632746291587754,13,phylum
1,0.01,0.4948316447981082,13,phylum
1,0.1,0.49695150594845716,13,phylum
1,1,0.4858789307600283,13,phylum
1,10,0.4833228712161639,13,phylum
1,100,0.4939878986128986,13,phylum
1e-6,1e-4,0.5650430513265879,14,phylum
1e-6,0.001,0.5623378156030595,14,phylum
1e-6,0.01,0.5500562879953124,14,phylum
1e-6,0.1,0.5435424579631897,14,phylum
1e-6,1,0.5422433016640333,14,phylum
1e-6,10,0.5522355264672338,14,phylum
1e-6,100,0.5618474607011192,14,phylum
1e-5,1e-4,0.5638987628743727,14,phylum
1e-5,0.001,0.5501895806956782,14,phylum
1e-5,0.01,0.5450882276004227,14,phylum
1e-5,0.1,0.5417625369271711,14,phylum
1e-5,1,0.5567011445243153,14,phylum
1e-5,10,0.561768018018018,14,phylum
1e-5,100,0.5599244061134305,14,phylum
1e-4,1e-4,0.5518021811009616,14,phylum
1e-4,0.001,0.5418950439987026,14,phylum
1e-4,0.01,0.5423905377502939,14,phylum
1e-4,0.1,0.5487072795792308,14,phylum
1e-4,1,0.5638616482335994,14,phylum
1e-4,10,0.5626217027131661,14,phylum
1e-4,100,0.5471123414355121,14,phylum
0.001,1e-4,0.5450146165329092,14,phylum
0.001,0.001,0.5437864013839624,14,phylum
0.001,0.01,0.5451640072127877,14,phylum
0.001,0.1,0.5617019031226348,14,phylum
0.001,1,0.5582136169270315,14,phylum
0.001,10,0.5534060811682763,14,phylum
0.001,100,0.5780433979275442,14,phylum
0.01,1e-4,0.5374823072201121,14,phylum
0.01,0.001,0.5458621504780041,14,phylum
0.01,0.01,0.5424625775601385,14,phylum
0.01,0.1,0.550033842204574,14,phylum
0.01,1,0.54775308235064335,14,phylum
0.01,10,0.5581963235012015,14,phylum
0.01,100,0.531842901263633,14,phylum
0.1,1e-4,0.5274936347497323,14,phylum
0.1,0.001,0.5293335696323501,14,phylum
0.1,0.01,0.5242548201511616,14,phylum
0.1,0.1,0.5202462846121383,14,phylum
0.1,1,0.5120246858356614,14,phylum
0.1,10,0.4882028143125704,14,phylum
0.1,100,0.48689755434877385,14,phylum
1,1e-4,0.48244687631882754,14,phylum
1,0.001,0.4836643769204745,14,phylum
1,0.01,0.4838024967476187,14,phylum
1,0.1,0.48265665927251294,14,phylum
1,1,0.47976390589195467,14,phylum
1,10,0.5006483094592851,14,phylum
1,100,0.5041224203297374,14,phylum
1e-6,1e-4,0.5680849917862113,15,phylum
1e-6,0.001,0.5663376089504139,15,phylum
1e-6,0.01,0.5569250251994154,15,phylum
1e-6,0.1,0.5556366348927324,15,phylum
1e-6,1,0.557909147823782,15,phylum
1e-6,10,0.5576328497487034,15,phylum
1e-6,100,0.5657605410288337,15,phylum
1e-5,1e-4,0.5680545440911294,15,phylum
1e-5,0.001,0.557744556403093,15,phylum
1e-5,0.01,0.5529644444095664,15,phylum
1e-5,0.1,0.5578092500165671,15,phylum
1e-5,1,0.5613388370949347,15,phylum
1e-5,10,0.5612189061884184,15,phylum
1e-5,100,0.5639970039726138,15,phylum
1e-4,1e-4,0.5557977071147803,15,phylum
1e-4,0.001,0.55683606690314,15,phylum
1e-4,0.01,0.5589387889631792,15,phylum
1e-4,0.1,0.5578704889558548,15,phylum
1e-4,1,0.5617146344951223,15,phylum
1e-4,10,0.5574250034006132,15,phylum
1e-4,100,0.5492357932845737,15,phylum
0.001,1e-4,0.5531279729206559,15,phylum
0.001,0.001,0.5542597301133887,15,phylum
0.001,0.01,0.5574101898065312,15,phylum
0.001,0.1,0.5643615793493842,15,phylum
0.001,1,0.5652536726622093,15,phylum
0.001,10,0.5549770371416713,15,phylum
0.001,100,0.5797381039576162,15,phylum
0.01,1e-4,0.5532628115920799,15,phylum
0.01,0.001,0.5515256510866267,15,phylum
0.01,0.01,0.5606512601451626,15,phylum
0.01,0.1,0.5614232882708493,15,phylum
0.01,1,0.5678543447628813,15,phylum
0.01,10,0.5746974858133395,15,phylum
0.01,100,0.5528102763041788,15,phylum
0.1,1e-4,0.5662150983736349,15,phylum
0.1,0.001,0.5592675471638886,15,phylum
0.1,0.01,0.5640558642265959,15,phylum
0.1,0.1,0.5607158683073318,15,phylum
0.1,1,0.552928901026462,15,phylum
0.1,10,0.5472166068507532,15,phylum
0.1,100,0.5303175588480467,15,phylum
1,1e-4,0.5026184878258049,15,phylum
1,0.001,0.4993823666872447,15,phylum
1,0.01,0.5028668755863878,15,phylum
1,0.1,0.5042512826415265,15,phylum
1,1,0.5105982759763248,15,phylum
1,10,0.4819108795206356,15,phylum
1,100,0.48633574166501,15,phylum
1e-6,1e-4,0.5829448267954366,16,phylum
1e-6,0.001,0.5825976167805437,16,phylum
1e-6,0.01,0.5807634585805318,16,phylum
1e-6,0.1,0.5808530193957023,16,phylum
1e-6,1,0.5810493664396104,16,phylum
1e-6,10,0.5766911789838619,16,phylum
1e-6,100,0.5702809665065762,16,phylum
1e-5,1e-4,0.5832926314816559,16,phylum
1e-5,0.001,0.5807432528347163,16,phylum
1e-5,0.01,0.5795292164987287,16,phylum
1e-5,0.1,0.5816756198707418,16,phylum
1e-5,1,0.5738122033183009,16,phylum
1e-5,10,0.5731142832728199,16,phylum
1e-5,100,0.5754429455587993,16,phylum
1e-4,1e-4,0.5815168426265988,16,phylum
1e-4,0.001,0.5794412400205083,16,phylum
1e-4,0.01,0.5805987695012085,16,phylum
1e-4,0.1,0.5758253680509778,16,phylum
1e-4,1,0.5729838156972303,16,phylum
1e-4,10,0.5745629531970995,16,phylum
1e-4,100,0.5675297379260794,16,phylum
0.001,1e-4,0.5777327275010202,16,phylum
0.001,0.001,0.5777959265886096,16,phylum
0.001,0.01,0.5794500694073865,16,phylum
0.001,0.1,0.5764541379358452,16,phylum
0.001,1,0.5772303366083854,16,phylum
0.001,10,0.5729934185056136,16,phylum
0.001,100,0.588834683987123,16,phylum
0.01,1e-4,0.5873061153487983,16,phylum
0.01,0.001,0.5852559658962098,16,phylum
0.01,0.01,0.5916244746488649,16,phylum
0.01,0.1,0.5913767513157757,16,phylum
0.01,1,0.5930343261379847,16,phylum
0.01,10,0.6038305491903053,16,phylum
0.01,100,0.5956644117985581,16,phylum
0.1,1e-4,0.5976812256507379,16,phylum
0.1,0.001,0.5988725964640599,16,phylum
0.1,0.01,0.6004239954239954,16,phylum
0.1,0.1,0.6004062450952695,16,phylum
0.1,1,0.5981410304032255,16,phylum
0.1,10,0.5716211612309173,16,phylum
0.1,100,0.5568154478520332,16,phylum
1,1e-4,0.5216390074743733,16,phylum
1,0.001,0.5139054934725666,16,phylum
1,0.01,0.514175564065808,16,phylum
1,0.1,0.517332443070248,16,phylum
1,1,0.5170296629381995,16,phylum
1,10,0.515631206119011,16,phylum
1,100,0.5053089308821016,16,phylum
1e-6,1e-4,0.5890239215696533,17,phylum
1e-6,0.001,0.588750476085842,17,phylum
1e-6,0.01,0.5867886457886458,17,phylum
1e-6,0.1,0.5861077375284692,17,phylum
1e-6,1,0.5872986156888595,17,phylum
1e-6,10,0.5844470960507546,17,phylum
1e-6,100,0.5892806944575237,17,phylum
1e-5,1e-4,0.5883804501365477,17,phylum
1e-5,0.001,0.5879771879893831,17,phylum
1e-5,0.01,0.587132731163219,17,phylum
1e-5,0.1,0.5872442189576336,17,phylum
1e-5,1,0.5830439725439726,17,phylum
1e-5,10,0.5887265069947997,17,phylum
1e-5,100,0.5888721343294514,17,phylum
1e-4,1e-4,0.5874190645349182,17,phylum
1e-4,0.001,0.5873066341602927,17,phylum
1e-4,0.01,0.5839774208005916,17,phylum
1e-4,0.1,0.5853450985829035,17,phylum
1e-4,1,0.589379823202994,17,phylum
1e-4,10,0.5899046049533855,17,phylum
1e-4,100,0.5841766104083177,17,phylum
0.001,1e-4,0.5862185268892586,17,phylum
0.001,0.001,0.5845554160432209,17,phylum
0.001,0.01,0.5871343747929114,17,phylum
0.001,0.1,0.5898817476012598,17,phylum
0.001,1,0.5890546452375721,17,phylum
0.001,10,0.5839050949904608,17,phylum
0.001,100,0.5988719311646141,17,phylum
0.01,1e-4,0.5874861586325001,17,phylum
0.01,0.001,0.5869606854241001,17,phylum
0.01,0.01,0.5929635384513433,17,phylum
0.01,0.1,0.5921611280269817,17,phylum
0.01,1,0.592486510029193,17,phylum
0.01,10,0.5985443562028928,17,phylum
0.01,100,0.584845017491359,17,phylum
0.1,1e-4,0.592923915204403,17,phylum
0.1,0.001,0.5942237341871488,17,phylum
0.1,0.01,0.593870404376502,17,phylum
0.1,0.1,0.5961711049028122,17,phylum
0.1,1,0.5872919208407014,17,phylum
0.1,10,0.5380682128121153,17,phylum
0.1,100,0.5171419511846341,17,phylum
1,1e-4,0.49675445349530717,17,phylum
1,0.001,0.496918976903733,17,phylum
1,0.01,0.4918871201340714,17,phylum
1,0.1,0.49594269138476454,17,phylum
1,1,0.49544130585289126,17,phylum
1,10,0.48578250506604165,17,phylum
1,100,0.4825527596411743,17,phylum
1e-6,1e-4,0.5583555057670911,18,phylum
1e-6,0.001,0.5551262944128798,18,phylum
1e-6,0.01,0.5358903267378877,18,phylum
1e-6,0.1,0.5402148193489656,18,phylum
1e-6,1,0.5337569198117978,18,phylum
1e-6,10,0.5388720549818111,18,phylum
1e-6,100,0.5478394195589318,18,phylum
1e-5,1e-4,0.555433105143471,18,phylum
1e-5,0.001,0.538508647148891,18,phylum
1e-5,0.01,0.5371992183821452,18,phylum
1e-5,0.1,0.5337801608228437,18,phylum
1e-5,1,0.5401451983342227,18,phylum
1e-5,10,0.5498511656255559,18,phylum
1e-5,100,0.5481648329514183,18,phylum
1e-4,1e-4,0.5415302471461008,18,phylum
1e-4,0.001,0.5354563221758344,18,phylum
1e-4,0.01,0.5365066931042541,18,phylum
1e-4,0.1,0.5434118395398884,18,phylum
1e-4,1,0.5486436488753562,18,phylum
1e-4,10,0.5443051431222163,18,phylum
1e-4,100,0.5359529128431567,18,phylum
0.001,1e-4,0.5373598563720515,18,phylum
0.001,0.001,0.5381740521008814,18,phylum
0.001,0.01,0.5378138818260769,18,phylum
0.001,0.1,0.5567182417609247,18,phylum
0.001,1,0.5476564718028133,18,phylum
0.001,10,0.5342197014087258,18,phylum
0.001,100,0.5601964734769613,18,phylum
0.01,1e-4,0.5427498229937254,18,phylum
0.01,0.001,0.540358897224751,18,phylum
0.01,0.01,0.5479453826648949,18,phylum
0.01,0.1,0.5575079835933494,18,phylum
0.01,1,0.5522662688821226,18,phylum
0.01,10,0.564370433150921,18,phylum
0.01,100,0.5691960148301611,18,phylum
0.1,1e-4,0.5566409745982916,18,phylum
0.1,0.001,0.5517165928995197,18,phylum
0.1,0.01,0.5506620435766777,18,phylum
0.1,0.1,0.5465663808407711,18,phylum
0.1,1,0.5447210913003596,18,phylum
0.1,10,0.5010625416357124,18,phylum
0.1,100,0.49520713309127945,18,phylum
1,1e-4,0.4760636965362575,18,phylum
1,0.001,0.47700619129582544,18,phylum
1,0.01,0.4782283603289701,18,phylum
1,0.1,0.477426975320268,18,phylum
1,1,0.47514604369177543,18,phylum
1,10,0.48059130515532955,18,phylum
1,100,0.4814651668218741,18,phylum
1e-6,1e-4,0.5880187447900863,19,phylum
1e-6,0.001,0.5883894194717365,19,phylum
1e-6,0.01,0.5853430782699075,19,phylum
1e-6,0.1,0.5875001639269932,19,phylum
1e-6,1,0.5878342619623107,19,phylum
1e-6,10,0.5866786158981281,19,phylum
1e-6,100,0.5871658644707425,19,phylum
1e-5,1e-4,0.5894271579942312,19,phylum
1e-5,0.001,0.5877248999870951,19,phylum
1e-5,0.01,0.5836740416374563,19,phylum
1e-5,0.1,0.5838580662544077,19,phylum
1e-5,1,0.5874264735118394,19,phylum
1e-5,10,0.5885875509655998,19,phylum
1e-5,100,0.5884419053199541,19,phylum
1e-4,1e-4,0.5837573226536641,19,phylum
1e-4,0.001,0.5848367461538193,19,phylum
1e-4,0.01,0.5859267490487002,19,phylum
1e-4,0.1,0.585821423339716,19,phylum
1e-4,1,0.5891579515055125,19,phylum
1e-4,10,0.5901122603439677,19,phylum
1e-4,100,0.5773420441347271,19,phylum
0.001,1e-4,0.5831670991549041,19,phylum
0.001,0.001,0.5825032872593848,19,phylum
0.001,0.01,0.586397622361037,19,phylum
0.001,0.1,0.5883541084638646,19,phylum
0.001,1,0.587812195470732,19,phylum
0.001,10,0.5762991292686415,19,phylum
0.001,100,0.5916055053311151,19,phylum
0.01,1e-4,0.582052032869106,19,phylum
0.01,0.001,0.5807017182687915,19,phylum
0.01,0.01,0.5871890880427466,19,phylum
0.01,0.1,0.59094944770554525,19,phylum
0.01,1,0.5793491793186916,19,phylum
0.01,10,0.5968553030382299,19,phylum
0.01,100,0.5967633975438854,19,phylum
0.1,1e-4,0.5992013101952126,19,phylum
0.1,0.001,0.6006633419133419,19,phylum
0.1,0.01,0.598867887922766,19,phylum
0.1,0.1,0.6004629594751546,19,phylum
0.1,1,0.5986753617729228,19,phylum
0.1,10,0.5561504326626278,19,phylum
0.1,100,0.5114593574410647,19,phylum
1,1e-4,0.5113909715464594,19,phylum
1,0.001,0.5131396993683579,19,phylum
1,0.01,0.5061810063547868,19,phylum
1,0.1,0.5141861473843181,19,phylum
1,1,0.5117821013522234,19,phylum
1,10,0.4804265349844618,19,phylum
1,100,0.48799043076177223,19,phylum
1e-6,1e-4,0.5852722491655419,2,phylum
1e-6,0.001,0.585413876419974,2,phylum
1e-6,0.01,0.577663085559427,2,phylum
1e-6,0.1,0.5774510791279084,2,phylum
1e-6,1,0.5763899727253385,2,phylum
1e-6,10,0.5782544495715227,2,phylum
1e-6,100,0.5764062625343114,2,phylum
1e-5,1e-4,0.5844535083864352,2,phylum
1e-5,0.001,0.5812628237994092,2,phylum
1e-5,0.01,0.5820572532462777,2,phylum
1e-5,0.1,0.5771771292198121,2,phylum
1e-5,1,0.5771903113915309,2,phylum
1e-5,10,0.5744057602899066,2,phylum
1e-5,100,0.5747675968651579,2,phylum
1e-4,1e-4,0.5782369704198973,2,phylum
1e-4,0.001,0.5815969157310621,2,phylum
1e-4,0.01,0.5783025717354986,2,phylum
1e-4,0.1,0.5815964649318308,2,phylum
1e-4,1,0.5767109932231883,2,phylum
1e-4,10,0.5741489198257491,2,phylum
1e-4,100,0.5623544598605574,2,phylum
0.001,1e-4,0.5777806935855716,2,phylum
0.001,0.001,0.5785436403302257,2,phylum
0.001,0.01,0.5749806243525756,2,phylum
0.001,0.1,0.5772309783651247,2,phylum
0.001,1,0.5769940375915986,2,phylum
0.001,10,0.5606937983279446,2,phylum
0.001,100,0.584925564065808,2,phylum
0.01,1e-4,0.5715477550721453,2,phylum
0.01,0.001,0.5697881871418456,2,phylum
0.01,0.01,0.5743161157673353,2,phylum
0.01,0.1,0.5803454116137043,2,phylum
0.01,1,0.5674101026113221,2,phylum
0.01,10,0.5890392090696969,2,phylum
0.01,100,0.5747461084778158,2,phylum
0.1,1e-4,0.578427089110016,2,phylum
0.1,0.001,0.5781273512188146,2,phylum
