sigma,C,AUC,seed,level
1e-6,1e-4,0.5690511909993617,1,phylum
1e-6,0.001,0.5683057639521054,1,phylum
1e-6,0.01,0.559139242029486,1,phylum
1e-6,0.1,0.5515020482154629,1,phylum
1e-6,1,0.550629642708911,1,phylum
1e-6,10,0.5576649951345073,1,phylum
1e-6,100,0.5593411939814379,1,phylum
1e-5,1e-4,0.5680002262715678,1,phylum
1e-5,0.001,0.5597124615905104,1,phylum
1e-5,0.01,0.5571515400417839,1,phylum
1e-5,0.1,0.5519249310285895,1,phylum
1e-5,1,0.5570442280259353,1,phylum
1e-5,10,0.5594095271229418,1,phylum
1e-5,100,0.5598958331153453,1,phylum
1e-4,1e-4,0.5583524090292383,1,phylum
1e-4,0.001,0.5507665697055941,1,phylum
1e-4,0.01,0.5547948715265788,1,phylum
1e-4,0.1,0.5525031416433855,1,phylum
1e-4,1,0.5595008440496245,1,phylum
1e-4,10,0.5628293720549818,1,phylum
1e-4,100,0.553228093075654,1,phylum
0.001,1e-4,0.5575627107944181,1,phylum
0.001,0.001,0.5566982173811442,1,phylum
0.001,0.01,0.559379480525822,1,phylum
0.001,0.1,0.5608203639179249,1,phylum
0.001,1,0.5613065042394311,1,phylum
0.001,10,0.5543169885913788,1,phylum
0.001,100,0.5717937955376979,1,phylum
0.01,1e-4,0.5577116166689338,1,phylum
0.01,0.001,0.5564571139083334,1,phylum
0.01,0.01,0.5722640959775106,1,phylum
0.01,0.1,0.5717740562862514,1,phylum
0.01,1,0.5672606282240429,1,phylum
0.01,10,0.5761964717330571,1,phylum
0.01,100,0.5684709500441207,1,phylum
0.1,1e-4,0.5836628898061825,1,phylum
0.1,0.001,0.57952768491488,1,phylum
0.1,0.01,0.5812669851907657,1,phylum
0.1,0.1,0.5798745823349482,1,phylum
0.1,1,0.5749304064517479,1,phylum
0.1,10,0.5362300571477401,1,phylum
0.1,100,0.5106702534415949,1,phylum
1,1e-4,0.4957128230146523,1,phylum
1,0.001,0.49343318623501553,1,phylum
1,0.01,0.49593178064824406,1,phylum
1,0.1,0.4952871665219226,1,phylum
1,1,0.4948434135354867,1,phylum
1,10,0.48223039895295994,1,phylum
1,100,0.48502610319378614,1,phylum
1e-6,1e-4,0.5610353554774287,10,phylum
1e-6,0.001,0.5598101777735924,10,phylum
1e-6,0.01,0.5444307129429081,10,phylum
1e-6,0.1,0.541311870232602,10,phylum
1e-6,1,0.5400903961452742,10,phylum
1e-6,10,0.54006402482622,10,phylum
1e-6,100,0.54289025262196,10,phylum
1e-5,1e-4,0.5596724298340152,10,phylum
1e-5,0.001,0.546553910181959,10,phylum
1e-5,0.01,0.5418028926138683,10,phylum
1e-5,0.1,0.5426677862531522,10,phylum
1e-5,1,0.5443370949346559,10,phylum
1e-5,10,0.5429391848294287,10,phylum
1e-5,100,0.5365047233644795,10,phylum
1e-4,1e-4,0.5454237643566912,10,phylum
1e-4,0.001,0.5398600019880507,10,phylum
1e-4,0.01,0.541443324857959,10,phylum
1e-4,0.1,0.5408931570943766,10,phylum
1e-4,1,0.5446313883569981,10,phylum
1e-4,10,0.5453318632221071,10,phylum
1e-4,100,0.5185532100044296,10,phylum
0.001,1e-4,0.5430252185983894,10,phylum
0.001,0.001,0.5389552444430493,10,phylum
