cv_metric_AUC,logLoss,AUC,prAUC,Accuracy,Kappa,F1,Sensitivity,Specificity,Pos_Pred_Value,Neg_Pred_Value,Precision,Recall,Detection_Rate,Balanced_Accuracy,method,seed
0.671967266918486,0.712556906589109,0.628632478632479,0.623908765314849,0.54639175257732,0.088034188034188,0.576923076923077,0.576923076923077,0.511111111111111,0.576923076923077,0.511111111111111,0.576923076923077,0.576923076923077,0.309278350515464,0.544017094017094,xgbTree,1
0.657329522030742,0.666197891171266,0.623504273504274,0.606991066240321,0.670103092783505,0.324630113141862,0.724137931034483,0.807692307692308,0.511111111111111,0.65625,0.696969696969697,0.65625,0.807692307692308,0.43298969072165,0.659401709401709,xgbTree,2
0.653825246849637,0.712377606761088,0.653418803418803,0.611754118282594,0.597938144329897,0.183113798315699,0.648648648648649,0.692307692307692,0.488888888888889,0.610169491525424,0.578947368421053,0.610169491525424,0.692307692307692,0.371134020618557,0.590598290598291,xgbTree,3
0.660450159218452,0.69861058640428,0.52008547008547,0.530771282210165,0.515463917525773,0.0185145317545746,0.447058823529412,0.422222222222222,0.596153846153846,0.475,0.543859649122807,0.475,0.422222222222222,0.195876288659794,0.509188034188034,xgbTree,4
0.661178559221242,0.769957256743356,0.581196581196581,0.569208815951581,0.556701030927835,0.115376458112407,0.565656565656566,0.538461538461538,0.577777777777778,0.595744680851064,0.52,0.595744680851064,0.538461538461538,0.288659793814433,0.558119658119658,xgbTree,5
0.647067683537196,0.725326230254104,0.635470085470085,0.601074126978719,0.618556701030928,0.231970896640274,0.647619047619048,0.653846153846154,0.577777777777778,0.641509433962264,0.590909090909091,0.641509433962264,0.653846153846154,0.350515463917526,0.615811965811966,xgbTree,6
0.626145949084973,0.77753199124229,0.582478632478632,0.573869976697782,0.577319587628866,0.151482824834649,0.549450549450549,0.555555555555556,0.596153846153846,0.543478260869565,0.607843137254902,0.543478260869565,0.555555555555556,0.257731958762887,0.575854700854701,xgbTree,7
0.65187955464175,0.668560265287006,0.641880341880342,0.622346987854737,0.639175257731959,0.271302854689847,0.672897196261682,0.692307692307692,0.577777777777778,0.654545454545455,0.619047619047619,0.654545454545455,0.692307692307692,0.371134020618557,0.635042735042735,xgbTree,8
0.662876795785332,0.673361864586802,0.596581196581197,0.58954422574413,0.587628865979381,0.158351409978308,0.649122807017544,0.711538461538462,0.444444444444444,0.596774193548387,0.571428571428572,0.596774193548387,0.711538461538462,0.381443298969072,0.577991452991453,xgbTree,9
0.632173913460499,0.718797695865986,0.61025641025641,0.601074535572985,0.577319587628866,0.141222198229324,0.630630630630631,0.673076923076923,0.466666666666667,0.593220338983051,0.552631578947368,0.593220338983051,0.673076923076923,0.360824742268041,0.569871794871795,xgbTree,10
0.668223751626191,0.731501597419155,0.64017094017094,0.59885650251785,0.628865979381443,0.247089262613195,0.672727272727273,0.711538461538462,0.533333333333333,0.637931034482759,0.615384615384615,0.637931034482759,0.711538461538462,0.381443298969072,0.622435897435897,xgbTree,11
0.625365619975376,0.646259829368495,0.698717948717949,0.688892132049835,0.670103092783505,0.324630113141862,0.724137931034483,0.807692307692308,0.511111111111111,0.65625,0.696969696969697,0.65625,0.807692307692308,0.43298969072165,0.659401709401709,xgbTree,12
0.655991903052879,0.67326917459476,0.591452991452991,0.588439274343159,0.608247422680412,0.195547795722392,0.677966101694915,0.769230769230769,0.422222222222222,0.606060606060606,0.612903225806452,0.606060606060606,0.769230769230769,0.412371134020619,0.595726495726496,xgbTree,13
0.611719639936103,0.661591636754293,0.735897435897436,0.718130503884349,0.701030927835051,0.37558268590455,0.775193798449612,0.961538461538462,0.4,0.649350649350649,0.9,0.649350649350649,0.961538461538462,0.515463917525773,0.680769230769231,xgbTree,14
0.66803829875171306,0.673486984675871,0.594017094017094,0.571132460915539,0.618556701030928,0.227341227125942,0.660550458715596,0.692307692307692,0.533333333333333,0.631578947368421,0.6,0.631578947368421,0.692307692307692,0.371134020618557,0.612820512820513,xgbTree,15
