nrounds,max_depth,eta,gamma,colsample_bytree,min_child_weight,subsample,AUC,seed,level
100,1,0.001,0,0.8,1,0.4,0.6103313391789001,1,phylum
100,1,0.001,0,0.8,1,0.5,0.6100443470473959,1,phylum
100,1,0.001,0,0.8,1,0.6,0.6062889762584884,1,phylum
100,1,0.001,0,0.8,1,0.7,0.6049342548123036,1,phylum
100,1,0.01,0,0.8,1,0.4,0.6149676841475622,1,phylum
100,1,0.01,0,0.8,1,0.5,0.6142310036517353,1,phylum
100,1,0.01,0,0.8,1,0.6,0.6150548383749603,1,phylum
100,1,0.01,0,0.8,1,0.7,0.6121883922249776,1,phylum
100,1,0.1,0,0.8,1,0.4,0.621881759372613,1,phylum
100,1,0.1,0,0.8,1,0.5,0.6237311453439502,1,phylum
100,1,0.1,0,0.8,1,0.6,0.621803166406825,1,phylum
100,1,0.1,0,0.8,1,0.7,0.6218294679697118,1,phylum
100,1,1,0,0.8,1,0.4,0.5476105879398563,1,phylum
100,1,1,0,0.8,1,0.5,0.5528050938569231,1,phylum
100,1,1,0,0.8,1,0.6,0.5584398204825034,1,phylum
100,1,1,0,0.8,1,0.7,0.5603748809785395,1,phylum
100,2,0.001,0,0.8,1,0.4,0.6203769509928047,1,phylum
100,2,0.001,0,0.8,1,0.5,0.6185101556260093,1,phylum
100,2,0.001,0,0.8,1,0.6,0.6173433607823852,1,phylum
100,2,0.001,0,0.8,1,0.7,0.6155638709266759,1,phylum
100,2,0.01,0,0.8,1,0.4,0.6215449482583629,1,phylum
100,2,0.01,0,0.8,1,0.5,0.6221602521511058,1,phylum
100,2,0.01,0,0.8,1,0.6,0.6193773111090184,1,phylum
100,2,0.01,0,0.8,1,0.7,0.6176980512742708,1,phylum
100,2,0.1,0,0.8,1,0.4,0.5992136265185046,1,phylum
100,2,0.1,0,0.8,1,0.5,0.5984415748501114,1,phylum
100,2,0.1,0,0.8,1,0.6,0.6013762290164729,1,phylum
100,2,0.1,0,0.8,1,0.7,0.599140997269046,1,phylum
100,2,1,0,0.8,1,0.4,0.5249800401446743,1,phylum
100,2,1,0,0.8,1,0.5,0.5325658166877679,1,phylum
100,2,1,0,0.8,1,0.6,0.5351182262401775,1,phylum
100,2,1,0,0.8,1,0.7,0.5283212655163875,1,phylum
100,4,0.001,0,0.8,1,0.4,0.6120305671525184,1,phylum
100,4,0.001,0,0.8,1,0.5,0.6131215143715144,1,phylum
100,4,0.001,0,0.8,1,0.6,0.6137347347347347,1,phylum
100,4,0.001,0,0.8,1,0.7,0.6129793050890612,1,phylum
100,4,0.01,0,0.8,1,0.4,0.6066832716863205,1,phylum
100,4,0.01,0,0.8,1,0.5,0.6078371978250027,1,phylum
100,4,0.01,0,0.8,1,0.6,0.6072525434842508,1,phylum
100,4,0.01,0,0.8,1,0.7,0.60653399479619,1,phylum
100,4,0.1,0,0.8,1,0.4,0.5603705508644533,1,phylum
100,4,0.1,0,0.8,1,0.5,0.5579218617572276,1,phylum
100,4,0.1,0,0.8,1,0.6,0.5571689660043319,1,phylum
100,4,0.1,0,0.8,1,0.7,0.5566716420253006,1,phylum
100,4,1,0,0.8,1,0.4,0.5210967561638293,1,phylum
100,4,1,0,0.8,1,0.5,0.5179210787442495,1,phylum
100,4,1,0,0.8,1,0.6,0.519727711160638,1,phylum
100,4,1,0,0.8,1,0.7,0.5198500865848427,1,phylum
100,8,0.001,0,0.8,1,0.4,0.5959802380777991,1,phylum
100,8,0.001,0,0.8,1,0.5,0.5925089767467816,1,phylum
100,8,0.001,0,0.8,1,0.6,0.5886340050852246,1,phylum
100,8,0.001,0,0.8,1,0.7,0.5864702359153579,1,phylum
100,8,0.01,0,0.8,1,0.4,0.5915278693327474,1,phylum
100,8,0.01,0,0.8,1,0.5,0.5851843899648778,1,phylum
100,8,0.01,0,0.8,1,0.6,0.5813736428065697,1,phylum
100,8,0.01,0,0.8,1,0.7,0.5774263339995047,1,phylum
100,8,0.1,0,0.8,1,0.4,0.5453600717442181,1,phylum
100,8,0.1,0,0.8,1,0.5,0.5412014767380621,1,phylum
100,8,0.1,0,0.8,1,0.6,0.5408003116356775,1,phylum
100,8,0.1,0,0.8,1,0.7,0.5374498270047051,1,phylum
100,8,1,0,0.8,1,0.4,0.5129443725083969,1,phylum
100,8,1,0,0.8,1,0.5,0.5176875028338443,1,phylum
100,8,1,0,0.8,1,0.6,0.5170268517646567,1,phylum
100,8,1,0,0.8,1,0.7,0.5193887746631649,1,phylum
100,16,0.001,0,0.8,1,0.4,0.5962133126157516,1,phylum
100,16,0.001,0,0.8,1,0.5,0.5918907662017419,1,phylum
100,16,0.001,0,0.8,1,0.6,0.5861187572590012,1,phylum
100,16,0.001,0,0.8,1,0.7,0.5803764365410707,1,phylum
100,16,0.01,0,0.8,1,0.4,0.5909791629608703,1,phylum
100,16,0.01,0,0.8,1,0.5,0.5832278375936912,1,phylum
100,16,0.01,0,0.8,1,0.6,0.5777527701917946,1,phylum
100,16,0.01,0,0.8,1,0.7,0.5725882031857642,1,phylum
100,16,0.1,0,0.8,1,0.4,0.544733831392368,1,phylum
100,16,0.1,0,0.8,1,0.5,0.5429003568027958,1,phylum
100,16,0.1,0,0.8,1,0.6,0.5396697795356332,1,phylum
100,16,0.1,0,0.8,1,0.7,0.5379630606215973,1,phylum
100,16,1,0,0.8,1,0.4,0.5132860744019281,1,phylum
100,16,1,0,0.8,1,0.5,0.5221839967144846,1,phylum
100,16,1,0,0.8,1,0.6,0.519225118411094,1,phylum
100,16,1,0,0.8,1,0.7,0.5212416702416702,1,phylum
100,30,0.001,0,0.8,1,0.4,0.5950588951320659,1,phylum
100,30,0.001,0,0.8,1,0.5,0.5920514434294922,1,phylum
100,30,0.001,0,0.8,1,0.6,0.5857823825567728,1,phylum
100,30,0.001,0,0.8,1,0.7,0.5795519639848908,1,phylum
100,30,0.01,0,0.8,1,0.4,0.5896252018569091,1,phylum
100,30,0.01,0,0.8,1,0.5,0.5833866523317743,1,phylum
100,30,0.01,0,0.8,1,0.6,0.5767506312933143,1,phylum
100,30,0.01,0,0.8,1,0.7,0.5722447822386847,1,phylum
100,30,0.1,0,0.8,1,0.4,0.5451273581944314,1,phylum
100,30,0.1,0,0.8,1,0.5,0.5422892343563075,1,phylum
100,30,0.1,0,0.8,1,0.6,0.5398703555471849,1,phylum
100,30,0.1,0,0.8,1,0.7,0.5371890679878485,1,phylum
100,30,1,0,0.8,1,0.4,0.5196384555286995,1,phylum
100,30,1,0,0.8,1,0.5,0.5195151824298165,1,phylum
100,30,1,0,0.8,1,0.6,0.5185250058420791,1,phylum
100,30,1,0,0.8,1,0.7,0.5200752154593619,1,phylum
100,1,0.001,0,0.8,1,0.4,0.5915033496039593,10,phylum
100,1,0.001,0,0.8,1,0.5,0.5929537786915836,10,phylum
100,1,0.001,0,0.8,1,0.6,0.5917393543369153,10,phylum
100,1,0.001,0,0.8,1,0.7,0.5910395757255513,10,phylum
100,1,0.01,0,0.8,1,0.4,0.594785378148183,10,phylum
100,1,0.01,0,0.8,1,0.5,0.5948030595926938,10,phylum
100,1,0.01,0,0.8,1,0.6,0.5951838205801621,10,phylum
100,1,0.01,0,0.8,1,0.7,0.5941589071650047,10,phylum
100,1,0.1,0,0.8,1,0.4,0.5894418900607925,10,phylum
100,1,0.1,0,0.8,1,0.5,0.5909302320613297,10,phylum
100,1,0.1,0,0.8,1,0.6,0.5906370573535208,10,phylum
100,1,0.1,0,0.8,1,0.7,0.5905860817263257,10,phylum
100,1,1,0,0.8,1,0.4,0.5360908085786135,10,phylum
100,1,1,0,0.8,1,0.5,0.5441183810116738,10,phylum
100,1,1,0,0.8,1,0.6,0.5459683285201578,10,phylum
100,1,1,0,0.8,1,0.7,0.549578010937767,10,phylum
100,2,0.001,0,0.8,1,0.4,0.6040912131643839,10,phylum
100,2,0.001,0,0.8,1,0.5,0.6050344647783672,10,phylum
100,2,0.001,0,0.8,1,0.6,0.60836901971658075,10,phylum
100,2,0.001,0,0.8,1,0.7,0.6103960131734522,10,phylum
100,2,0.01,0,0.8,1,0.4,0.6008183789189887,10,phylum
100,2,0.01,0,0.8,1,0.5,0.603050001656709,10,phylum
100,2,0.01,0,0.8,1,0.6,0.6030316980743811,10,phylum
100,2,0.01,0,0.8,1,0.7,0.602939749418408,10,phylum
100,2,0.1,0,0.8,1,0.4,0.5735133417389515,10,phylum
100,2,0.1,0,0.8,1,0.5,0.5737288054605127,10,phylum
100,2,0.1,0,0.8,1,0.6,0.574558590820786,10,phylum
100,2,0.1,0,0.8,1,0.7,0.5735914956768615,10,phylum
100,2,1,0,0.8,1,0.4,0.5300913993261555,10,phylum
100,2,1,0,0.8,1,0.5,0.5393707304865841,10,phylum
100,2,1,0,0.8,1,0.6,0.5376525436586412,10,phylum
100,2,1,0,0.8,1,0.7,0.5419939713232397,10,phylum
100,4,0.001,0,0.8,1,0.4,0.5970790110668159,10,phylum
100,4,0.001,0,0.8,1,0.5,0.5987754958791545,10,phylum
100,4,0.001,0,0.8,1,0.6,0.6026506340835609,10,phylum
100,4,0.001,0,0.8,1,0.7,0.6051722519557885,10,phylum
100,4,0.01,0,0.8,1,0.4,0.59008740098984,10,phylum
100,4,0.01,0,0.8,1,0.5,0.5907587108013937,10,phylum
100,4,0.01,0,0.8,1,0.6,0.5914822714700764,10,phylum
100,4,0.01,0,0.8,1,0.7,0.5920860311531043,10,phylum
100,4,0.1,0,0.8,1,0.4,0.5479185936807888,10,phylum
100,4,0.1,0,0.8,1,0.5,0.5494324716702765,10,phylum
100,4,0.1,0,0.8,1,0.6,0.5463326305399476,10,phylum
100,4,0.1,0,0.8,1,0.7,0.5482585093804606,10,phylum
100,4,1,0,0.8,1,0.4,0.5245750689714105,10,phylum
100,4,1,0,0.8,1,0.5,0.535647059951938,10,phylum
100,4,1,0,0.8,1,0.6,0.5263143047228414,10,phylum
100,4,1,0,0.8,1,0.7,0.5332808758235588,10,phylum
100,8,0.001,0,0.8,1,0.4,0.582624094477753,10,phylum
100,8,0.001,0,0.8,1,0.5,0.5818782493294689,10,phylum
100,8,0.001,0,0.8,1,0.6,0.5813619948345559,10,phylum
100,8,0.001,0,0.8,1,0.7,0.5810913016675212,10,phylum
100,8,0.01,0,0.8,1,0.4,0.5756284167442705,10,phylum
100,8,0.01,0,0.8,1,0.5,0.5722265811107274,10,phylum
100,8,0.01,0,0.8,1,0.6,0.5709510233229745,10,phylum
100,8,0.01,0,0.8,1,0.7,0.5701366035024572,10,phylum
100,8,0.1,0,0.8,1,0.4,0.5415557064032673,10,phylum
100,8,0.1,0,0.8,1,0.5,0.5395755973743779,10,phylum
100,8,0.1,0,0.8,1,0.6,0.5384368724124822,10,phylum
100,8,0.1,0,0.8,1,0.7,0.5377266656900803,10,phylum
100,8,1,0,0.8,1,0.4,0.5204085810549225,10,phylum
100,8,1,0,0.8,1,0.5,0.5272380629758678,10,phylum
100,8,1,0,0.8,1,0.6,0.5282629118665704,10,phylum
100,8,1,0,0.8,1,0.7,0.5296024482670825,10,phylum
100,16,0.001,0,0.8,1,0.4,0.58155337567532694,10,phylum
100,16,0.001,0,0.8,1,0.5,0.5804262154140203,10,phylum
100,16,0.001,0,0.8,1,0.6,0.5789588656600851,10,phylum
100,16,0.001,0,0.8,1,0.7,0.5783130042062969,10,phylum
100,16,0.01,0,0.8,1,0.4,0.5757585163560773,10,phylum
100,16,0.01,0,0.8,1,0.5,0.5723412689693178,10,phylum
100,16,0.01,0,0.8,1,0.6,0.5688552010198352,10,phylum
100,16,0.01,0,0.8,1,0.7,0.5670150612284759,10,phylum
100,16,0.1,0,0.8,1,0.4,0.5405944507224996,10,phylum
100,16,0.1,0,0.8,1,0.5,0.5373586199439858,10,phylum
100,16,0.1,0,0.8,1,0.6,0.5370789465423612,10,phylum
100,16,0.1,0,0.8,1,0.7,0.5394809766212205,10,phylum
100,16,1,0,0.8,1,0.4,0.5241638594169082,10,phylum
100,16,1,0,0.8,1,0.5,0.5283356335429507,10,phylum
100,16,1,0,0.8,1,0.6,0.5322039408746726,10,phylum
100,16,1,0,0.8,1,0.7,0.5284047270266783,10,phylum
