mtry,AUC,seed,level
1,0.6629770436813119,1,genus
6,0.6780369812321032,1,genus
11,0.6767375419844932,1,genus
22,0.6735379329678111,1,genus
1,0.6685121606798436,10,genus
6,0.681788027138637,10,genus
11,0.6828749184724795,10,genus
22,0.6813058014460454,10,genus
1,0.6232346732621122,100,genus
6,0.6438832325356716,100,genus
11,0.6417539285801481,100,genus
22,0.6381421151116273,100,genus
1,0.6504181001559051,11,genus
6,0.6679065367632441,11,genus
11,0.6674054921646385,11,genus
22,0.66399841784293,11,genus
1,0.6833422403239476,12,genus
6,0.6990732387439704,12,genus
11,0.6972476086713891,12,genus
22,0.6935330831702783,12,genus
1,0.6490700203688009,13,genus
6,0.656716490881125,13,genus
11,0.6566858055790983,13,genus
22,0.6503972613728711,13,genus
1,0.643554578533237,14,genus
6,0.6623952711422224,14,genus
11,0.6610390830726197,14,genus
22,0.6568801929106807,14,genus
1,0.661968672941234,15,genus
6,0.6822890290115899,15,genus
11,0.6828821905529223,15,genus
22,0.677990838835351,15,genus
1,0.6644804922518337,16,genus
6,0.6835026380910527,16,genus
11,0.6850359706396292,16,genus
22,0.682054911618936,16,genus
1,0.6800942990028356,17,genus
6,0.6960643326253082,17,genus
11,0.6955086092189751,17,genus
22,0.6914724498017181,17,genus
1,0.6670628311238067,18,genus
6,0.6833676712426713,18,genus
11,0.6844060781164439,18,genus
22,0.6824066719158183,18,genus
1,0.6462501377684304,19,genus
6,0.6629656817095841,19,genus
11,0.662653419098541,19,genus
22,0.6591070364789877,19,genus
1,0.6486769692166033,2,genus
6,0.6686475011596963,2,genus
11,0.6688540923327508,2,genus
22,0.6647587692221839,2,genus
1,0.6579518307506113,20,genus
6,0.6681956263755044,20,genus
11,0.6647173061563305,20,genus
22,0.6608679005660713,20,genus
1,0.6431848943891627,21,genus
6,0.6598228651124992,21,genus
11,0.6576293645561938,21,genus
22,0.6533720955275834,21,genus
1,0.6470098046652925,22,genus
6,0.6689103271389857,22,genus
11,0.6697324981776202,22,genus
22,0.6653377624139819,22,genus
1,0.6526767111187843,23,genus
6,0.6681726556696069,23,genus
11,0.6691083762333763,23,genus
22,0.6650549883507201,23,genus
1,0.6754016969931604,24,genus
6,0.6917206697115234,24,genus
11,0.6917488333281017,24,genus
22,0.6876391020811753,24,genus
1,0.6519998670273061,25,genus
6,0.665155983073666,25,genus
11,0.6629053042589628,25,genus
22,0.6588020258934894,25,genus
1,0.6542894353412646,26,genus
6,0.6697922234080771,26,genus
11,0.6680927639311786,26,genus
22,0.6640516265394314,26,genus
1,0.6532577224436981,27,genus
6,0.6699459707965806,27,genus
11,0.669862463944781,27,genus
22,0.6684274627414871,27,genus
1,0.6480836611873197,28,genus
6,0.6656516542675079,28,genus
11,0.6652143977601295,28,genus
22,0.6619924824650435,28,genus
1,0.6476195712262786,29,genus
6,0.6648556923648388,29,genus
11,0.661329831573734,29,genus
22,0.6537545642332228,29,genus
1,0.6699102979285906,3,genus
6,0.6924136654075679,3,genus
