alpha,lambda,AUC,seed,level
0,1e-4,0.5768135565879469,1,order
0,0.001,0.5768135565879469,1,order
0,0.01,0.5774915551439942,1,order
0,0.1,0.5861146512366024,1,order
0,1,0.5971692188704384,1,order
0,10,0.599874999564024,1,order
0,20,0.6001339222497759,1,order
0,30,0.6001349790557108,1,order
0,50,0.6001216320850468,1,order
0,1e-4,0.5615411535228608,10,order
0,0.001,0.5615411535228608,10,order
0,0.01,0.561447041989725,10,order
0,0.1,0.5664583416168782,10,order
0,1,0.5709407735261394,10,order
0,10,0.5721713909030982,10,order
0,20,0.5722157122279073,10,order
0,30,0.5722233182660011,10,order
0,50,0.5711477592575154,10,order
0,1e-4,0.6134561783037393,100,order
0,0.001,0.6134561783037393,100,order
0,0.01,0.6137455399650522,100,order
0,0.1,0.6142743021767412,100,order
0,1,0.612118192234046,100,order
0,10,0.6104561102914762,100,order
0,20,0.6102820093612776,100,order
0,30,0.6102387003728467,100,order
0,50,0.6101746982173811,100,order
0,1e-4,0.5749327829571732,11,order
0,0.001,0.5749327829571732,11,order
0,0.01,0.5760008597447622,11,order
0,0.1,0.5785128839641035,11,order
0,1,0.5787822657151925,11,order
0,10,0.5785361005604908,11,order
0,20,0.5784242526498624,11,order
0,30,0.5783647157610572,11,order
0,50,0.575870310205676,11,order
0,1e-4,0.5881217070729265,12,order
0,0.001,0.5881217070729265,12,order
0,0.01,0.5881775355494868,12,order
0,0.1,0.5911948254875085,12,order
0,1,0.5970967404686917,12,order
0,10,0.5985188437566487,12,order
0,20,0.5985268107829084,12,order
0,30,0.5985679965679965,12,order
0,50,0.5985907013285062,12,order
0,1e-4,0.5677994501470112,13,order
0,0.001,0.5677994501470112,13,order
0,0.01,0.5683613203796131,13,order
0,0.1,0.5706030333469357,13,order
0,1,0.5776063607161168,13,order
0,10,0.5823417738295787,13,order
0,20,0.5827471722593673,13,order
0,30,0.5828634723573748,13,order
0,50,0.5829689149079393,13,order
0,1e-4,0.5960987895561066,14,order
0,0.001,0.5960987895561066,14,order
0,0.01,0.5963973686229784,14,order
0,0.1,0.5978934614056566,14,order
0,1,0.5957045765277472,14,order
0,10,0.5958090834737176,14,order
0,20,0.5959408790323425,14,order
0,30,0.5959700571651791,14,order
0,50,0.5958940150952347,14,order
0,1e-4,0.5708936497473083,15,order
0,0.001,0.5708936497473083,15,order
0,0.01,0.5713841655244094,15,order
0,0.1,0.5735752424898767,15,order
0,1,0.5780880636734296,15,order
0,10,0.5806573062609648,15,order
0,20,0.5807067825665386,15,order
0,30,0.5807542699493919,15,order
0,50,0.5804554781262098,15,order
0,1e-4,0.5674313834740664,16,order
0,0.001,0.5674313834740664,16,order
0,0.01,0.5677731206816573,16,order
0,0.1,0.5703056723971358,16,order
0,1,0.5750779019437556,16,order
0,10,0.5778719721463624,16,order
0,20,0.578099059861255,16,order
0,30,0.5781481411725314,16,order
0,50,0.5768952741940547,16,order
0,1e-4,0.5793451003268076,17,order
0,0.001,0.5793451003268076,17,order
0,0.01,0.5796279877438414,17,order
0,0.1,0.58672841656988,17,order
0,1,0.5937374761521103,17,order
0,10,0.5944359333200797,17,order
0,20,0.5944814134692183,17,order
0,30,0.5944766255802841,17,order
0,50,0.5944427127475909,17,order
0,1e-4,0.6208762787177421,18,order
0,0.001,0.6208762787177421,18,order
0,0.01,0.6211347261896042,18,order
0,0.1,0.6187155474289621,18,order
0,1,0.6134445229201326,18,order
0,10,0.6130988540805614,18,order
0,20,0.6130060905853589,18,order
0,30,0.6129825391593684,18,order
0,50,0.6130090063931527,18,order
0,1e-4,0.5955335675396651,19,order
0,0.001,0.5955335675396651,19,order
0,0.01,0.595821775608361,19,order
0,0.1,0.5959698426649647,19,order
0,1,0.5990755659841026,19,order
0,10,0.6023216735899662,19,order
0,20,0.6025577432833531,19,order
0,30,0.6025916177501544,19,order
0,50,0.6026238642824009,19,order
0,1e-4,0.5834515988113549,2,order
0,0.001,0.5834515988113549,2,order
0,0.01,0.5841376332778772,2,order
0,0.1,0.5873185563612393,2,order
0,1,0.5941209598099843,2,order
0,10,0.5971630253947328,2,order
0,20,0.5972583498132279,2,order
0,30,0.5973143038508892,2,order
0,50,0.5971044860191201,2,order
0,1e-4,0.60703904775856,20,order
0,0.001,0.60703904775856,20,order
0,0.01,0.6072646095572924,20,order
0,0.1,0.6121110448427521,20,order
0,1,0.6175392709782954,20,order
0,10,0.6208212184309745,20,order
0,20,0.6210408178213056,20,order
0,30,0.6211057939472574,20,order
0,50,0.6211465080062641,20,order
0,1e-4,0.5696667128801275,21,order
0,0.001,0.5696667128801275,21,order
0,0.01,0.5700207376365913,21,order
0,0.1,0.5716407374273228,21,order
0,1,0.5739496325593887,21,order
0,10,0.5767776513447245,21,order
0,20,0.5771159565488834,21,order
0,30,0.577217929602076,21,order
0,50,0.5773168080972959,21,order
0,1e-4,0.5514039797637359,22,order
0,0.001,0.5514039797637359,22,order
0,0.01,0.5517050273269786,22,order
0,0.1,0.5585875483497434,22,order
0,1,0.5725517930822809,22,order
