cv_metric_AUC,logLoss,AUC,prAUC,Accuracy,Kappa,F1,Sensitivity,Specificity,Pos_Pred_Value,Neg_Pred_Value,Precision,Recall,Detection_Rate,Balanced_Accuracy,method,seed
0.673085749512579,0.631194880776825,0.715598290598291,0.689116786967953,0.690721649484536,0.366840731070496,0.741379310344828,0.826923076923077,0.533333333333333,0.671875,0.727272727272727,0.671875,0.826923076923077,0.443298969072165,0.680128205128205,rf,1
0.681805372445616,0.635911882907829,0.719017094017094,0.692326573309737,0.65979381443299,0.296019353419837,0.731707317073171,0.865384615384615,0.422222222222222,0.633802816901408,0.730769230769231,0.633802816901408,0.865384615384615,0.463917525773196,0.643803418803419,rf,2
0.709294699316041,0.661291760708093,0.643589743589744,0.619484228115335,0.608247422680412,0.197998259355962,0.512820512820513,0.444444444444444,0.75,0.606060606060606,0.609375,0.606060606060606,0.444444444444444,0.206185567010309,0.597222222222222,rf,3
0.684882107717474,0.652197789209941,0.682264957264957,0.646204582027303,0.670103092783505,0.326681127982646,0.719298245614035,0.788461538461538,0.533333333333333,0.661290322580645,0.685714285714286,0.661290322580645,0.788461538461538,0.422680412371134,0.660897435897436,rf,4
0.678905936860205,0.637322051337418,0.708760683760684,0.687658575912086,0.670103092783505,0.318401405357927,0.737704918032787,0.865384615384615,0.444444444444444,0.642857142857143,0.740740740740741,0.642857142857143,0.865384615384615,0.463917525773196,0.65491452991453,rf,5
0.709741100420978,0.671789772010754,0.589957264957265,0.598456213648625,0.597938144329897,0.173114754098361,0.672268907563025,0.769230769230769,0.4,0.597014925373134,0.6,0.597014925373134,0.769230769230769,0.412371134020619,0.584615384615385,rf,6
0.664145074517026,0.615490691792039,0.773076923076923,0.744658110191871,0.670103092783505,0.326681127982646,0.719298245614035,0.788461538461538,0.533333333333333,0.661290322580645,0.685714285714286,0.661290322580645,0.788461538461538,0.422680412371134,0.660897435897436,rf,7
0.700469993948653,0.672523691218178,0.616239316239316,0.599465613224334,0.639175257731959,0.266896998488447,0.684684684684685,0.730769230769231,0.533333333333333,0.644067796610169,0.631578947368421,0.644067796610169,0.730769230769231,0.391752577319588,0.632051282051282,rf,8
0.674949851419364,0.623208885207289,0.73482905982906,0.715630941278884,0.65979381443299,0.312942691564713,0.691588785046729,0.711538461538462,0.6,0.672727272727273,0.642857142857143,0.672727272727273,0.711538461538462,0.381443298969072,0.655769230769231,rf,9
0.685939729799486,0.641672663467935,0.666452991452991,0.650611488766843,0.597938144329897,0.178144688246795,0.660869565217391,0.730769230769231,0.444444444444444,0.603174603174603,0.588235294117647,0.603174603174603,0.730769230769231,0.391752577319588,0.587606837606838,rf,10
0.666548899073289,0.623549267209023,0.732692307692308,0.708864489060983,0.649484536082474,0.280226975120035,0.711864406779661,0.807692307692308,0.466666666666667,0.636363636363636,0.67741935483871,0.636363636363636,0.807692307692308,0.43298969072165,0.637179487179487,rf,11
0.703868626466187,0.656264311553513,0.64017094017094,0.624309493266824,0.628865979381443,0.244809688581315,0.560975609756098,0.511111111111111,0.730769230769231,0.621621621621622,0.633333333333333,0.621621621621622,0.511111111111111,0.237113402061856,0.620940170940171,rf,12
0.683214427842477,0.646576586988811,0.698931623931624,0.679206545447164,0.65979381443299,0.315001069976461,0.685714285714286,0.692307692307692,0.622222222222222,0.679245283018868,0.636363636363636,0.679245283018868,0.692307692307692,0.371134020618557,0.657264957264957,rf,13
0.689208762333762,0.638844963364957,0.683974358974359,0.663329398123892,0.628865979381443,0.233201581027668,0.704918032786885,0.826923076923077,0.4,0.614285714285714,0.666666666666667,0.614285714285714,0.826923076923077,0.443298969072165,0.613461538461539,rf,14
0.684617706120755,0.634197083049382,0.710683760683761,0.69738578026223,0.618556701030928,0.227341227125942,0.564705882352941,0.533333333333333,0.692307692307692,0.6,0.631578947368421,0.6,0.533333333333333,0.247422680412371,0.612820512820513,rf,15
0.684995561763854,0.628721067878983,0.723290598290598,0.708071165807015,0.721649484536082,0.434463398833945,0.756756756756757,0.807692307692308,0.622222222222222,0.711864406779661,0.736842105263158,0.711864406779661,0.807692307692308,0.43298969072165,0.714957264957265,rf,16
0.690447136596527,0.656707043733493,0.66965811965812,0.626206758190771,0.597938144329897,0.180636777128005,0.654867256637168,0.711538461538462,0.466666666666667,0.60655737704918,0.583333333333333,0.60655737704918,0.711538461538462,0.381443298969072,0.589102564102564,rf,17
0.680818758218149,0.638312693979689,0.697649572649573,0.665629424727914,0.649484536082474,0.278021015761821,0.716666666666667,0.826923076923077,0.444444444444444,0.632352941176471,0.689655172413793,0.632352941176471,0.826923076923077,0.443298969072165,0.635683760683761,rf,18
0.67761047284218,0.630727025492996,0.725213675213675,0.705078114794372,0.628865979381443,0.240208877284595,0.689655172413793,0.769230769230769,0.466666666666667,0.625,0.636363636363636,0.625,0.769230769230769,0.412371134020619,0.617948717948718,rf,19
0.667563828636999,0.652940140079131,0.700641025641026,0.657243404267821,0.628865979381443,0.247089262613195,0.672727272727273,0.711538461538462,0.533333333333333,0.637931034482759,0.615384615384615,0.637931034482759,0.711538461538462,0.381443298969072,0.622435897435897,rf,20
0.694473179625619,0.648142672810553,0.673076923076923,0.648238306678465,0.639175257731959,0.260187404663325,0.700854700854701,0.788461538461538,0.466666666666667,0.630769230769231,0.65625,0.630769230769231,0.788461538461538,0.422680412371134,0.627564102564103,rf,21
0.682148548810134,0.647684521777245,0.649786324786325,0.647573936834767,0.618556701030928,0.22029111449055,0.678260869565217,0.75,0.466666666666667,0.619047619047619,0.617647058823529,0.619047619047619,0.75,0.402061855670103,0.608333333333333,rf,22
