maxdepth,AUC,seed,level
1,0.5613763214433947,1,otu
2,0.5745906089015845,1,otu
4,0.5727162746370064,1,otu
8,0.5696321068455215,1,otu
16,0.5700928315074657,1,otu
30,0.5702601416747758,1,otu
1,0.5658216134252719,10,otu
2,0.6014075316605805,10,otu
4,0.6063542723908578,10,otu
8,0.5980370631955998,10,otu
16,0.5975566768859452,10,otu
30,0.5975425198717882,10,otu
1,0.567822661947662,100,otu
2,0.5714511885578959,100,otu
4,0.5713549880455369,100,otu
8,0.5723725722673894,100,otu
16,0.5660007062811941,100,otu
30,0.5659485827290706,100,otu
1,0.5732367075263417,11,otu
2,0.5813412798687189,11,otu
4,0.5889097795530722,11,otu
8,0.5846611149477003,11,otu
16,0.5837168832595662,11,otu
30,0.5837121747182723,11,otu
1,0.5712738077799053,12,otu
2,0.6426516897995557,12,otu
4,0.6352770124218295,12,otu
8,0.6186927779260096,12,otu
16,0.6129044181376498,12,otu
30,0.6128972493835299,12,otu
1,0.5623573447140521,13,otu
2,0.5712477682386219,13,otu
4,0.5765405588515344,13,otu
8,0.5789629971870826,13,otu
16,0.5797355567675689,13,otu
30,0.5796016981702957,13,otu
1,0.5594318647916209,14,otu
2,0.5632160889112109,14,otu
4,0.5794995082190204,14,otu
8,0.5870956976139903,14,otu
16,0.5858885887193814,14,otu
30,0.5859034834050078,14,otu
1,0.5618797272882639,15,otu
2,0.5739154507294751,15,otu
4,0.5810825224178883,15,otu
8,0.5759153857690443,15,otu
16,0.5764743251526788,15,otu
30,0.5763703344023466,15,otu
1,0.5564729001649733,16,otu
2,0.5723964426098572,16,otu
4,0.5701119228985083,16,otu
8,0.5697979168192583,16,otu
16,0.5750574119415582,16,otu
30,0.5751383251718618,16,otu
1,0.5760894627205603,17,otu
2,0.6213089082113472,17,otu
4,0.6058735290168217,17,otu
8,0.5967871684838149,17,otu
16,0.5937983181352083,17,otu
30,0.5938108585501878,17,otu
1,0.5663246412789096,18,otu
2,0.5797177591354421,18,otu
4,0.5758497713741616,18,otu
8,0.5766745166333581,18,otu
16,0.574382397641544,18,otu
30,0.5743592787037909,18,otu
1,0.5686644514723783,19,otu
2,0.5905425617254886,19,otu
4,0.5927969476445086,19,otu
8,0.589735834266322,19,otu
16,0.5897309578742506,19,otu
30,0.5896399657497219,19,otu
1,0.562638079281372,2,otu
2,0.5619099430440894,2,otu
4,0.5692551715478544,2,otu
8,0.5703760631275875,2,otu
16,0.569032326969827,2,otu
30,0.5689781473546718,2,otu
1,0.5643322503688357,20,otu
2,0.5835945972104509,20,otu
4,0.5989125933424714,20,otu
8,0.6000555904336392,20,otu
16,0.5981497340110145,20,otu
30,0.5981299324149933,20,otu
1,0.551827600248332,21,otu
2,0.5709780987433426,21,otu
4,0.576230789587497,21,otu
8,0.5804991842888184,21,otu
16,0.5822906957480128,21,otu
30,0.5822460618283789,21,otu
1,0.5608096925322535,22,otu
2,0.5874495091781677,22,otu
4,0.5881180160997235,22,otu
8,0.5838962363931877,22,otu
16,0.5868859456146042,22,otu
30,0.5869454833753615,22,otu
1,0.5680144674291016,23,otu
2,0.6007290391436733,23,otu
4,0.5989503447262594,23,otu
8,0.5943661969896726,23,otu
16,0.5930858011757402,23,otu
30,0.5932231606606607,23,otu
1,0.5609857030375323,24,otu
2,0.571333902282073,24,otu
4,0.5681122411610217,24,otu
8,0.5668105963105963,24,otu
16,0.5675615061926038,24,otu
30,0.5676796744479672,24,otu
1,0.5519078878530098,25,otu
2,0.5834246816502914,25,otu
4,0.5813612741661522,25,otu
8,0.5787571946946947,25,otu
16,0.5824191970716361,25,otu
30,0.5823599950124341,25,otu
1,0.5573971924886559,26,otu
2,0.5707848667482814,26,otu
4,0.5764732049122293,26,otu
8,0.5691913492325078,26,otu
16,0.556525034180522,26,otu
30,0.5564584083212132,26,otu
1,0.572094836997276,27,otu
2,0.5968318052372931,27,otu
4,0.584746244502342,27,otu
8,0.5883372695430622,27,otu
16,0.5863050561449952,27,otu
30,0.586324988969806,27,otu
1,0.6030770212721432,28,otu
2,0.632151426688012,28,otu
4,0.638024100319832,28,otu
8,0.6235028192390998,28,otu
16,0.6140324156909522,28,otu
30,0.6140515803259706,28,otu
1,0.5644690818867648,29,otu
2,0.5838598908141591,29,otu
4,0.5862414121438512,29,otu
8,0.5866295219435463,29,otu
16,0.5848174744866819,29,otu
30,0.5848071784763859,29,otu
1,0.5809436980534541,3,otu
2,0.5872665614220492,3,otu
4,0.5913660827639486,3,otu
8,0.5981968880901808,3,otu
16,0.5947479707494951,3,otu
30,0.5947441097456342,3,otu
1,0.5847378955610663,30,otu
2,0.6241248888261084,30,otu
4,0.6012930722534381,30,otu
8,0.5933982052610102,30,otu
16,0.5934707396856788,30,otu
30,0.5934684874334265,30,otu
1,0.565595399406375,31,otu
2,0.5715363900485851,31,otu
4,0.5760400143174533,31,otu
8,0.5760290449421547,31,otu
16,0.5806981319298392,31,otu
30,0.5806465982533056,31,otu
1,0.5616304261578652,32,otu
2,0.5795313872234604,32,otu
4,0.581979751092556,32,otu
8,0.5756813012925818,32,otu
16,0.5762573784585979,32,otu
30,0.5763553719224451,32,otu
1,0.5638818539794149,33,otu
2,0.5801988722171649,33,otu
4,0.5722900363342437,33,otu
8,0.5757580949852291,33,otu
16,0.5717157159337037,33,otu
30,0.5717046155476033,33,otu
1,0.5722985686034466,34,otu
2,0.5930884604116311,34,otu
4,0.5973761745194672,34,otu
8,0.5863098523174742,34,otu
16,0.5794989118037899,34,otu
30,0.5796253832229442,34,otu
1,0.5626711589638419,35,otu
2,0.5653640866476233,35,otu
4,0.5703883086047721,35,otu
8,0.5793099438724438,35,otu
16,0.5786272893102161,35,otu
30,0.5784908078810518,35,otu
1,0.5738713831427246,36,otu
2,0.6057156459595484,36,otu
4,0.5974305947933997,36,otu
8,0.5949015951927538,36,otu
16,0.595893494321848,36,otu
30,0.5960361417602271,36,otu
1,0.549867164638506,37,otu
2,0.5748208081775155,37,otu
4,0.5768929757283416,37,otu
8,0.5682904923651875,37,otu
16,0.5684972945506482,37,otu
30,0.5683616872534556,37,otu
1,0.5437773309023309,38,otu
2,0.560556436227168,38,otu
4,0.5643155086706916,38,otu
8,0.5614136747810529,38,otu
16,0.5621855529309797,38,otu
30,0.5624001939657427,38,otu
1,0.5481875324802155,39,otu
2,0.5646159452135062,39,otu
4,0.5628041565084249,39,otu
8,0.5667647983349203,39,otu
16,0.562982544827057,39,otu
30,0.5627363325869423,39,otu
1,0.5478502356886503,4,otu
2,0.569168156396815,4,otu
4,0.5683776908441542,4,otu
8,0.5702164671204305,4,otu
16,0.5692461424839473,4,otu
30,0.5693428437147949,4,otu
1,0.5590953579886506,40,otu
2,0.585648537910733,40,otu
4,0.5809616877330293,40,otu
8,0.5842000609058536,40,otu
16,0.5853940177110909,40,otu
30,0.5853827956876737,40,otu
1,0.5549660688563127,41,otu
2,0.5897739411885753,41,otu
4,0.5902928442379662,41,otu
8,0.5811023281556819,41,otu
16,0.5797398862276911,41,otu
30,0.5798057665679617,41,otu
1,0.570452533979973,42,otu
2,0.5983259574905917,42,otu
4,0.586345762138445,42,otu
8,0.5841182837890155,42,otu
16,0.5772557736307736,42,otu
30,0.5773858780383171,42,otu
1,0.55822763486483,43,otu
2,0.5712747869821041,43,otu
4,0.5888959861429374,43,otu
8,0.5893131659534099,43,otu
16,0.5904038457011018,43,otu
30,0.5903180456153018,43,otu
1,0.5510398974758731,44,otu
2,0.5832393002758857,44,otu
4,0.5894159564616882,44,otu
8,0.5828601772504212,44,otu
16,0.5836160454879967,44,otu
30,0.5835324209226649,44,otu
1,0.5669533653862923,45,otu
2,0.5749792362048459,45,otu
4,0.5878830524775647,45,otu
8,0.5911328582502363,45,otu
16,0.5905691525584819,45,otu
30,0.5905044916432112,45,otu
1,0.5489585142633923,46,otu
2,0.5738788287416337,46,otu
4,0.578409633501097,46,otu
8,0.5714692401460695,46,otu
16,0.5712010915532257,46,otu
30,0.571246672848807,46,otu
1,0.5796717113454918,47,otu
2,0.605578763868398,47,otu
4,0.6038608002601905,47,otu
8,0.5989737034508376,47,otu
16,0.5941778182799524,47,otu
30,0.5941978766658644,47,otu
1,0.5751986816956329,48,otu
2,0.604273050489514,48,otu
4,0.6020288201965032,48,otu
8,0.5986006082301815,48,otu
16,0.5951695972976461,48,otu
30,0.5951734583015071,48,otu
1,0.5660481840725743,49,otu
2,0.563586199003882,49,otu
4,0.5660965194288365,49,otu
8,0.5691550258882576,49,otu
16,0.5720243778185852,49,otu
30,0.5722834186538455,49,otu
1,0.5572656606955387,5,otu
2,0.5723973537997928,5,otu
4,0.5700794993599871,5,otu
8,0.5727753326061253,5,otu
16,0.5706084778157949,5,otu
30,0.5705987136962747,5,otu
1,0.5639296849113923,50,otu
2,0.5767900840736206,50,otu
4,0.5768043550955136,50,otu
8,0.5794112206718914,50,otu
16,0.5804381068786557,50,otu
30,0.5802798528057674,50,otu
1,0.5520563141538751,51,otu
2,0.5642317853567853,51,otu
4,0.5695339115247652,51,otu
8,0.5723858370565688,51,otu
16,0.5724041916480941,51,otu
30,0.572364903230757,51,otu
1,0.5606654629368044,52,otu
2,0.5896153409507068,52,otu
4,0.5918513703163093,52,otu
8,0.5889617448458911,52,otu
