mtry,AUC,seed,level
1,0.5970273077956005,1,phylum
2,0.568770200514103,1,phylum
3,0.5661600210838016,1,phylum
6,0.5624365118602923,1,phylum
1,0.5828510287290776,10,phylum
2,0.5574849910886497,10,phylum
3,0.5562483302117448,10,phylum
6,0.5563827725809434,10,phylum
1,0.6129379994105604,100,phylum
2,0.5983575509307216,100,phylum
3,0.5958161977308318,100,phylum
6,0.5934297442041344,100,phylum
1,0.5848280758981979,11,phylum
2,0.5688086030281152,11,phylum
3,0.5672766747583821,11,phylum
6,0.5662319100459344,11,phylum
1,0.5809008708185538,12,phylum
2,0.562420264340996,12,phylum
3,0.5606673454813699,12,phylum
6,0.5592776382654432,12,phylum
1,0.6089197132672742,13,phylum
2,0.5849284759498175,13,phylum
3,0.5808948277545839,13,phylum
6,0.575401797703627,13,phylum
1,0.5679053461126632,14,phylum
2,0.5561938798554652,14,phylum
3,0.5570513605940435,14,phylum
6,0.5592030942091918,14,phylum
1,0.6081991294430319,15,phylum
2,0.5980469406688919,15,phylum
3,0.5986077035223377,15,phylum
6,0.5986534701077384,15,phylum
1,0.6031657297541444,16,phylum
2,0.5794363893510235,16,phylum
3,0.5772007778684608,16,phylum
6,0.5758701881323832,16,phylum
1,0.6060457282195088,17,phylum
2,0.5877694262206458,17,phylum
3,0.5856877713950884,17,phylum
6,0.5833828981420445,17,phylum
1,0.5714277879796172,18,phylum
2,0.5565479085357135,18,phylum
3,0.555874371322542,18,phylum
6,0.5544887653332775,18,phylum
1,0.6089565685023002,19,phylum
2,0.5893770530111994,19,phylum
3,0.5851652724152724,19,phylum
6,0.5813986848346604,19,phylum
1,0.6080169341815683,2,phylum
2,0.5862638077973444,2,phylum
3,0.5828799635872807,2,phylum
6,0.5805176544139958,2,phylum
1,0.5841230716779497,20,phylum
2,0.5658979746296819,20,phylum
3,0.5639170760481736,20,phylum
6,0.5613523466846637,20,phylum
1,0.6172544491355467,21,phylum
2,0.5968758362020558,21,phylum
3,0.5947767527980943,21,phylum
6,0.5898466031362373,21,phylum
1,0.5910764479636431,22,phylum
2,0.577031650117016,22,phylum
3,0.5771182968682969,22,phylum
6,0.5764676379341014,22,phylum
1,0.5883129710721174,23,phylum
2,0.5632456132090279,23,phylum
3,0.560488379494477,23,phylum
6,0.5563744554659189,23,phylum
1,0.6064979330375672,24,phylum
2,0.5815833638516565,24,phylum
3,0.577598582903461,24,phylum
6,0.573496768109573,24,phylum
1,0.5878385986160376,25,phylum
2,0.5672222640759226,25,phylum
3,0.5661492577071845,25,phylum
6,0.5658966967838919,25,phylum
1,0.6015331529264456,26,phylum
2,0.5834002526045209,26,phylum
3,0.5809196426391549,26,phylum
6,0.5788495333312407,26,phylum
1,0.6114615974859877,27,phylum
2,0.5973550104983032,27,phylum
3,0.5955847402280329,27,phylum
6,0.5931576293192147,27,phylum
1,0.5761511651023846,28,phylum
2,0.5590141121086243,28,phylum
3,0.5598460228521204,28,phylum
6,0.5599711854711855,28,phylum
1,0.5781746288971898,29,phylum
2,0.5626409532354655,29,phylum
3,0.5609174575272137,29,phylum
6,0.558946623016745,29,phylum
1,0.6053244607848266,3,phylum
