sigma,C,AUC,seed,level
1e-7,1e-4,0.6052138065766115,1,family
1e-7,0.001,0.6051588260734603,1,family
1e-7,0.01,0.605074711471053,1,family
1e-7,0.1,0.605358669645255,1,family
1e-7,1,0.6053803263193507,1,family
1e-7,10,0.6054214353726549,1,family
1e-7,100,0.6056097778963633,1,family
1e-6,1e-4,0.6046171131933327,1,family
1e-6,0.001,0.6042986871889311,1,family
1e-6,0.01,0.6044860592299617,1,family
1e-6,0.1,0.6043308439101122,1,family
1e-6,1,0.6045105506203067,1,family
1e-6,10,0.6052580498617084,1,family
1e-6,100,0.605631262795897,1,family
1e-5,1e-4,0.6050885694056426,1,family
1e-5,0.001,0.6050691030752007,1,family
1e-5,0.01,0.6051079816750549,1,family
1e-5,0.1,0.6051297560626829,1,family
1e-5,1,0.6058006272823346,1,family
1e-5,10,0.6060058586461026,1,family
1e-5,100,0.6047975981207688,1,family
1e-4,1e-4,0.6063181221290977,1,family
1e-4,0.001,0.6063116871226627,1,family
1e-4,0.01,0.6063049303659059,1,family
1e-4,0.1,0.6057249863103522,1,family
1e-4,1,0.6059301400703839,1,family
1e-4,10,0.6052464781855026,1,family
1e-4,100,0.5942489745843405,1,family
0.001,1e-4,0.6007015482381336,1,family
0.001,0.001,0.6007066962432817,1,family
0.001,0.01,0.6006146861146862,1,family
0.001,0.1,0.6012803517803518,1,family
0.001,1,0.6002742577071846,1,family
0.001,10,0.5949281136537234,1,family
0.001,100,0.5838726792995086,1,family
0.01,1e-4,0.5965257443855005,1,family
0.01,0.001,0.5965230378462086,1,family
0.01,0.01,0.5959637102259053,1,family
0.01,0.1,0.5981281438232657,1,family
0.01,1,0.5880715419252005,1,family
0.01,10,0.5471379057629058,1,family
0.01,100,0.5032832274783494,1,family
0.1,1e-4,0.5478234911741009,1,family
0.1,0.001,0.5371925161223942,1,family
0.1,0.01,0.537927433095116,1,family
0.1,0.1,0.5401650557351777,1,family
0.1,1,0.5382995665526153,1,family
0.1,10,0.5181579065999797,1,family
0.1,100,0.5235612228081741,1,family
1,1e-4,0.50252522513803,1,family
1,0.001,0.4931398079263933,1,family
1,0.01,0.493934639779152,1,family
1,0.1,0.48748462617669935,1,family
1,1,0.4949317732366513,1,family
1,10,0.4915219692689205,1,family
1,100,0.4945500064524455,1,family
1e-7,1e-4,0.6132436582924388,10,family
1e-7,0.001,0.6131872953092465,10,family
1e-7,0.01,0.6133702012116646,10,family
1e-7,0.1,0.6132338095935657,10,family
1e-7,1,0.6137083887022912,10,family
1e-7,10,0.6139695479451577,10,family
1e-7,100,0.6148064702332995,10,family
1e-6,1e-4,0.6129749880542563,10,family
1e-6,0.001,0.6129490370161101,10,family
1e-6,0.01,0.6129303179486106,10,family
1e-6,0.1,0.6131462778109119,10,family
1e-6,1,0.6131668951181146,10,family
1e-6,10,0.6146672247160052,10,family
1e-6,100,0.614441170264341,10,family
1e-5,1e-4,0.6128159431208212,10,family
1e-5,0.001,0.6128871589359395,10,family
1e-5,0.01,0.6128653653653654,10,family
1e-5,0.1,0.6131272239138092,10,family
1e-5,1,0.6149383207249061,10,family
1e-5,10,0.6144967293077049,10,family
1e-5,100,0.6087736734992832,10,family
1e-4,1e-4,0.6165115873713435,10,family
1e-4,0.001,0.6165141613739175,10,family
1e-4,0.01,0.6166246438075706,10,family
1e-4,0.1,0.616947232947233,10,family
1e-4,1,0.6165036499914549,10,family
1e-4,10,0.6106609335816653,10,family
1e-4,100,0.5968964347622884,10,family
0.001,1e-4,0.6069113242162023,10,family
0.001,0.001,0.6069131117179898,10,family
