specificity,sensitivity,model,seed
0,1,phylum,1
0.01,1,phylum,1
0.02,1,phylum,1
0.03,1,phylum,1
0.04,0.9777777777777777,phylum,1
0.05,0.9777777777777777,phylum,1
0.06,0.9555555555555556,phylum,1
0.07,0.9555555555555556,phylum,1
0.08,0.9111111111111111,phylum,1
0.09,0.9111111111111111,phylum,1
0.1,0.8222222222222222,phylum,1
0.11,0.8222222222222222,phylum,1
0.12,0.8222222222222222,phylum,1
0.13,0.8222222222222222,phylum,1
0.14,0.8222222222222222,phylum,1
0.15,0.8222222222222222,phylum,1
0.16,0.8222222222222222,phylum,1
0.17,0.8222222222222222,phylum,1
0.18,0.7777777777777778,phylum,1
0.19,0.7777777777777778,phylum,1
0.2,0.7777777777777778,phylum,1
0.21,0.7777777777777778,phylum,1
0.22,0.7777777777777778,phylum,1
0.23,0.7777777777777778,phylum,1
0.24,0.7555555555555555,phylum,1
0.25,0.7111111111111111,phylum,1
0.26,0.7111111111111111,phylum,1
0.27,0.7111111111111111,phylum,1
0.28,0.7111111111111111,phylum,1
0.29,0.6888888888888889,phylum,1
0.3,0.6888888888888889,phylum,1
0.31,0.6888888888888889,phylum,1
0.32,0.6888888888888889,phylum,1
0.33,0.6888888888888889,phylum,1
0.34,0.6888888888888889,phylum,1
0.35000000000000003,0.6888888888888889,phylum,1
0.36,0.6888888888888889,phylum,1
0.37,0.6444444444444445,phylum,1
0.38,0.6444444444444445,phylum,1
0.39,0.6444444444444445,phylum,1
0.4,0.6444444444444445,phylum,1
0.41000000000000003,0.6444444444444445,phylum,1
0.42,0.6444444444444445,phylum,1
0.43,0.5333333333333333,phylum,1
0.44,0.5333333333333333,phylum,1
0.45,0.5333333333333333,phylum,1
0.46,0.5333333333333333,phylum,1
0.47000000000000003,0.4666666666666667,phylum,1
0.48,0.4666666666666667,phylum,1
0.49,0.4222222222222222,phylum,1
0.5,0.4222222222222222,phylum,1
0.51,0.4222222222222222,phylum,1
0.52,0.4222222222222222,phylum,1
0.53,0.4222222222222222,phylum,1
