level,rf,glmnet,xgbTree,svmRadial,rpart2
phylum,0.5920555555555556,0.5928803418803419,0.6143739316239316,0.574440170940171,0.5833696581196581
class,0.6068910256410256,0.5886410256410256,0.6201367521367521,0.560068376068376,0.5673878205128206
order,0.6604059829059828,0.6026196581196581,0.6548931623931623,0.6109615384615384,0.577556623931624
family,0.6888888888888889,0.5992777777777778,0.6672435897435898,0.6148888888888889,0.6000224358974359
genus,0.6896452991452992,0.5991880341880341,0.6603974358974358,0.6109764957264957,0.5984358974358974
otu,0.6931239316239316,0.6197008547008547,0.6708653846153846,0.6174123931623932,0.5836794871794873
asv,0.6761474358974359,0.6225042735042735,0.6477200854700855,0.6276709401709402,0.5625277777777778
